width,height,webaudio,browser,browser_version,mobile,os,fullscreen,vsync_rate,webcam,microphone,trial_type,trial_index,plugin_version,time_elapsed,subjID,condition,stimID,rt,url,success,value,timeout,failed_images,failed_audio,failed_video,view_history,stimulus,response,trialType,cycle,phase,trial,resp,cat,token,corr,resp_num,cat_num,ref_cat_num,paired_cat_num,time_obs,ref_cat,paired_cat,ref_prob_dist,paired_prob_dist,text_Basalt,text_Diorite,time_resp,text_Andesite,text_Gabbro,text_Peridotite,time_fb1,time_fb2,text_Pegmatite,text_Pumice
1920,919,TRUE,chrome,131.0.0,FALSE,Windows 10,TRUE,60.53,FALSE,TRUE,browser-check,0,2.0.0,1010,6666556a57f997a0004f5e5a,3,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,external-html,1,2.0.0,1403023,6666556a57f997a0004f5e5a,3,52,1401844,consent_form.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,fullscreen,2,2.0.0,1456832,6666556a57f997a0004f5e5a,3,52,52804,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,call-function,3,2.0.0,1456835,6666556a57f997a0004f5e5a,3,52,,,,{},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,preload,4,2.0.0,1459220,6666556a57f997a0004f5e5a,3,52,,,TRUE,,FALSE,[],[],[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,instructions,5,2.0.0,1634534,6666556a57f997a0004f5e5a,3,52,175312,,,,,,,,"[{""page_index"":0,""viewing_time"":118313},{""page_index"":1,""viewing_time"":35064},{""page_index"":2,""viewing_time"":21935}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,html-button-response,6,2.0.0,1640222,6666556a57f997a0004f5e5a,3,52,5687,,,,,,,,,,0,start_test,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,html-button-response,7,2.0.0,1668441,6666556a57f997a0004f5e5a,3,52,28216,,,,,,,,,"<img src= ""rock_img/I_Gabbro_10.jpg"" style=""width:8cm; height:5.680000000000001cm;""><p>What type of rock is this?</p>",1,class_response,0,test,1,Basalt,Gabbro,10,FALSE,2,4,,,,,,,,,,,,,,,,,
,,,,,,,,,,,html-keyboard-response,8,2.0.0,1668946,6666556a57f997a0004f5e5a,3,52,null,,,,,,,,,<p style='font-size: 30px;'><strong>Okay</strong></p>,null,neutral_feedback,0,test,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,html-button-response,9,2.0.0,1683734,6666556a57f997a0004f5e5a,3,52,14785,,,,,,,,,"<img src= ""rock_img/I_Diorite_15.jpg"" style=""width:8cm; height:5.54cm;""><p>What type of rock is this?</p>",0,class_response,0,test,2,Andesite,Diorite,15,FALSE,1,3,,,,,,,,,,,,,,,,,
,,,,,,,,,,,html-keyboard-response,10,2.0.0,1684249,6666556a57f997a0004f5e5a,3,52,null,,,,,,,,,<p style='font-size: 30px;'><strong>Okay</strong></p>,null,neutral_feedback,0,test,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,html-button-response,11,2.0.0,1689831,6666556a57f997a0004f5e5a,3,52,5578,,,,,,,,,"<img src= ""rock_img/I_Pegmatite_09.jpg"" style=""width:8cm; height:4.03cm;""><p>What type of rock is this?</p>",7,class_response,0,test,3,Pumice,Pegmatite,9,FALSE,8,6,,,,,,,,,,,,,,,,,
,,,,,,,,,,,html-keyboard-response,12,2.0.0,1690334,6666556a57f997a0004f5e5a,3,52,null,,,,,,,,,<p style='font-size: 30px;'><strong>Okay</strong></p>,null,neutral_feedback,0,test,3,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,html-button-response,13,2.0.0,1692750,6666556a57f997a0004f5e5a,3,52,2414,,,,,,,,,"<img src= ""rock_img/I_Pumice_15.jpg"" style=""width:8cm; height:7.86cm;""><p>What type of rock is this?</p>",7,class_response,0,test,4,Pumice,Pumice,15,TRUE,8,8,,,,,,,,,,,,,,,,,
