"width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone","trial_type","trial_index","plugin_version","time_elapsed","subjID","condition","stimID","rt","url","success","value","timeout","failed_images","failed_audio","failed_video","view_history","stimulus","response","trialType","cycle","phase","trial","resp","cat","token","corr","resp_num","cat_num","rt_ref","rt_paired","ref_cat_num","paired_cat_num","ref_cat","paired_cat","text_Gabbro","text_Diorite","time_obs","time_resp","text_Basalt","text_Pumice","text_Pegmatite","text_Andesite","time_fb1","time_fb2","text_Peridotite"
"","","","","","","","","","","","html-button-response","385","2.0.0","3632776","5c65feca0d7f5f00014b853d","4","26","1012","","","","","","","","","<img src= rock_img/I_Basalt_05.jpg style=""width:8cm; height:8.18cm;""><p style='font-size: 30px; color: green;'><strong>Correct!</strong></p><p style='font-size: 30px;'><strong>This rock is basalt</strong></p>","0","corr_feedback","3","train","6","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","386","2.0.0","3635727","5c65feca0d7f5f00014b853d","4","26","2950","","","","","","","","","<img src= ""rock_img/I_Pegmatite_10.jpg"" style=""width:8cm; height:4.16cm;""><p>What type of rock is this?</p>","6","class_response","3","train","7","Peridotite","Pegmatite","10","false","7","6","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","387","2.0.0","3637678","5c65feca0d7f5f00014b853d","4","26","1948","","","","","","","","","<img src= rock_img/I_Pegmatite_10.jpg style=""width:8cm; height:4.16cm;""><p style='font-size: 30px; color: red;'><strong>Incorrect!</strong></p><p style='font-size: 30px;'><strong>This rock is pegmatite</strong></p>","0","corr_feedback","3","train","7","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","388","2.0.0","3646873","5c65feca0d7f5f00014b853d","4","26","9194","","","","","","","","","<img src= ""rock_img/I_Gabbro_16.jpg"" style=""width:8cm; height:6.44cm;""><p>What type of rock is this?</p>","3","class_response","3","train","8","Gabbro","Gabbro","16","true","4","4","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","389","2.0.0","3647952","5c65feca0d7f5f00014b853d","4","26","1078","","","","","","","","","<img src= rock_img/I_Gabbro_16.jpg style=""width:8cm; height:6.44cm;""><p style='font-size: 30px; color: green;'><strong>Correct!</strong></p><p style='font-size: 30px;'><strong>This rock is gabbro</strong></p>","0","corr_feedback","3","train","8","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","390","2.0.0","3649942","5c65feca0d7f5f00014b853d","4","26","1988","","","","","","","","","<img src= ""rock_img/I_Diorite_12.jpg"" style=""width:8cm; height:4.88cm;""><p>What type of rock is this?</p>","2","class_response","3","train","9","Diorite","Diorite","12","true","3","3","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","391","2.0.0","3650924","5c65feca0d7f5f00014b853d","4","26","982","","","","","","","","","<img src= rock_img/I_Diorite_12.jpg style=""width:8cm; height:4.88cm;""><p style='font-size: 30px; color: green;'><strong>Correct!</strong></p><p style='font-size: 30px;'><strong>This rock is diorite</strong></p>","0","corr_feedback","3","train","9","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","392","2.0.0","3652650","5c65feca0d7f5f00014b853d","4","26","1724","","","","","","","","","<img src= ""rock_img/I_Pumice_15.jpg"" style=""width:8cm; height:7.86cm;""><p>What type of rock is this?</p>","7","class_response","3","train","10","Pumice","Pumice","15","true","8","8","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","393","2.0.0","3653611","5c65feca0d7f5f00014b853d","4","26","960","","","","","","","","","<img src= rock_img/I_Pumice_15.jpg style=""width:8cm; height:7.86cm;""><p style='font-size: 30px; color: green;'><strong>Correct!</strong></p><p style='font-size: 30px;'><strong>This rock is pumice</strong></p>","0","corr_feedback","3","train","10","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","394","2.0.0","3655681","5c65feca0d7f5f00014b853d","4","26","2069","","","","","","","","","<img src= ""rock_img/I_Andesite_16.jpg"" style=""width:8cm; height:6.010000000000001cm;""><p>What type of rock is this?</p>","2","class_response","3","train","11","Diorite","Andesite","16","false","3","1","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","395","2.0.0","3656921","5c65feca0d7f5f00014b853d","4","26","1239","","","","","","","","","<img src= rock_img/I_Andesite_16.jpg style=""width:8cm; height:6.010000000000001cm;""><p style='font-size: 30px; color: red;'><strong>Incorrect!</strong></p><p style='font-size: 30px;'><strong>This rock is andesite</strong></p>","0","corr_feedback","3","train","11","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","396","2.0.0","3659225","5c65feca0d7f5f00014b853d","4","26","2303","","","","","","","","","<img src= ""rock_img/I_Pegmatite_13.jpg"" style=""width:8cm; height:4.95cm;""><p>What type of rock is this?</p>","5","class_response","3","train","12","Pegmatite","Pegmatite","13","true","6","6","","","","","","","","","","","","","","","","",""
