"width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone","trial_type","trial_index","plugin_version","time_elapsed","subjID","condition","stimID","rt","url","success","value","timeout","failed_images","failed_audio","failed_video","view_history","stimulus","response","trialType","cycle","phase","trial","resp","cat","token","corr","resp_num","cat_num","rt_ref","rt_paired","ref_cat_num","paired_cat_num","ref_cat","paired_cat","text_Diorite","text_Pumice","time_obs","time_resp"
"360","728","true","chrome","129.0.0","false","Windows 10","true","60.51","false","false","browser-check","0","2.0.0","1033","66e4bf7868bc6f68b6154b91","4","19","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","external-html","1","2.0.0","9675","66e4bf7868bc6f68b6154b91","4","19","8255","consent_form.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","fullscreen","2","2.0.0","14739","66e4bf7868bc6f68b6154b91","4","19","4050","","true","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","call-function","3","2.0.0","14745","66e4bf7868bc6f68b6154b91","4","19","","","","{}","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","preload","4","2.0.0","37527","66e4bf7868bc6f68b6154b91","4","19","","","true","","false","[]","[]","[]","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","instructions","5","2.0.0","140136","66e4bf7868bc6f68b6154b91","4","19","102601","","","","","","","","[{""page_index"":0,""viewing_time"":6097},{""page_index"":1,""viewing_time"":92255},{""page_index"":2,""viewing_time"":4248}]","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","6","2.0.0","146823","66e4bf7868bc6f68b6154b91","4","19","6681","","","","","","","","","","0","start_test","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","7","2.0.0","157492","66e4bf7868bc6f68b6154b91","4","19","10659","","","","","","","","","<img src= ""rock_img/I_Obsidian_04.jpg"" style=""width:8cm; height:6.930000000000001cm;""><p>What type of rock is this?</p>","5","class_response","0","test","1","Pegmatite","Obsidian","04","false","6","5","","","","","","","","","",""
"","","","","","","","","","","","html-keyboard-response","8","2.0.0","158000","66e4bf7868bc6f68b6154b91","4","19","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","1","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","9","2.0.0","162780","66e4bf7868bc6f68b6154b91","4","19","4773","","","","","","","","","<img src= ""rock_img/I_Pegmatite_13.jpg"" style=""width:8cm; height:4.95cm;""><p>What type of rock is this?</p>","2","class_response","0","test","2","Diorite","Pegmatite","13","false","3","6","","","","","","","","","",""
