"width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone","trial_type","trial_index","plugin_version","time_elapsed","subjID","condition","stimID","rt","url","success","value","timeout","failed_images","failed_audio","failed_video","view_history","stimulus","response","trialType","cycle","phase","trial","resp","cat","token","corr","resp_num","cat_num"
"1920","919","true","chrome","130.0.0","false","Windows 10","true","60.11","true","true","browser-check","0","2.0.0","1010","5dee8ee31255595293a9906b","3","12","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","external-html","1","2.0.0","4563","5dee8ee31255595293a9906b","3","12","3462","consent_form.html","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","fullscreen","2","2.0.0","40773","5dee8ee31255595293a9906b","3","12","35193","","true","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","call-function","3","2.0.0","40774","5dee8ee31255595293a9906b","3","12","","","","{}","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","preload","4","2.0.0","43409","5dee8ee31255595293a9906b","3","12","","","true","","false","[]","[]","[]","","","","","","","","","","","","",""
"","","","","","","","","","","","instructions","5","2.0.0","48974","5dee8ee31255595293a9906b","3","12","4385","","","","","","","","[{""page_index"":0,""viewing_time"":1789},{""page_index"":1,""viewing_time"":1732},{""page_index"":2,""viewing_time"":864}]","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","6","2.0.0","49784","5dee8ee31255595293a9906b","3","12","808","","","","","","","","","","0","start_test","","","","","","","","",""
"","","","","","","","","","","","html-button-response","7","2.0.0","53599","5dee8ee31255595293a9906b","3","12","3812","","","","","","","","","<img src= ""rock_img/I_Peridotite_02.jpg"" style=""width:8cm; height:5.859999999999999cm;""><p>What type of rock is this?</p>","6","class_response","0","test","1","Peridotite","Peridotite","02","true","7","7"
"","","","","","","","","","","","html-keyboard-response","8","2.0.0","54107","5dee8ee31255595293a9906b","3","12","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","1","","","","","",""
"","","","","","","","","","","","html-button-response","9","2.0.0","57019","5dee8ee31255595293a9906b","3","12","2908","","","","","","","","","<img src= ""rock_img/I_Obsidian_05.jpg"" style=""width:8cm; height:6.33cm;""><p>What type of rock is this?</p>","7","class_response","0","test","2","Pumice","Obsidian","05","false","8","5"
"","","","","","","","","","","","html-keyboard-response","10","2.0.0","57553","5dee8ee31255595293a9906b","3","12","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","2","","","","","",""
"","","","","","","","","","","","html-button-response","11","2.0.0","62350","5dee8ee31255595293a9906b","3","12","4795","","","","","","","","","<img src= ""rock_img/I_Basalt_01.jpg"" style=""width:8cm; height:7.880000000000001cm;""><p>What type of rock is this?</p>","2","class_response","0","test","3","Diorite","Basalt","01","false","3","2"
"","","","","","","","","","","","html-keyboard-response","12","2.0.0","62866","5dee8ee31255595293a9906b","3","12","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","3","","","","","",""
"","","","","","","","","","","","html-button-response","13","2.0.0","65173","5dee8ee31255595293a9906b","3","12","2304","","","","","","","","","<img src= ""rock_img/I_Pegmatite_15.jpg"" style=""width:8cm; height:6cm;""><p>What type of rock is this?</p>","0","class_response","0","test","4","Andesite","Pegmatite","15","false","1","6"
"","","","","","","","","","","","html-keyboard-response","14","2.0.0","65677","5dee8ee31255595293a9906b","3","12","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","4","","","","","",""
"","","","","","","","","","","","html-button-response","15","2.0.0","67510","5dee8ee31255595293a9906b","3","12","1830","","","","","","","","","<img src= ""rock_img/I_Andesite_03.jpg"" style=""width:8cm; height:5.73cm;""><p>What type of rock is this?</p>","4","class_response","0","test","5","Obsidian","Andesite","03","false","5","1"
"","","","","","","","","","","","html-keyboard-response","16","2.0.0","68018","5dee8ee31255595293a9906b","3","12","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","5","","","","","",""
"","","","","","","","","","","","html-button-response","17","2.0.0","69510","5dee8ee31255595293a9906b","3","12","1490","","","","","","","","","<img src= ""rock_img/I_Peridotite_07.jpg"" style=""width:8cm; height:4.83cm;""><p>What type of rock is this?</p>","1","class_response","0","test","6","Basalt","Peridotite","07","false","2","7"
"","","","","","","","","","","","html-keyboard-response","18","2.0.0","70024","5dee8ee31255595293a9906b","3","12","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","6","","","","","",""
"","","","","","","","","","","","html-button-response","19","2.0.0","71122","5dee8ee31255595293a9906b","3","12","1094","","","","","","","","","<img src= ""rock_img/I_Basalt_08.jpg"" style=""width:8cm; height:10.44cm;""><p>What type of rock is this?</p>","2","class_response","0","test","7","Diorite","Basalt","08","false","3","2"
"","","","","","","","","","","","html-keyboard-response","20","2.0.0","71631","5dee8ee31255595293a9906b","3","12","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","7","","","","","",""
"","","","","","","","","","","","html-button-response","21","2.0.0","73109","5dee8ee31255595293a9906b","3","12","1477","","","","","","","","","<img src= ""rock_img/I_Basalt_02.jpg"" style=""width:8cm; height:6.45cm;""><p>What type of rock is this?</p>","6","class_response","0","test","8","Peridotite","Basalt","02","false","7","2"
"","","","","","","","","","","","html-keyboard-response","22","2.0.0","73618","5dee8ee31255595293a9906b","3","12","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","8","","","","","",""
"","","","","","","","","","","","html-button-response","23","2.0.0","75843","5dee8ee31255595293a9906b","3","12","2224","","","","","","","","","<img src= ""rock_img/I_Andesite_16.jpg"" style=""width:8cm; height:6.010000000000001cm;""><p>What type of rock is this?</p>","7","class_response","0","test","9","Pumice","Andesite","16","false","8","1"
"","","","","","","","","","","","html-keyboard-response","24","2.0.0","76354","5dee8ee31255595293a9906b","3","12","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","9","","","","","",""
"","","","","","","","","","","","html-button-response","25","2.0.0","78252","5dee8ee31255595293a9906b","3","12","1896","","","","","","","","","<img src= ""rock_img/I_Gabbro_11.jpg"" style=""width:8cm; height:6.2cm;""><p>What type of rock is this?</p>","0","class_response","0","test","10","Andesite","Gabbro","11","false","1","4"
"","","","","","","","","","","","html-keyboard-response","26","2.0.0","78764","5dee8ee31255595293a9906b","3","12","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","10","","","","","",""
"","","","","","","","","","","","html-button-response","27","2.0.0","80055","5dee8ee31255595293a9906b","3","12","1290","","","","","","","","","<img src= ""rock_img/I_Obsidian_04.jpg"" style=""width:8cm; height:6.930000000000001cm;""><p>What type of rock is this?</p>","4","class_response","0","test","11","Obsidian","Obsidian","04","true","5","5"
"","","","","","","","","","","","html-keyboard-response","28","2.0.0","80556","5dee8ee31255595293a9906b","3","12","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","11","","","","","",""
"","","","","","","","","","","","html-button-response","29","2.0.0","81797","5dee8ee31255595293a9906b","3","12","1238","","","","","","","","","<img src= ""rock_img/I_Gabbro_01.jpg"" style=""width:8cm; height:5.21cm;""><p>What type of rock is this?</p>","7","class_response","0","test","12","Pumice","Gabbro","01","false","8","4"
"","","","","","","","","","","","html-keyboard-response","30","2.0.0","82311","5dee8ee31255595293a9906b","3","12","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","12","","","","","",""
"","","","","","","","","","","","html-button-response","31","2.0.0","83884","5dee8ee31255595293a9906b","3","12","1571","","","","","","","","","<img src= ""rock_img/I_Pumice_05.jpg"" style=""width:8cm; height:7.25cm;""><p>What type of rock is this?</p>","3","class_response","0","test","13","Gabbro","Pumice","05","false","4","8"
"","","","","","","","","","","","html-keyboard-response","32","2.0.0","84388","5dee8ee31255595293a9906b","3","12","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","13","","","","","",""
"","","","","","","","","","","","html-button-response","33","2.0.0","85513","5dee8ee31255595293a9906b","3","12","1124","","","","","","","","","<img src= ""rock_img/I_Basalt_05.jpg"" style=""width:8cm; height:8.18cm;""><p>What type of rock is this?</p>","6","class_response","0","test","14","Peridotite","Basalt","05","false","7","2"
"","","","","","","","","","","","html-keyboard-response","34","2.0.0","86020","5dee8ee31255595293a9906b","3","12","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","14","","","","","",""
