"width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone","trial_type","trial_index","plugin_version","time_elapsed","subjID","condition","stimID","rt","url","success","value","timeout","failed_images","failed_audio","failed_video"
"958","937","true","chrome","131.0.0","false","Windows 10","true","60.02","true","true","browser-check","0","2.0.0","1014","669a34b9a8f5a340ccb22fc6","3","19","","","","","","","",""
"","","","","","","","","","","","external-html","1","2.0.0","74916","669a34b9a8f5a340ccb22fc6","3","19","73819","consent_form.html","","","","","",""
"","","","","","","","","","","","fullscreen","2","2.0.0","79535","669a34b9a8f5a340ccb22fc6","3","19","3613","","true","","","","",""
"","","","","","","","","","","","call-function","3","2.0.0","79536","669a34b9a8f5a340ccb22fc6","3","19","","","","{}","","","",""
"","","","","","","","","","","","preload","4","2.0.0","82251","669a34b9a8f5a340ccb22fc6","3","19","","","true","","false","[]","[]","[]"
