"width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone","trial_type","trial_index","plugin_version","time_elapsed","subjID","condition","stimID","rt","url","success","value","timeout","failed_images","failed_audio","failed_video","view_history","stimulus","response","trialType","cycle","phase","trial","resp","cat","token","corr","resp_num","cat_num","ref_cat_num","paired_cat_num","time_obs","ref_cat","paired_cat","ref_prob_dist","paired_prob_dist","text_Pegmatite","text_Peridotite","time_resp"
"674","616","true","firefox","132.0.0","false","Windows 10","true","60.18","true","true","browser-check","0","2.0.0","1011","5f6a47e882e9cd0e1d6bbb8a","3","15","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","external-html","1","2.0.0","73051","5f6a47e882e9cd0e1d6bbb8a","3","15","71920","consent_form.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","fullscreen","2","2.0.0","76804","5f6a47e882e9cd0e1d6bbb8a","3","15","2748","","true","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","call-function","3","2.0.0","76806","5f6a47e882e9cd0e1d6bbb8a","3","15","","","","{}","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","preload","4","2.0.0","86617","5f6a47e882e9cd0e1d6bbb8a","3","15","","","true","","false","[]","[]","[]","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","instructions","5","2.0.0","131817","5f6a47e882e9cd0e1d6bbb8a","3","15","45200","","","","","","","","[{""page_index"":0,""viewing_time"":10206},{""page_index"":1,""viewing_time"":24986},{""page_index"":2,""viewing_time"":10008}]","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","6","2.0.0","134856","5f6a47e882e9cd0e1d6bbb8a","3","15","3037","","","","","","","","","","0","start_test","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","7","2.0.0","144646","5f6a47e882e9cd0e1d6bbb8a","3","15","9789","","","","","","","","","<img src= ""rock_img/I_Pegmatite_12.jpg"" style=""width:8cm; height:5.7cm;""><p>What type of rock is this?</p>","0","class_response","0","test","1","Andesite","Pegmatite","12","false","1","6","","","","","","","","","",""
"","","","","","","","","","","","html-keyboard-response","8","2.0.0","145159","5f6a47e882e9cd0e1d6bbb8a","3","15","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","1","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","9","2.0.0","153771","5f6a47e882e9cd0e1d6bbb8a","3","15","8610","","","","","","","","","<img src= ""rock_img/I_Diorite_08.jpg"" style=""width:8cm; height:6.37cm;""><p>What type of rock is this?</p>","5","class_response","0","test","2","Pegmatite","Diorite","08","false","6","3","","","","","","","","","",""
"","","","","","","","","","","","html-keyboard-response","10","2.0.0","154281","5f6a47e882e9cd0e1d6bbb8a","3","15","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","2","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","11","2.0.0","357928","5f6a47e882e9cd0e1d6bbb8a","3","15","203644","","","","","","","","","<img src= ""rock_img/I_Andesite_09.jpg"" style=""width:8cm; height:6cm;""><p>What type of rock is this?</p>","3","class_response","0","test","3","Gabbro","Andesite","09","false","4","1","","","","","","","","","",""
"","","","","","","","","","","","html-keyboard-response","12","2.0.0","358438","5f6a47e882e9cd0e1d6bbb8a","3","15","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","3","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","13","2.0.0","366520","5f6a47e882e9cd0e1d6bbb8a","3","15","8081","","","","","","","","","<img src= ""rock_img/I_Gabbro_01.jpg"" style=""width:8cm; height:5.21cm;""><p>What type of rock is this?</p>","3","class_response","0","test","4","Gabbro","Gabbro","01","true","4","4","","","","","","","","","",""
"","","","","","","","","","","","html-keyboard-response","14","2.0.0","367027","5f6a47e882e9cd0e1d6bbb8a","3","15","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","4","","","","","","","","","","","","","","","",""
