"width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone","trial_type","trial_index","plugin_version","time_elapsed","subjID","condition","stimID","rt","url","success","value","timeout","failed_images","failed_audio","failed_video","view_history","stimulus","response","trialType","cycle","phase","trial","resp","cat","token","corr","resp_num","cat_num","rt_ref","rt_paired","ref_cat_num","paired_cat_num","ref_cat","paired_cat"
"","","","","","","","","","","","html-button-response","11","2.0.0","347747","6732593eff011c52764cee0f","4","12","8439","","","","","","","","","<img src= ""rock_img/I_Diorite_11.jpg"" style=""width:8cm; height:7.11cm;""><p>What type of rock is this?</p>","5","class_response","0","test","3","Pegmatite","Diorite","11","false","6","3","","","","","",""
"","","","","","","","","","","","html-keyboard-response","12","2.0.0","348257","6732593eff011c52764cee0f","4","12","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","3","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","13","2.0.0","411785","6732593eff011c52764cee0f","4","12","63516","","","","","","","","","<img src= ""rock_img/I_Gabbro_15.jpg"" style=""width:8cm; height:6.29cm;""><p>What type of rock is this?</p>","2","class_response","0","test","4","Diorite","Gabbro","15","false","3","4","","","","","",""
"","","","","","","","","","","","html-keyboard-response","14","2.0.0","412306","6732593eff011c52764cee0f","4","12","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","4","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","15","2.0.0","418170","6732593eff011c52764cee0f","4","12","5849","","","","","","","","","<img src= ""rock_img/I_Pumice_04.jpg"" style=""width:8cm; height:6.819999999999999cm;""><p>What type of rock is this?</p>","7","class_response","0","test","5","Pumice","Pumice","04","true","8","8","","","","","",""
"","","","","","","","","","","","html-keyboard-response","16","2.0.0","418683","6732593eff011c52764cee0f","4","12","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","5","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","17","2.0.0","422910","6732593eff011c52764cee0f","4","12","4215","","","","","","","","","<img src= ""rock_img/I_Gabbro_10.jpg"" style=""width:8cm; height:5.680000000000001cm;""><p>What type of rock is this?</p>","3","class_response","0","test","6","Gabbro","Gabbro","10","true","4","4","","","","","",""
"","","","","","","","","","","","html-keyboard-response","18","2.0.0","423427","6732593eff011c52764cee0f","4","12","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","6","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","19","2.0.0","429416","6732593eff011c52764cee0f","4","12","5977","","","","","","","","","<img src= ""rock_img/I_Diorite_10.jpg"" style=""width:8cm; height:5.949999999999999cm;""><p>What type of rock is this?</p>","2","class_response","0","test","7","Diorite","Diorite","10","true","3","3","","","","","",""
"","","","","","","","","","","","html-keyboard-response","20","2.0.0","429938","6732593eff011c52764cee0f","4","12","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","7","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","21","2.0.0","437969","6732593eff011c52764cee0f","4","12","8019","","","","","","","","","<img src= ""rock_img/I_Obsidian_16.jpg"" style=""width:8cm; height:9.3cm;""><p>What type of rock is this?</p>","4","class_response","0","test","8","Obsidian","Obsidian","16","true","5","5","","","","","",""
"","","","","","","","","","","","html-keyboard-response","22","2.0.0","438484","6732593eff011c52764cee0f","4","12","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","8","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","23","2.0.0","440660","6732593eff011c52764cee0f","4","12","2163","","","","","","","","","<img src= ""rock_img/I_Obsidian_04.jpg"" style=""width:8cm; height:6.930000000000001cm;""><p>What type of rock is this?</p>","4","class_response","0","test","9","Obsidian","Obsidian","04","true","5","5","","","","","",""
"","","","","","","","","","","","html-keyboard-response","24","2.0.0","441176","6732593eff011c52764cee0f","4","12","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","9","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","25","2.0.0","447468","6732593eff011c52764cee0f","4","12","6279","","","","","","","","","<img src= ""rock_img/I_Basalt_08.jpg"" style=""width:8cm; height:10.44cm;""><p>What type of rock is this?</p>","1","class_response","0","test","10","Basalt","Basalt","08","true","2","2","","","","","",""
"","","","","","","","","","","","html-keyboard-response","26","2.0.0","447988","6732593eff011c52764cee0f","4","12","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","10","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","27","2.0.0","516192","6732593eff011c52764cee0f","4","12","68190","","","","","","","","","<img src= ""rock_img/I_Obsidian_07.jpg"" style=""width:8cm; height:4.76cm;""><p>What type of rock is this?</p>","1","class_response","0","test","11","Basalt","Obsidian","07","false","2","5","","","","","",""
"","","","","","","","","","","","html-keyboard-response","28","2.0.0","516705","6732593eff011c52764cee0f","4","12","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","11","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","29","2.0.0","555495","6732593eff011c52764cee0f","4","12","38782","","","","","","","","","<img src= ""rock_img/I_Peridotite_16.jpg"" style=""width:8cm; height:6.989999999999999cm;""><p>What type of rock is this?</p>","3","class_response","0","test","12","Gabbro","Peridotite","16","false","4","7","","","","","",""
"","","","","","","","","","","","html-keyboard-response","30","2.0.0","556003","6732593eff011c52764cee0f","4","12","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","12","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","31","2.0.0","587365","6732593eff011c52764cee0f","4","12","31347","","","","","","","","","<img src= ""rock_img/I_Peridotite_06.jpg"" style=""width:8cm; height:7.53cm;""><p>What type of rock is this?</p>","5","class_response","0","test","13","Pegmatite","Peridotite","06","false","6","7","","","","","",""
"","","","","","","","","","","","html-keyboard-response","32","2.0.0","587871","6732593eff011c52764cee0f","4","12","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","13","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","33","2.0.0","593598","6732593eff011c52764cee0f","4","12","5714","","","","","","","","","<img src= ""rock_img/I_Pumice_14.jpg"" style=""width:8cm; height:6.39cm;""><p>What type of rock is this?</p>","7","class_response","0","test","14","Pumice","Pumice","14","true","8","8","","","","","",""
"","","","","","","","","","","","html-keyboard-response","34","2.0.0","594112","6732593eff011c52764cee0f","4","12","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","14","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","35","2.0.0","649231","6732593eff011c52764cee0f","4","12","55118","","","","","","","","","<img src= ""rock_img/I_Andesite_05.jpg"" style=""width:8cm; height:4.12cm;""><p>What type of rock is this?</p>","2","class_response","0","test","15","Diorite","Andesite","05","false","3","1","","","","","",""
