"width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone","trial_type","trial_index","plugin_version","time_elapsed","subjID","condition","stimID","rt","url","success","value","timeout","failed_images","failed_audio","failed_video","view_history","stimulus","response","trialType","cycle","phase","trial","resp","cat","token","corr","resp_num","cat_num","rt_ref","rt_paired","ref_cat_num","paired_cat_num","ref_cat","paired_cat","text_Pumice","text_Diorite","time_obs","time_resp","text_Peridotite","text_Andesite","text_Gabbro","text_Obsidian"
"","","","","","","","","","","","html-button-response","23","2.0.0","68522","5ba855d47c0ebe0001272f70","4","5","2180","","","","","","","","","<img src= ""rock_img/I_Pegmatite_16.jpg"" style=""width:8cm; height:5.8cm;""><p>What type of rock is this?</p>","7","class_response","0","test","9","Pumice","Pegmatite","16","false","8","6","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-keyboard-response","24","2.0.0","69028","5ba855d47c0ebe0001272f70","4","5","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","9","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","25","2.0.0","71464","5ba855d47c0ebe0001272f70","4","5","2431","","","","","","","","","<img src= ""rock_img/I_Pegmatite_09.jpg"" style=""width:8cm; height:4.03cm;""><p>What type of rock is this?</p>","2","class_response","0","test","10","Diorite","Pegmatite","09","false","3","6","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-keyboard-response","26","2.0.0","71969","5ba855d47c0ebe0001272f70","4","5","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","10","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","27","2.0.0","73903","5ba855d47c0ebe0001272f70","4","5","1931","","","","","","","","","<img src= ""rock_img/I_Gabbro_05.jpg"" style=""width:8cm; height:6cm;""><p>What type of rock is this?</p>","4","class_response","0","test","11","Obsidian","Gabbro","05","false","5","4","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-keyboard-response","28","2.0.0","74420","5ba855d47c0ebe0001272f70","4","5","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","11","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","29","2.0.0","77073","5ba855d47c0ebe0001272f70","4","5","2648","","","","","","","","","<img src= ""rock_img/I_Peridotite_16.jpg"" style=""width:8cm; height:6.989999999999999cm;""><p>What type of rock is this?</p>","5","class_response","0","test","12","Pegmatite","Peridotite","16","false","6","7","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-keyboard-response","30","2.0.0","77585","5ba855d47c0ebe0001272f70","4","5","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","12","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","31","2.0.0","79748","5ba855d47c0ebe0001272f70","4","5","2160","","","","","","","","","<img src= ""rock_img/I_Diorite_15.jpg"" style=""width:8cm; height:5.54cm;""><p>What type of rock is this?</p>","6","class_response","0","test","13","Peridotite","Diorite","15","false","7","3","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-keyboard-response","32","2.0.0","80265","5ba855d47c0ebe0001272f70","4","5","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","13","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","33","2.0.0","82610","5ba855d47c0ebe0001272f70","4","5","2342","","","","","","","","","<img src= ""rock_img/I_Pegmatite_11.jpg"" style=""width:8cm; height:8.14cm;""><p>What type of rock is this?</p>","3","class_response","0","test","14","Gabbro","Pegmatite","11","false","4","6","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-keyboard-response","34","2.0.0","83126","5ba855d47c0ebe0001272f70","4","5","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","14","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","35","2.0.0","85820","5ba855d47c0ebe0001272f70","4","5","2691","","","","","","","","","<img src= ""rock_img/I_Pumice_06.jpg"" style=""width:8cm; height:6.9399999999999995cm;""><p>What type of rock is this?</p>","2","class_response","0","test","15","Diorite","Pumice","06","false","3","8","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-keyboard-response","36","2.0.0","86337","5ba855d47c0ebe0001272f70","4","5","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","15","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","37","2.0.0","88598","5ba855d47c0ebe0001272f70","4","5","2257","","","","","","","","","<img src= ""rock_img/I_Gabbro_15.jpg"" style=""width:8cm; height:6.29cm;""><p>What type of rock is this?</p>","1","class_response","0","test","16","Basalt","Gabbro","15","false","2","4","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-keyboard-response","38","2.0.0","89108","5ba855d47c0ebe0001272f70","4","5","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","16","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","39","2.0.0","90936","5ba855d47c0ebe0001272f70","4","5","1824","","","","","","","","","<img src= ""rock_img/I_Peridotite_10.jpg"" style=""width:8cm; height:5.390000000000001cm;""><p>What type of rock is this?</p>","4","class_response","0","test","17","Obsidian","Peridotite","10","false","5","7","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-keyboard-response","40","2.0.0","91452","5ba855d47c0ebe0001272f70","4","5","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","17","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","41","2.0.0","92997","5ba855d47c0ebe0001272f70","4","5","1542","","","","","","","","","<img src= ""rock_img/I_Basalt_04.jpg"" style=""width:8cm; height:7.53cm;""><p>What type of rock is this?</p>","1","class_response","0","test","18","Basalt","Basalt","04","true","2","2","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-keyboard-response","42","2.0.0","93505","5ba855d47c0ebe0001272f70","4","5","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","18","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","43","2.0.0","95262","5ba855d47c0ebe0001272f70","4","5","1754","","","","","","","","","<img src= ""rock_img/I_Obsidian_09.jpg"" style=""width:8cm; height:5cm;""><p>What type of rock is this?</p>","1","class_response","0","test","19","Basalt","Obsidian","09","false","2","5","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-keyboard-response","44","2.0.0","95775","5ba855d47c0ebe0001272f70","4","5","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","19","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","45","2.0.0","97271","5ba855d47c0ebe0001272f70","4","5","1493","","","","","","","","","<img src= ""rock_img/I_Pegmatite_03.jpg"" style=""width:8cm; height:5.239999999999999cm;""><p>What type of rock is this?</p>","6","class_response","0","test","20","Peridotite","Pegmatite","03","false","7","6","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-keyboard-response","46","2.0.0","97780","5ba855d47c0ebe0001272f70","4","5","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","20","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","47","2.0.0","99641","5ba855d47c0ebe0001272f70","4","5","1859","","","","","","","","","<img src= ""rock_img/I_Obsidian_07.jpg"" style=""width:8cm; height:4.76cm;""><p>What type of rock is this?</p>","2","class_response","0","test","21","Diorite","Obsidian","07","false","3","5","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-keyboard-response","48","2.0.0","100149","5ba855d47c0ebe0001272f70","4","5","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","21","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","49","2.0.0","103246","5ba855d47c0ebe0001272f70","4","5","3094","","","","","","","","","<img src= ""rock_img/I_Peridotite_06.jpg"" style=""width:8cm; height:7.53cm;""><p>What type of rock is this?</p>","2","class_response","0","test","22","Diorite","Peridotite","06","false","3","7","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-keyboard-response","50","2.0.0","103764","5ba855d47c0ebe0001272f70","4","5","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","22","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","51","2.0.0","105062","5ba855d47c0ebe0001272f70","4","5","1295","","","","","","","","","<img src= ""rock_img/I_Pumice_05.jpg"" style=""width:8cm; height:7.25cm;""><p>What type of rock is this?</p>","3","class_response","0","test","23","Gabbro","Pumice","05","false","4","8","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-keyboard-response","52","2.0.0","105566","5ba855d47c0ebe0001272f70","4","5","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","23","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","53","2.0.0","106707","5ba855d47c0ebe0001272f70","4","5","1138","","","","","","","","","<img src= ""rock_img/I_Andesite_11.jpg"" style=""width:8cm; height:4.92cm;""><p>What type of rock is this?</p>","7","class_response","0","test","24","Pumice","Andesite","11","false","8","1","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-keyboard-response","54","2.0.0","107224","5ba855d47c0ebe0001272f70","4","5","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","24","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","55","2.0.0","108522","5ba855d47c0ebe0001272f70","4","5","1295","","","","","","","","","<img src= ""rock_img/I_Obsidian_10.jpg"" style=""width:8cm; height:6.260000000000001cm;""><p>What type of rock is this?</p>","5","class_response","0","test","25","Pegmatite","Obsidian","10","false","6","5","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-keyboard-response","56","2.0.0","109024","5ba855d47c0ebe0001272f70","4","5","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","25","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","57","2.0.0","110503","5ba855d47c0ebe0001272f70","4","5","1475","","","","","","","","","<img src= ""rock_img/I_Peridotite_07.jpg"" style=""width:8cm; height:4.83cm;""><p>What type of rock is this?</p>","5","class_response","0","test","26","Pegmatite","Peridotite","07","false","6","7","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-keyboard-response","58","2.0.0","111008","5ba855d47c0ebe0001272f70","4","5","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","26","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","59","2.0.0","112869","5ba855d47c0ebe0001272f70","4","5","1858","","","","","","","","","<img src= ""rock_img/I_Andesite_06.jpg"" style=""width:8cm; height:6.840000000000001cm;""><p>What type of rock is this?</p>","2","class_response","0","test","27","Diorite","Andesite","06","false","3","1","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-keyboard-response","60","2.0.0","113375","5ba855d47c0ebe0001272f70","4","5","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","27","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","61","2.0.0","114579","5ba855d47c0ebe0001272f70","4","5","1202","","","","","","","","","<img src= ""rock_img/I_Gabbro_16.jpg"" style=""width:8cm; height:6.44cm;""><p>What type of rock is this?</p>","4","class_response","0","test","28","Obsidian","Gabbro","16","false","5","4","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-keyboard-response","62","2.0.0","115081","5ba855d47c0ebe0001272f70","4","5","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","28","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","63","2.0.0","116547","5ba855d47c0ebe0001272f70","4","5","1462","","","","","","","","","<img src= ""rock_img/I_Basalt_16.jpg"" style=""width:8cm; height:7.659999999999999cm;""><p>What type of rock is this?</p>","0","class_response","0","test","29","Andesite","Basalt","16","false","1","2","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-keyboard-response","64","2.0.0","117059","5ba855d47c0ebe0001272f70","4","5","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","29","","","","","","","","","","","","","","","","","","","",""
