"width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone","trial_type","trial_index","plugin_version","time_elapsed","subjID","condition","stimID","rt","url","success","value","timeout","failed_images","failed_audio","failed_video","view_history","stimulus","response","trialType","cycle","phase","trial","resp","cat","token","corr","resp_num","cat_num","rt_ref","rt_paired","ref_cat_num","paired_cat_num","ref_cat","paired_cat"
"1536","695","true","chrome","130.0.0","false","Windows 10","true","60.57","true","true","browser-check","0","2.0.0","999","60d3432bc679834595ca8139","4","5","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","external-html","1","2.0.0","38126","60d3432bc679834595ca8139","4","5","37060","consent_form.html","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","fullscreen","2","2.0.0","40677","60d3432bc679834595ca8139","4","5","1548","","true","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","call-function","3","2.0.0","40678","60d3432bc679834595ca8139","4","5","","","","{}","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","preload","4","2.0.0","44264","60d3432bc679834595ca8139","4","5","","","true","","false","[]","[]","[]","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","instructions","5","2.0.0","86187","60d3432bc679834595ca8139","4","5","41919","","","","","","","","[{""page_index"":0,""viewing_time"":11583},{""page_index"":1,""viewing_time"":21786},{""page_index"":2,""viewing_time"":8550}]","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","6","2.0.0","87945","60d3432bc679834595ca8139","4","5","1756","","","","","","","","","","0","start_test","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","7","2.0.0","92460","60d3432bc679834595ca8139","4","5","4514","","","","","","","","","<img src= ""rock_img/I_Obsidian_10.jpg"" style=""width:8cm; height:6.260000000000001cm;""><p>What type of rock is this?</p>","4","class_response","0","test","1","Obsidian","Obsidian","10","true","5","5","","","","","",""
"","","","","","","","","","","","html-keyboard-response","8","2.0.0","92975","60d3432bc679834595ca8139","4","5","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","1","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","9","2.0.0","97285","60d3432bc679834595ca8139","4","5","4308","","","","","","","","","<img src= ""rock_img/I_Andesite_06.jpg"" style=""width:8cm; height:6.840000000000001cm;""><p>What type of rock is this?</p>","7","class_response","0","test","2","Pumice","Andesite","06","false","8","1","","","","","",""
"","","","","","","","","","","","html-keyboard-response","10","2.0.0","97787","60d3432bc679834595ca8139","4","5","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","2","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","11","2.0.0","102769","60d3432bc679834595ca8139","4","5","4979","","","","","","","","","<img src= ""rock_img/I_Pegmatite_09.jpg"" style=""width:8cm; height:4.03cm;""><p>What type of rock is this?</p>","3","class_response","0","test","3","Gabbro","Pegmatite","09","false","4","6","","","","","",""
"","","","","","","","","","","","html-keyboard-response","12","2.0.0","103270","60d3432bc679834595ca8139","4","5","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","3","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","13","2.0.0","105806","60d3432bc679834595ca8139","4","5","2535","","","","","","","","","<img src= ""rock_img/I_Andesite_11.jpg"" style=""width:8cm; height:4.92cm;""><p>What type of rock is this?</p>","1","class_response","0","test","4","Basalt","Andesite","11","false","2","1","","","","","",""
"","","","","","","","","","","","html-keyboard-response","14","2.0.0","106314","60d3432bc679834595ca8139","4","5","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","4","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","15","2.0.0","108335","60d3432bc679834595ca8139","4","5","2019","","","","","","","","","<img src= ""rock_img/I_Pumice_09.jpg"" style=""width:8cm; height:6.44cm;""><p>What type of rock is this?</p>","0","class_response","0","test","5","Andesite","Pumice","09","false","1","8","","","","","",""
"","","","","","","","","","","","html-keyboard-response","16","2.0.0","108849","60d3432bc679834595ca8139","4","5","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","5","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","17","2.0.0","110545","60d3432bc679834595ca8139","4","5","1694","","","","","","","","","<img src= ""rock_img/I_Basalt_12.jpg"" style=""width:8cm; height:6.010000000000001cm;""><p>What type of rock is this?</p>","6","class_response","0","test","6","Peridotite","Basalt","12","false","7","2","","","","","",""
"","","","","","","","","","","","html-keyboard-response","18","2.0.0","111047","60d3432bc679834595ca8139","4","5","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","6","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","19","2.0.0","112641","60d3432bc679834595ca8139","4","5","1591","","","","","","","","","<img src= ""rock_img/I_Basalt_04.jpg"" style=""width:8cm; height:7.53cm;""><p>What type of rock is this?</p>","2","class_response","0","test","7","Diorite","Basalt","04","false","3","2","","","","","",""
"","","","","","","","","","","","html-keyboard-response","20","2.0.0","113149","60d3432bc679834595ca8139","4","5","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","7","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","21","2.0.0","115372","60d3432bc679834595ca8139","4","5","2221","","","","","","","","","<img src= ""rock_img/I_Peridotite_16.jpg"" style=""width:8cm; height:6.989999999999999cm;""><p>What type of rock is this?</p>","2","class_response","0","test","8","Diorite","Peridotite","16","false","3","7","","","","","",""
"","","","","","","","","","","","html-keyboard-response","22","2.0.0","115884","60d3432bc679834595ca8139","4","5","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","8","","","","","","","","","","","",""
