"width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone","trial_type","trial_index","plugin_version","time_elapsed","subjID","condition","stimID","rt","url","success","value","timeout","failed_images","failed_audio","failed_video","view_history","stimulus","response","trialType","cycle","phase","trial","resp","cat","token","corr","resp_num","cat_num","rt_ref","rt_paired","ref_cat_num","paired_cat_num","ref_cat","paired_cat","text_Gabbro","text_Andesite","time_obs","time_resp"
"","","","","","","","","","","","html-keyboard-response","10","2.0.0","69349","66d7b253c64eb18aa549d79c","4","24","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","2","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","11","2.0.0","74560","66d7b253c64eb18aa549d79c","4","24","5208","","","","","","","","","<img src= ""rock_img/I_Obsidian_07.jpg"" style=""width:8cm; height:4.76cm;""><p>What type of rock is this?</p>","4","class_response","0","test","3","Obsidian","Obsidian","07","true","5","5","","","","","","","","","",""
"","","","","","","","","","","","html-keyboard-response","12","2.0.0","75062","66d7b253c64eb18aa549d79c","4","24","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","3","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","13","2.0.0","79861","66d7b253c64eb18aa549d79c","4","24","4798","","","","","","","","","<img src= ""rock_img/I_Gabbro_13.jpg"" style=""width:8cm; height:5.08cm;""><p>What type of rock is this?</p>","6","class_response","0","test","4","Peridotite","Gabbro","13","false","7","4","","","","","","","","","",""
"","","","","","","","","","","","html-keyboard-response","14","2.0.0","80366","66d7b253c64eb18aa549d79c","4","24","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","4","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","15","2.0.0","82334","66d7b253c64eb18aa549d79c","4","24","1967","","","","","","","","","<img src= ""rock_img/I_Gabbro_11.jpg"" style=""width:8cm; height:6.2cm;""><p>What type of rock is this?</p>","7","class_response","0","test","5","Pumice","Gabbro","11","false","8","4","","","","","","","","","",""
"","","","","","","","","","","","html-keyboard-response","16","2.0.0","82836","66d7b253c64eb18aa549d79c","4","24","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","5","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","17","2.0.0","86925","66d7b253c64eb18aa549d79c","4","24","4088","","","","","","","","","<img src= ""rock_img/I_Basalt_06.jpg"" style=""width:8cm; height:7.06cm;""><p>What type of rock is this?</p>","3","class_response","0","test","6","Gabbro","Basalt","06","false","4","2","","","","","","","","","",""
"","","","","","","","","","","","html-keyboard-response","18","2.0.0","87428","66d7b253c64eb18aa549d79c","4","24","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","6","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","19","2.0.0","88477","66d7b253c64eb18aa549d79c","4","24","1048","","","","","","","","","<img src= ""rock_img/I_Diorite_11.jpg"" style=""width:8cm; height:7.11cm;""><p>What type of rock is this?</p>","2","class_response","0","test","7","Diorite","Diorite","11","true","3","3","","","","","","","","","",""
"","","","","","","","","","","","html-keyboard-response","20","2.0.0","88980","66d7b253c64eb18aa549d79c","4","24","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","7","","","","","","","","","","","","","","","",""
