"width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone","trial_type","trial_index","plugin_version","time_elapsed","subjID","condition","stimID","rt","url","success","value","timeout","failed_images","failed_audio","failed_video","view_history","stimulus","response","trialType","cycle","phase","trial","resp","cat","token","corr","resp_num","cat_num","rt_ref","rt_paired","ref_cat_num","paired_cat_num","ref_cat","paired_cat"
"1467","723","true","firefox","132.0.0","false","Windows 10","true","98.04","true","true","browser-check","0","2.0.0","623","570d22b35e5156000efd8bd5","4","49","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","external-html","1","2.0.0","6878","570d22b35e5156000efd8bd5","4","49","6155","consent_form.html","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","fullscreen","2","2.0.0","11169","570d22b35e5156000efd8bd5","4","49","3275","","true","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","call-function","3","2.0.0","11171","570d22b35e5156000efd8bd5","4","49","","","","{}","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","preload","4","2.0.0","13601","570d22b35e5156000efd8bd5","4","49","","","true","","false","[]","[]","[]","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","instructions","5","2.0.0","72718","570d22b35e5156000efd8bd5","4","49","59116","","","","","","","","[{""page_index"":0,""viewing_time"":11870},{""page_index"":1,""viewing_time"":27267},{""page_index"":2,""viewing_time"":19979}]","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","6","2.0.0","74978","570d22b35e5156000efd8bd5","4","49","2255","","","","","","","","","","0","start_test","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","7","2.0.0","90889","570d22b35e5156000efd8bd5","4","49","15908","","","","","","","","","<img src= ""rock_img/I_Pumice_04.jpg"" style=""width:8cm; height:6.819999999999999cm;""><p>What type of rock is this?</p>","6","class_response","0","test","1","Peridotite","Pumice","04","false","7","8","","","","","",""
"","","","","","","","","","","","html-keyboard-response","8","2.0.0","91402","570d22b35e5156000efd8bd5","4","49","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","1","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","9","2.0.0","95734","570d22b35e5156000efd8bd5","4","49","4330","","","","","","","","","<img src= ""rock_img/I_Peridotite_04.jpg"" style=""width:8cm; height:6.680000000000001cm;""><p>What type of rock is this?</p>","5","class_response","0","test","2","Pegmatite","Peridotite","04","false","6","7","","","","","",""
