"width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone","trial_type","trial_index","plugin_version","time_elapsed","subjID","condition","stimID","rt","url","success","value","timeout","failed_images","failed_audio","failed_video","view_history","stimulus","response","trialType","cycle","phase","trial","resp","cat","token","corr","resp_num","cat_num"
"","","","","","","","","","","","html-button-response","25","2.0.0","356455","665dd4ef9ba81d499d675de5","2","53","4306","","","","","","","","","<img src= ""rock_img/I_Pegmatite_09.jpg"" style=""width:8cm; height:4.03cm;""><p>What type of rock is this?</p>","0","class_response","0","test","10","Andesite","Pegmatite","09","false","1","6"
"","","","","","","","","","","","html-keyboard-response","26","2.0.0","356957","665dd4ef9ba81d499d675de5","2","53","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","10","","","","","",""
"","","","","","","","","","","","html-button-response","27","2.0.0","358820","665dd4ef9ba81d499d675de5","2","53","1861","","","","","","","","","<img src= ""rock_img/I_Andesite_16.jpg"" style=""width:8cm; height:6.010000000000001cm;""><p>What type of rock is this?</p>","1","class_response","0","test","11","Basalt","Andesite","16","false","2","1"
"","","","","","","","","","","","html-keyboard-response","28","2.0.0","359323","665dd4ef9ba81d499d675de5","2","53","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","11","","","","","",""
"","","","","","","","","","","","html-button-response","29","2.0.0","360597","665dd4ef9ba81d499d675de5","2","53","1273","","","","","","","","","<img src= ""rock_img/I_Obsidian_02.jpg"" style=""width:8cm; height:7.51cm;""><p>What type of rock is this?</p>","5","class_response","0","test","12","Pegmatite","Obsidian","02","false","6","5"
"","","","","","","","","","","","html-keyboard-response","30","2.0.0","361099","665dd4ef9ba81d499d675de5","2","53","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","12","","","","","",""
"","","","","","","","","","","","html-button-response","31","2.0.0","362826","665dd4ef9ba81d499d675de5","2","53","1725","","","","","","","","","<img src= ""rock_img/I_Obsidian_11.jpg"" style=""width:8cm; height:6.05cm;""><p>What type of rock is this?</p>","4","class_response","0","test","13","Obsidian","Obsidian","11","true","5","5"
"","","","","","","","","","","","html-keyboard-response","32","2.0.0","363338","665dd4ef9ba81d499d675de5","2","53","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","13","","","","","",""
"","","","","","","","","","","","html-button-response","33","2.0.0","365004","665dd4ef9ba81d499d675de5","2","53","1664","","","","","","","","","<img src= ""rock_img/I_Andesite_03.jpg"" style=""width:8cm; height:5.73cm;""><p>What type of rock is this?</p>","2","class_response","0","test","14","Diorite","Andesite","03","false","3","1"
"","","","","","","","","","","","html-keyboard-response","34","2.0.0","365507","665dd4ef9ba81d499d675de5","2","53","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","14","","","","","",""
"","","","","","","","","","","","html-button-response","35","2.0.0","366449","665dd4ef9ba81d499d675de5","2","53","941","","","","","","","","","<img src= ""rock_img/I_Diorite_16.jpg"" style=""width:8cm; height:6.74cm;""><p>What type of rock is this?</p>","4","class_response","0","test","15","Obsidian","Diorite","16","false","5","3"
"","","","","","","","","","","","html-keyboard-response","36","2.0.0","366952","665dd4ef9ba81d499d675de5","2","53","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","15","","","","","",""
