"width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone","trial_type","trial_index","plugin_version","time_elapsed","rt","url","success","value"
"1366","641","true","chrome","129.0.0","false","Windows 10","true","61.43","true","true","browser-check","0","2.0.0","986","","","",""
"","","","","","","","","","","","external-html","1","2.0.0","18679","16603","consent_form.html","",""
"","","","","","","","","","","","fullscreen","2","2.0.0","23364","3672","","true",""
"","","","","","","","","","","","call-function","3","2.0.0","23366","","","","{}"
