"width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone","trial_type","trial_index","plugin_version","time_elapsed","subjID","condition","stimID","rt","url","success","value","timeout","failed_images","failed_audio","failed_video","view_history"
"1300","643","true","chrome","130.0.0","false","Chrome OS","true","60.84","true","true","browser-check","0","2.0.0","1013","66358a9d8097a16fa815976f","4","36","","","","","","","","",""
"","","","","","","","","","","","external-html","1","2.0.0","5869","66358a9d8097a16fa815976f","4","36","4742","consent_form.html","","","","","","",""
"","","","","","","","","","","","fullscreen","2","2.0.0","20025","66358a9d8097a16fa815976f","4","36","13151","","true","","","","","",""
"","","","","","","","","","","","call-function","3","2.0.0","20031","66358a9d8097a16fa815976f","4","36","","","","{}","","","","",""
"","","","","","","","","","","","preload","4","2.0.0","20604","66358a9d8097a16fa815976f","4","36","","","true","","false","[]","[]","[]",""
"","","","","","","","","","","","instructions","5","2.0.0","24690","66358a9d8097a16fa815976f","4","36","4084","","","","","","","","[{""page_index"":0,""viewing_time"":1234},{""page_index"":1,""viewing_time"":1721},{""page_index"":2,""viewing_time"":1128}]"
