"","cat","token","Pr_corr"
"1","Andesite",1,0.27027027027027
"2","Andesite",2,0.75
"3","Andesite",3,0.605263157894737
"4","Andesite",4,0.71875
"5","Andesite",5,0.791666666666667
"6","Andesite",6,0.69047619047619
"7","Andesite",7,0.45
"8","Andesite",9,0.685714285714286
"9","Andesite",10,0.577777777777778
"10","Andesite",11,0.764705882352941
"11","Andesite",14,0.644444444444444
"12","Andesite",16,0.7
"13","Basalt",1,0.967741935483871
"14","Basalt",2,0.970588235294118
"15","Basalt",3,0.282051282051282
"16","Basalt",4,0.925
"17","Basalt",5,0.891891891891892
"18","Basalt",6,0.948717948717949
"19","Basalt",8,0.916666666666667
"20","Basalt",9,0.897435897435897
"21","Basalt",10,0.676470588235294
"22","Basalt",13,0.722222222222222
"23","Basalt",14,0.05
"24","Basalt",16,0.461538461538462
"25","Diorite",2,0.823529411764706
"26","Diorite",6,0.75
"27","Diorite",7,0.805555555555556
"28","Diorite",8,0.757575757575758
"29","Diorite",9,0.945945945945946
"30","Diorite",10,0.837837837837838
"31","Diorite",11,0.840909090909091
"32","Diorite",12,0.825
"33","Diorite",13,0.636363636363636
"34","Diorite",14,0.757575757575758
"35","Diorite",15,0.804878048780488
"36","Diorite",16,0.8
"37","Gabbro",1,0.2
"38","Gabbro",3,0.311111111111111
"39","Gabbro",5,0.545454545454545
"40","Gabbro",8,0.666666666666667
"41","Gabbro",9,0.552631578947368
"42","Gabbro",10,0.609756097560976
"43","Gabbro",11,0.363636363636364
"44","Gabbro",12,0.448275862068966
"45","Gabbro",13,0.696969696969697
"46","Gabbro",14,0.727272727272727
"47","Gabbro",15,0.342105263157895
"48","Gabbro",16,0.625
"49","Obsidian",2,1
"50","Obsidian",4,1
"51","Obsidian",5,0.972222222222222
"52","Obsidian",6,0.973684210526316
"53","Obsidian",7,0.975
"54","Obsidian",8,1
"55","Obsidian",9,1
"56","Obsidian",10,0.945945945945946
"57","Obsidian",11,1
"58","Obsidian",12,1
"59","Obsidian",14,0.966666666666667
"60","Obsidian",16,1
"61","Pegmatite",3,0.692307692307692
"62","Pegmatite",5,0.833333333333333
"63","Pegmatite",6,0.595238095238095
"64","Pegmatite",7,0.885714285714286
"65","Pegmatite",8,0.941176470588235
"66","Pegmatite",9,0.8
"67","Pegmatite",10,0.451612903225806
"68","Pegmatite",11,0.789473684210526
"69","Pegmatite",12,0.707317073170732
"70","Pegmatite",13,0.8
"71","Pegmatite",15,1
"72","Pegmatite",16,0.871794871794872
"73","Peridotite",2,0.82051282051282
"74","Peridotite",4,0.25
"75","Peridotite",5,0.885714285714286
"76","Peridotite",6,0.6
"77","Peridotite",7,0.911764705882353
"78","Peridotite",8,0.875
"79","Peridotite",10,0.91304347826087
"80","Peridotite",12,0.709677419354839
"81","Peridotite",13,0.918918918918919
"82","Peridotite",14,0.605263157894737
"83","Peridotite",15,0.861111111111111
"84","Peridotite",16,0.585365853658537
"85","Pumice",2,1
"86","Pumice",3,1
"87","Pumice",4,1
"88","Pumice",5,1
"89","Pumice",6,1
"90","Pumice",8,1
"91","Pumice",9,1
"92","Pumice",10,0.948717948717949
"93","Pumice",13,1
"94","Pumice",14,1
"95","Pumice",15,1
"96","Pumice",16,0.974358974358974
