"","cat","token","Pr_corr"
"1","Andesite",1,0.161290322580645
"2","Andesite",2,0.755102040816326
"3","Andesite",3,0.705882352941177
"4","Andesite",4,0.619047619047619
"5","Andesite",5,0.794117647058823
"6","Andesite",6,0.744186046511628
"7","Andesite",7,0.526315789473684
"8","Andesite",9,0.731707317073171
"9","Andesite",10,0.688888888888889
"10","Andesite",11,0.75
"11","Andesite",14,0.606060606060606
"12","Andesite",16,0.805555555555556
"13","Basalt",1,0.971428571428571
"14","Basalt",2,0.904761904761905
"15","Basalt",3,0.0909090909090909
"16","Basalt",4,1
"17","Basalt",5,0.891891891891892
"18","Basalt",6,1
"19","Basalt",8,0.971428571428571
"20","Basalt",9,0.916666666666667
"21","Basalt",10,0.813953488372093
"22","Basalt",13,0.851851851851852
"23","Basalt",14,0.024390243902439
"24","Basalt",16,0.354838709677419
"25","Diorite",2,0.825
"26","Diorite",6,0.763157894736842
"27","Diorite",7,0.775510204081633
"28","Diorite",8,0.848484848484849
"29","Diorite",9,0.944444444444444
"30","Diorite",10,0.805555555555556
"31","Diorite",11,0.735294117647059
"32","Diorite",12,0.783783783783784
"33","Diorite",13,0.794871794871795
"34","Diorite",14,0.872340425531915
"35","Diorite",15,0.685714285714286
"36","Diorite",16,0.868421052631579
"37","Gabbro",1,0.456521739130435
"38","Gabbro",3,0.51219512195122
"39","Gabbro",5,0.675
"40","Gabbro",8,0.702702702702703
"41","Gabbro",9,0.69047619047619
"42","Gabbro",10,0.625
"43","Gabbro",11,0.540540540540541
"44","Gabbro",12,0.5
"45","Gabbro",13,0.405405405405405
"46","Gabbro",14,0.757575757575758
"47","Gabbro",15,0.552631578947368
"48","Gabbro",16,0.285714285714286
"49","Obsidian",2,1
"50","Obsidian",4,0.976190476190476
"51","Obsidian",5,0.972972972972973
"52","Obsidian",6,1
"53","Obsidian",7,0.976744186046512
"54","Obsidian",8,1
"55","Obsidian",9,1
"56","Obsidian",10,1
"57","Obsidian",11,1
"58","Obsidian",12,1
"59","Obsidian",14,1
"60","Obsidian",16,1
"61","Pegmatite",3,0.869565217391304
"62","Pegmatite",5,0.95
"63","Pegmatite",6,0.825
"64","Pegmatite",7,0.96
"65","Pegmatite",8,0.979166666666667
"66","Pegmatite",9,0.972972972972973
"67","Pegmatite",10,0.861111111111111
"68","Pegmatite",11,0.947368421052632
"69","Pegmatite",12,0.864864864864865
"70","Pegmatite",13,0.842105263157895
"71","Pegmatite",15,0.973684210526316
"72","Pegmatite",16,0.891891891891892
"73","Peridotite",2,0.933333333333333
"74","Peridotite",4,0.260869565217391
"75","Peridotite",5,0.931818181818182
"76","Peridotite",6,0.815789473684211
"77","Peridotite",7,0.9375
"78","Peridotite",8,0.941176470588235
"79","Peridotite",10,0.923076923076923
"80","Peridotite",12,0.805555555555556
"81","Peridotite",13,0.909090909090909
"82","Peridotite",14,0.53125
"83","Peridotite",15,0.941176470588235
"84","Peridotite",16,0.575757575757576
"85","Pumice",2,1
"86","Pumice",3,1
"87","Pumice",4,1
"88","Pumice",5,1
"89","Pumice",6,1
"90","Pumice",8,0.939393939393939
"91","Pumice",9,1
"92","Pumice",10,0.921052631578947
"93","Pumice",13,1
"94","Pumice",14,1
"95","Pumice",15,1
"96","Pumice",16,0.945945945945946
