"rt","url","trial_type","trial_index","plugin_version","time_elapsed","subject","condition","success","timeout","failed_images","failed_audio","failed_video","view_history","stimulus","response","trialType","cycle","phase","trial","resp","cat","token","corr","resp_num","cat_num","value","ref_cat_num","paired_cat_num","time_obs","ref_cat","paired_cat","ref_prob_dist","paired_prob_dist","text_Pegmatite","text_Diorite","time_resp","text_Gabbro","time_fb1","time_fb2","text_Obsidian","text_Basalt","text_Peridotite"
"1349","","html-button-response","11","2.0.0","43731","test","3","","","","","","","<img src= ""rock_img/I_Basalt_10.jpg"" style=""width:8cm; height:5.85cm;""><p>What type of rock is this?</p>","5","class_response","0","test","5","Pegmatite","Basalt","10","false","6","2","","","","","","","","","","","","","","","","",""
"null","","html-keyboard-response","12","2.0.0","44233","test","3","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","5","","","","","","","","","","","","","","","","","","","","","","",""
"2984","","html-button-response","13","2.0.0","47220","test","3","","","","","","","<img src= ""rock_img/I_Pumice_04.jpg"" style=""width:8cm; height:6.819999999999999cm;""><p>What type of rock is this?</p>","1","class_response","0","test","6","Basalt","Pumice","04","false","2","8","","","","","","","","","","","","","","","","",""
"null","","html-keyboard-response","14","2.0.0","47723","test","3","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","6","","","","","","","","","","","","","","","","","","","","","","",""
"2448","","html-button-response","15","2.0.0","50174","test","3","","","","","","","<img src= ""rock_img/I_Pumice_09.jpg"" style=""width:8cm; height:6.44cm;""><p>What type of rock is this?</p>","7","class_response","0","test","7","Pumice","Pumice","09","true","8","8","","","","","","","","","","","","","","","","",""
"null","","html-keyboard-response","16","2.0.0","50676","test","3","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","7","","","","","","","","","","","","","","","","","","","","","","",""
"1238","","html-button-response","17","2.0.0","51917","test","3","","","","","","","<img src= ""rock_img/I_Andesite_03.jpg"" style=""width:8cm; height:5.73cm;""><p>What type of rock is this?</p>","3","class_response","0","test","8","Gabbro","Andesite","03","false","4","1","","","","","","","","","","","","","","","","",""
"null","","html-keyboard-response","18","2.0.0","52418","test","3","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","8","","","","","","","","","","","","","","","","","","","","","","",""
"2298","","html-button-response","19","2.0.0","54719","test","3","","","","","","","<img src= ""rock_img/I_Basalt_04.jpg"" style=""width:8cm; height:7.53cm;""><p>What type of rock is this?</p>","4","class_response","0","test","9","Obsidian","Basalt","04","false","5","2","","","","","","","","","","","","","","","","",""
"null","","html-keyboard-response","20","2.0.0","55221","test","3","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","9","","","","","","","","","","","","","","","","","","","","","","",""
"927","","html-button-response","21","2.0.0","56150","test","3","","","","","","","<img src= ""rock_img/I_Gabbro_10.jpg"" style=""width:8cm; height:5.680000000000001cm;""><p>What type of rock is this?</p>","0","class_response","0","test","10","Andesite","Gabbro","10","false","1","4","","","","","","","","","","","","","","","","",""
"null","","html-keyboard-response","22","2.0.0","56652","test","3","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","10","","","","","","","","","","","","","","","","","","","","","","",""
"1841","","html-button-response","23","2.0.0","58496","test","3","","","","","","","<img src= ""rock_img/I_Diorite_11.jpg"" style=""width:8cm; height:7.11cm;""><p>What type of rock is this?</p>","6","class_response","0","test","11","Peridotite","Diorite","11","false","7","3","","","","","","","","","","","","","","","","",""
"null","","html-keyboard-response","24","2.0.0","58998","test","3","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","11","","","","","","","","","","","","","","","","","","","","","","",""
"1960","","html-button-response","25","2.0.0","60961","test","3","","","","","","","<img src= ""rock_img/I_Pegmatite_16.jpg"" style=""width:8cm; height:5.8cm;""><p>What type of rock is this?</p>","3","class_response","0","test","12","Gabbro","Pegmatite","16","false","4","6","","","","","","","","","","","","","","","","",""
"null","","html-keyboard-response","26","2.0.0","61463","test","3","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","12","","","","","","","","","","","","","","","","","","","","","","",""
"1350","","html-button-response","27","2.0.0","62816","test","3","","","","","","","<img src= ""rock_img/I_Peridotite_08.jpg"" style=""width:8cm; height:6.7cm;""><p>What type of rock is this?</p>","4","class_response","0","test","13","Obsidian","Peridotite","08","false","5","7","","","","","","","","","","","","","","","","",""
"null","","html-keyboard-response","28","2.0.0","63317","test","3","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","13","","","","","","","","","","","","","","","","","","","","","","",""
"1607","","html-button-response","29","2.0.0","64927","test","3","","","","","","","<img src= ""rock_img/I_Peridotite_06.jpg"" style=""width:8cm; height:7.53cm;""><p>What type of rock is this?</p>","0","class_response","0","test","14","Andesite","Peridotite","06","false","1","7","","","","","","","","","","","","","","","","",""
"null","","html-keyboard-response","30","2.0.0","65430","test","3","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","14","","","","","","","","","","","","","","","","","","","","","","",""
"1815","","html-button-response","31","2.0.0","67248","test","3","","","","","","","<img src= ""rock_img/I_Diorite_13.jpg"" style=""width:8cm; height:6.29cm;""><p>What type of rock is this?</p>","5","class_response","0","test","15","Pegmatite","Diorite","13","false","6","3","","","","","","","","","","","","","","","","",""
"null","","html-keyboard-response","32","2.0.0","67750","test","3","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","15","","","","","","","","","","","","","","","","","","","","","","",""
"3629","","html-button-response","33","2.0.0","71381","test","3","","","","","","","<img src= ""rock_img/I_Obsidian_14.jpg"" style=""width:8cm; height:7.64cm;""><p>What type of rock is this?</p>","2","class_response","0","test","16","Diorite","Obsidian","14","false","3","5","","","","","","","","","","","","","","","","",""
"null","","html-keyboard-response","34","2.0.0","71882","test","3","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","16","","","","","","","","","","","","","","","","","","","","","","",""
"2485","","html-button-response","35","2.0.0","74369","test","3","","","","","","","<img src= ""rock_img/I_Obsidian_06.jpg"" style=""width:8cm; height:6.8cm;""><p>What type of rock is this?</p>","2","class_response","0","test","17","Diorite","Obsidian","06","false","3","5","","","","","","","","","","","","","","","","",""
"null","","html-keyboard-response","36","2.0.0","74871","test","3","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","17","","","","","","","","","","","","","","","","","","","","","","",""
"2220","","html-button-response","37","2.0.0","77093","test","3","","","","","","","<img src= ""rock_img/I_Pumice_02.jpg"" style=""width:8cm; height:7.3999999999999995cm;""><p>What type of rock is this?</p>","0","class_response","0","test","18","Andesite","Pumice","02","false","1","8","","","","","","","","","","","","","","","","",""
"null","","html-keyboard-response","38","2.0.0","77595","test","3","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","18","","","","","","","","","","","","","","","","","","","","","","",""
"1037","","html-button-response","39","2.0.0","78635","test","3","","","","","","","<img src= ""rock_img/I_Andesite_02.jpg"" style=""width:8cm; height:8.5cm;""><p>What type of rock is this?</p>","4","class_response","0","test","19","Obsidian","Andesite","02","false","5","1","","","","","","","","","","","","","","","","",""
"null","","html-keyboard-response","40","2.0.0","79138","test","3","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","19","","","","","","","","","","","","","","","","","","","","","","",""
"2052","","html-button-response","41","2.0.0","81193","test","3","","","","","","","<img src= ""rock_img/I_Obsidian_12.jpg"" style=""width:8cm; height:6.53cm;""><p>What type of rock is this?</p>","0","class_response","0","test","20","Andesite","Obsidian","12","false","1","5","","","","","","","","","","","","","","","","",""
"null","","html-keyboard-response","42","2.0.0","81695","test","3","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","20","","","","","","","","","","","","","","","","","","","","","","",""
"1041","","html-button-response","43","2.0.0","82739","test","3","","","","","","","<img src= ""rock_img/I_Gabbro_14.jpg"" style=""width:8cm; height:8.48cm;""><p>What type of rock is this?</p>","1","class_response","0","test","21","Basalt","Gabbro","14","false","2","4","","","","","","","","","","","","","","","","",""
"null","","html-keyboard-response","44","2.0.0","83240","test","3","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","21","","","","","","","","","","","","","","","","","","","","","","",""
"3373","","html-button-response","45","2.0.0","86615","test","3","","","","","","","<img src= ""rock_img/I_Diorite_16.jpg"" style=""width:8cm; height:6.74cm;""><p>What type of rock is this?</p>","4","class_response","0","test","22","Obsidian","Diorite","16","false","5","3","","","","","","","","","","","","","","","","",""
"null","","html-keyboard-response","46","2.0.0","87116","test","3","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","22","","","","","","","","","","","","","","","","","","","","","","",""
"1362","","html-button-response","47","2.0.0","88481","test","3","","","","","","","<img src= ""rock_img/I_Pegmatite_07.jpg"" style=""width:8cm; height:6.7cm;""><p>What type of rock is this?</p>","2","class_response","0","test","23","Diorite","Pegmatite","07","false","3","6","","","","","","","","","","","","","","","","",""
"null","","html-keyboard-response","48","2.0.0","88983","test","3","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","23","","","","","","","","","","","","","","","","","","","","","","",""
