"rt","url","trial_type","trial_index","plugin_version","time_elapsed","subject","condition","success","timeout","failed_images","failed_audio","failed_video","view_history","stimulus","response","trialType","cycle","phase","trial","resp","cat","token","corr","resp_num","cat_num","value","ref_cat_num","paired_cat_num","time_obs","ref_cat","paired_cat","ref_prob_dist","paired_prob_dist","text_Pegmatite","text_Diorite","time_resp","text_Gabbro","time_fb1","time_fb2","text_Obsidian","text_Basalt","text_Peridotite"
"null","","html-keyboard-response","90","2.0.0","284588","test","3","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","1","test","2","","","","","","","","","","","","","","","","","","","","","","",""
"28241","","html-button-response","91","2.0.0","312832","test","3","","","","","","","<img src= ""rock_img/I_Diorite_13.jpg"" style=""width:8cm; height:6.29cm;""><p>What type of rock is this?</p>","5","class_response","1","test","3","Pegmatite","Diorite","13","false","6","3","","","","","","","","","","","","","","","","",""
"null","","html-keyboard-response","92","2.0.0","313334","test","3","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","1","test","3","","","","","","","","","","","","","","","","","","","","","","",""
"31459","","html-button-response","93","2.0.0","344794","test","3","","","","","","","<img src= ""rock_img/I_Andesite_14.jpg"" style=""width:8cm; height:5.449999999999999cm;""><p>What type of rock is this?</p>","0","class_response","1","test","4","Andesite","Andesite","14","true","1","1","","","","","","","","","","","","","","","","",""
"null","","html-keyboard-response","94","2.0.0","345296","test","3","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","1","test","4","","","","","","","","","","","","","","","","","","","","","","",""
"5513","","html-button-response","95","2.0.0","350812","test","3","","","","","","","<img src= ""rock_img/I_Gabbro_10.jpg"" style=""width:8cm; height:5.680000000000001cm;""><p>What type of rock is this?</p>","2","class_response","1","test","5","Diorite","Gabbro","10","false","3","4","","","","","","","","","","","","","","","","",""
"null","","html-keyboard-response","96","2.0.0","351314","test","3","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","1","test","5","","","","","","","","","","","","","","","","","","","","","","",""
"1798","","html-button-response","97","2.0.0","353114","test","3","","","","","","","<img src= ""rock_img/I_Basalt_10.jpg"" style=""width:8cm; height:5.85cm;""><p>What type of rock is this?</p>","4","class_response","1","test","6","Obsidian","Basalt","10","false","5","2","","","","","","","","","","","","","","","","",""
"null","","html-keyboard-response","98","2.0.0","353616","test","3","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","1","test","6","","","","","","","","","","","","","","","","","","","","","","",""
"1115","","html-button-response","99","2.0.0","354733","test","3","","","","","","","<img src= ""rock_img/I_Pumice_09.jpg"" style=""width:8cm; height:6.44cm;""><p>What type of rock is this?</p>","7","class_response","1","test","7","Pumice","Pumice","09","true","8","8","","","","","","","","","","","","","","","","",""
"null","","html-keyboard-response","100","2.0.0","355235","test","3","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","1","test","7","","","","","","","","","","","","","","","","","","","","","","",""
"5597","","html-button-response","101","2.0.0","360834","test","3","","","","","","","<img src= ""rock_img/I_Pegmatite_09.jpg"" style=""width:8cm; height:4.03cm;""><p>What type of rock is this?</p>","5","class_response","1","test","8","Pegmatite","Pegmatite","09","true","6","6","","","","","","","","","","","","","","","","",""
"null","","html-keyboard-response","102","2.0.0","361337","test","3","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","1","test","8","","","","","","","","","","","","","","","","","","","","","","",""
"1624","","html-button-response","103","2.0.0","362963","test","3","","","","","","","<img src= ""rock_img/I_Pumice_04.jpg"" style=""width:8cm; height:6.819999999999999cm;""><p>What type of rock is this?</p>","7","class_response","1","test","9","Pumice","Pumice","04","true","8","8","","","","","","","","","","","","","","","","",""
"null","","html-keyboard-response","104","2.0.0","363465","test","3","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","1","test","9","","","","","","","","","","","","","","","","","","","","","","",""
"647","","html-button-response","105","2.0.0","364114","test","3","","","","","","","<img src= ""rock_img/I_Pumice_02.jpg"" style=""width:8cm; height:7.3999999999999995cm;""><p>What type of rock is this?</p>","7","class_response","1","test","10","Pumice","Pumice","02","true","8","8","","","","","","","","","","","","","","","","",""
"null","","html-keyboard-response","106","2.0.0","364616","test","3","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","1","test","10","","","","","","","","","","","","","","","","","","","","","","",""
"2857","","html-button-response","107","2.0.0","367476","test","3","","","","","","","<img src= ""rock_img/I_Peridotite_06.jpg"" style=""width:8cm; height:7.53cm;""><p>What type of rock is this?</p>","0","class_response","1","test","11","Andesite","Peridotite","06","false","1","7","","","","","","","","","","","","","","","","",""
"null","","html-keyboard-response","108","2.0.0","367979","test","3","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","1","test","11","","","","","","","","","","","","","","","","","","","","","","",""
"1333","","html-button-response","109","2.0.0","369313","test","3","","","","","","","<img src= ""rock_img/I_Peridotite_14.jpg"" style=""width:8cm; height:5.3cm;""><p>What type of rock is this?</p>","1","class_response","1","test","12","Basalt","Peridotite","14","false","2","7","","","","","","","","","","","","","","","","",""
"null","","html-keyboard-response","110","2.0.0","369815","test","3","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","1","test","12","","","","","","","","","","","","","","","","","","","","","","",""
"5040","","html-button-response","111","2.0.0","374858","test","3","","","","","","","<img src= ""rock_img/I_Gabbro_12.jpg"" style=""width:8cm; height:7.800000000000001cm;""><p>What type of rock is this?</p>","2","class_response","1","test","13","Diorite","Gabbro","12","false","3","4","","","","","","","","","","","","","","","","",""
"null","","html-keyboard-response","112","2.0.0","375360","test","3","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","1","test","13","","","","","","","","","","","","","","","","","","","","","","",""
"1971","","html-button-response","113","2.0.0","377334","test","3","","","","","","","<img src= ""rock_img/I_Obsidian_12.jpg"" style=""width:8cm; height:6.53cm;""><p>What type of rock is this?</p>","1","class_response","1","test","14","Basalt","Obsidian","12","false","2","5","","","","","","","","","","","","","","","","",""
"null","","html-keyboard-response","114","2.0.0","377836","test","3","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","1","test","14","","","","","","","","","","","","","","","","","","","","","","",""
"2033","","html-button-response","115","2.0.0","379871","test","3","","","","","","","<img src= ""rock_img/I_Peridotite_08.jpg"" style=""width:8cm; height:6.7cm;""><p>What type of rock is this?</p>","0","class_response","1","test","15","Andesite","Peridotite","08","false","1","7","","","","","","","","","","","","","","","","",""
"null","","html-keyboard-response","116","2.0.0","380373","test","3","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","1","test","15","","","","","","","","","","","","","","","","","","","","","","",""
"2049","","html-button-response","117","2.0.0","382424","test","3","","","","","","","<img src= ""rock_img/I_Pegmatite_16.jpg"" style=""width:8cm; height:5.8cm;""><p>What type of rock is this?</p>","4","class_response","1","test","16","Obsidian","Pegmatite","16","false","5","6","","","","","","","","","","","","","","","","",""
"null","","html-keyboard-response","118","2.0.0","382926","test","3","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","1","test","16","","","","","","","","","","","","","","","","","","","","","","",""
"890","","html-button-response","119","2.0.0","383819","test","3","","","","","","","<img src= ""rock_img/I_Pegmatite_07.jpg"" style=""width:8cm; height:6.7cm;""><p>What type of rock is this?</p>","4","class_response","1","test","17","Obsidian","Pegmatite","07","false","5","6","","","","","","","","","","","","","","","","",""
"null","","html-keyboard-response","120","2.0.0","384322","test","3","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","1","test","17","","","","","","","","","","","","","","","","","","","","","","",""
"2134","","html-button-response","121","2.0.0","386458","test","3","","","","","","","<img src= ""rock_img/I_Obsidian_14.jpg"" style=""width:8cm; height:7.64cm;""><p>What type of rock is this?</p>","1","class_response","1","test","18","Basalt","Obsidian","14","false","2","5","","","","","","","","","","","","","","","","",""
"null","","html-keyboard-response","122","2.0.0","386960","test","3","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","1","test","18","","","","","","","","","","","","","","","","","","","","","","",""
"706","","html-button-response","123","2.0.0","387669","test","3","","","","","","","<img src= ""rock_img/I_Obsidian_06.jpg"" style=""width:8cm; height:6.8cm;""><p>What type of rock is this?</p>","1","class_response","1","test","19","Basalt","Obsidian","06","false","2","5","","","","","","","","","","","","","","","","",""
"null","","html-keyboard-response","124","2.0.0","388172","test","3","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","1","test","19","","","","","","","","","","","","","","","","","","","","","","",""
"1252","","html-button-response","125","2.0.0","389426","test","3","","","","","","","<img src= ""rock_img/I_Gabbro_14.jpg"" style=""width:8cm; height:8.48cm;""><p>What type of rock is this?</p>","2","class_response","1","test","20","Diorite","Gabbro","14","false","3","4","","","","","","","","","","","","","","","","",""
"null","","html-keyboard-response","126","2.0.0","389927","test","3","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","1","test","20","","","","","","","","","","","","","","","","","","","","","","",""
"1810","","html-button-response","127","2.0.0","391741","test","3","","","","","","","<img src= ""rock_img/I_Diorite_16.jpg"" style=""width:8cm; height:6.74cm;""><p>What type of rock is this?</p>","6","class_response","1","test","21","Peridotite","Diorite","16","false","7","3","","","","","","","","","","","","","","","","",""
"null","","html-keyboard-response","128","2.0.0","392243","test","3","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","1","test","21","","","","","","","","","","","","","","","","","","","","","","",""
"590","","html-button-response","129","2.0.0","392836","test","3","","","","","","","<img src= ""rock_img/I_Diorite_11.jpg"" style=""width:8cm; height:7.11cm;""><p>What type of rock is this?</p>","6","class_response","1","test","22","Peridotite","Diorite","11","false","7","3","","","","","","","","","","","","","","","","",""
"null","","html-keyboard-response","130","2.0.0","393338","test","3","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","1","test","22","","","","","","","","","","","","","","","","","","","","","","",""
"1083","","html-button-response","131","2.0.0","394423","test","3","","","","","","","<img src= ""rock_img/I_Basalt_04.jpg"" style=""width:8cm; height:7.53cm;""><p>What type of rock is this?</p>","3","class_response","1","test","23","Gabbro","Basalt","04","false","4","2","","","","","","","","","","","","","","","","",""
"null","","html-keyboard-response","132","2.0.0","394924","test","3","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","1","test","23","","","","","","","","","","","","","","","","","","","","","","",""
"1648","","html-button-response","133","2.0.0","396574","test","3","","","","","","","<img src= ""rock_img/I_Andesite_02.jpg"" style=""width:8cm; height:8.5cm;""><p>What type of rock is this?</p>","0","class_response","1","test","24","Andesite","Andesite","02","true","1","1","","","","","","","","","","","","","","","","",""
"null","","html-keyboard-response","134","2.0.0","397075","test","3","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","1","test","24","","","","","","","","","","","","","","","","","","","","","","",""
"1018","","html-button-response","135","2.0.0","398095","test","3","","","","","","","<img src= ""rock_img/I_Andesite_03.jpg"" style=""width:8cm; height:5.73cm;""><p>What type of rock is this?</p>","4","class_response","1","test","25","Obsidian","Andesite","03","false","5","1","","","","","","","","","","","","","","","","",""
"null","","html-keyboard-response","136","2.0.0","398597","test","3","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","1","test","25","","","","","","","","","","","","","","","","","","","","","","",""
"","","html-button-response","137","2.0.0","411382","test","3","","","","","","","","","cycle_feedback","","","","","","","","","","","","","","","","","","","","","","7391.100000023842","5382.299999952316","","",""
"1767","","html-button-response","139","2.0.0","413150","test","3","","","","","","","","0","start_train","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2340","","html-button-response","140","2.0.0","415492","test","3","","","","","","","<img src= ""rock_img/I_Peridotite_02.jpg"" style=""width:8cm; height:5.859999999999999cm;""><p>What type of rock is this?</p>","1","class_response","2","train","2","Basalt","Peridotite","02","false","2","7","","","","","","","","","","","","","","","","",""
"1948","","html-button-response","141","2.0.0","417442","test","3","","","","","","","<img src= rock_img/I_Peridotite_02.jpg style=""width:8cm; height:5.859999999999999cm;""><p style='font-size: 30px; color: red;'><strong>Incorrect!</strong></p><p style='font-size: 30px;'><strong>This rock is peridotite</strong></p>","0","corr_feedback","2","train","2","","","","","","","","","","","","","","","","","","","","","","",""
"2665","","html-button-response","142","2.0.0","420110","test","3","","","","","","","<img src= ""rock_img/I_Pegmatite_06.jpg"" style=""width:8cm; height:5.17cm;""><p>What type of rock is this?</p>","6","class_response","2","train","3","Peridotite","Pegmatite","06","false","7","6","","","","","","","","","","","","","","","","",""
"845","","html-button-response","143","2.0.0","420956","test","3","","","","","","","<img src= rock_img/I_Pegmatite_06.jpg style=""width:8cm; height:5.17cm;""><p style='font-size: 30px; color: red;'><strong>Incorrect!</strong></p><p style='font-size: 30px;'><strong>This rock is pegmatite</strong></p>","0","corr_feedback","2","train","3","","","","","","","","","","","","","","","","","","","","","","",""
"1977","","html-button-response","144","2.0.0","422935","test","3","","","","","","","<img src= ""rock_img/I_Basalt_02.jpg"" style=""width:8cm; height:6.45cm;""><p>What type of rock is this?</p>","5","class_response","2","train","4","Pegmatite","Basalt","02","false","6","2","","","","","","","","","","","","","","","","",""
"888","","html-button-response","145","2.0.0","423825","test","3","","","","","","","<img src= rock_img/I_Basalt_02.jpg style=""width:8cm; height:6.45cm;""><p style='font-size: 30px; color: red;'><strong>Incorrect!</strong></p><p style='font-size: 30px;'><strong>This rock is basalt</strong></p>","0","corr_feedback","2","train","4","","","","","","","","","","","","","","","","","","","","","","",""
"2519","","html-button-response","146","2.0.0","426346","test","3","","","","","","","<img src= ""rock_img/I_Obsidian_05.jpg"" style=""width:8cm; height:6.33cm;""><p>What type of rock is this?</p>","3","class_response","2","train","5","Gabbro","Obsidian","05","false","4","5","","","","","","","","","","","","","","","","",""
"934","","html-button-response","147","2.0.0","427282","test","3","","","","","","","<img src= rock_img/I_Obsidian_05.jpg style=""width:8cm; height:6.33cm;""><p style='font-size: 30px; color: red;'><strong>Incorrect!</strong></p><p style='font-size: 30px;'><strong>This rock is obsidian</strong></p>","0","corr_feedback","2","train","5","","","","","","","","","","","","","","","","","","","","","","",""
"1185","","html-button-response","148","2.0.0","428469","test","3","","","","","","","<img src= ""rock_img/I_Pumice_05.jpg"" style=""width:8cm; height:7.25cm;""><p>What type of rock is this?</p>","7","class_response","2","train","6","Pumice","Pumice","05","true","8","8","","","","","","","","","","","","","","","","",""
"796","","html-button-response","149","2.0.0","429266","test","3","","","","","","","<img src= rock_img/I_Pumice_05.jpg style=""width:8cm; height:7.25cm;""><p style='font-size: 30px; color: green;'><strong>Correct!</strong></p><p style='font-size: 30px;'><strong>This rock is pumice</strong></p>","0","corr_feedback","2","train","6","","","","","","","","","","","","","","","","","","","","","","",""
"1309","","html-button-response","150","2.0.0","430576","test","3","","","","","","","<img src= ""rock_img/I_Basalt_11.jpg"" style=""width:8cm; height:5.359999999999999cm;""><p>What type of rock is this?</p>","7","class_response","2","train","7","Pumice","Basalt","11","false","8","2","","","","","","","","","","","","","","","","",""
"814","","html-button-response","151","2.0.0","431392","test","3","","","","","","","<img src= rock_img/I_Basalt_11.jpg style=""width:8cm; height:5.359999999999999cm;""><p style='font-size: 30px; color: red;'><strong>Incorrect!</strong></p><p style='font-size: 30px;'><strong>This rock is basalt</strong></p>","0","corr_feedback","2","train","7","","","","","","","","","","","","","","","","","","","","","","",""
"1101","","html-button-response","152","2.0.0","432494","test","3","","","","","","","<img src= ""rock_img/I_Obsidian_02.jpg"" style=""width:8cm; height:7.51cm;""><p>What type of rock is this?</p>","4","class_response","2","train","8","Obsidian","Obsidian","02","true","5","5","","","","","","","","","","","","","","","","",""
"612","","html-button-response","153","2.0.0","433107","test","3","","","","","","","<img src= rock_img/I_Obsidian_02.jpg style=""width:8cm; height:7.51cm;""><p style='font-size: 30px; color: green;'><strong>Correct!</strong></p><p style='font-size: 30px;'><strong>This rock is obsidian</strong></p>","0","corr_feedback","2","train","8","","","","","","","","","","","","","","","","","","","","","","",""
"1668","","html-button-response","154","2.0.0","434777","test","3","","","","","","","<img src= ""rock_img/I_Andesite_07.jpg"" style=""width:8cm; height:5.93cm;""><p>What type of rock is this?</p>","2","class_response","2","train","9","Diorite","Andesite","07","false","3","1","","","","","","","","","","","","","","","","",""
"742","","html-button-response","155","2.0.0","435520","test","3","","","","","","","<img src= rock_img/I_Andesite_07.jpg style=""width:8cm; height:5.93cm;""><p style='font-size: 30px; color: red;'><strong>Incorrect!</strong></p><p style='font-size: 30px;'><strong>This rock is andesite</strong></p>","0","corr_feedback","2","train","9","","","","","","","","","","","","","","","","","","","","","","",""
"1496","","html-button-response","156","2.0.0","437017","test","3","","","","","","","<img src= ""rock_img/I_Gabbro_03.jpg"" style=""width:8cm; height:8.52cm;""><p>What type of rock is this?</p>","0","class_response","2","train","10","Andesite","Gabbro","03","false","1","4","","","","","","","","","","","","","","","","",""
"809","","html-button-response","157","2.0.0","437828","test","3","","","","","","","<img src= rock_img/I_Gabbro_03.jpg style=""width:8cm; height:8.52cm;""><p style='font-size: 30px; color: red;'><strong>Incorrect!</strong></p><p style='font-size: 30px;'><strong>This rock is gabbro</strong></p>","0","corr_feedback","2","train","10","","","","","","","","","","","","","","","","","","","","","","",""
"1399","","html-button-response","158","2.0.0","439228","test","3","","","","","","","<img src= ""rock_img/I_Gabbro_16.jpg"" style=""width:8cm; height:6.44cm;""><p>What type of rock is this?</p>","5","class_response","2","train","11","Pegmatite","Gabbro","16","false","6","4","","","","","","","","","","","","","","","","",""
"509","","html-button-response","159","2.0.0","439738","test","3","","","","","","","<img src= rock_img/I_Gabbro_16.jpg style=""width:8cm; height:6.44cm;""><p style='font-size: 30px; color: red;'><strong>Incorrect!</strong></p><p style='font-size: 30px;'><strong>This rock is gabbro</strong></p>","0","corr_feedback","2","train","11","","","","","","","","","","","","","","","","","","","","","","",""
"1567","","html-button-response","160","2.0.0","441306","test","3","","","","","","","<img src= ""rock_img/I_Diorite_14.jpg"" style=""width:8cm; height:5.71cm;""><p>What type of rock is this?</p>","0","class_response","2","train","12","Andesite","Diorite","14","false","1","3","","","","","","","","","","","","","","","","",""
"641","","html-button-response","161","2.0.0","441949","test","3","","","","","","","<img src= rock_img/I_Diorite_14.jpg style=""width:8cm; height:5.71cm;""><p style='font-size: 30px; color: red;'><strong>Incorrect!</strong></p><p style='font-size: 30px;'><strong>This rock is diorite</strong></p>","0","corr_feedback","2","train","12","","","","","","","","","","","","","","","","","","","","","","",""
"2294","","html-button-response","162","2.0.0","444244","test","3","","","","","","","<img src= ""rock_img/I_Peridotite_10.jpg"" style=""width:8cm; height:5.390000000000001cm;""><p>What type of rock is this?</p>","1","class_response","2","train","13","Basalt","Peridotite","10","false","2","7","","","","","","","","","","","","","","","","",""
"622","","html-button-response","163","2.0.0","444867","test","3","","","","","","","<img src= rock_img/I_Peridotite_10.jpg style=""width:8cm; height:5.390000000000001cm;""><p style='font-size: 30px; color: red;'><strong>Incorrect!</strong></p><p style='font-size: 30px;'><strong>This rock is peridotite</strong></p>","0","corr_feedback","2","train","13","","","","","","","","","","","","","","","","","","","","","","",""
"","","html-button-response","165","2.0.0","446155","test","3","","","","","","","","","cat_selection","2","train","14","","","","","","","","3","4","1286.3000000715256","Diorite","Gabbro","[0,0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0,0,0]","[0,0,0,0.5938721951702777,0.25800290970570217,0.14812489512402008,0,0]","","","","","","","","",""
"","","paired-cat-display","166","1.0.0","470739","test","3","","","","","","","","","paired_cat_display","2","train","14","","","","","","","","","","5662.299999952316","","","","","","light background with speckles","18916.899999976158","gray or brown, more solid","","","","",""
"","","html-button-response","167","2.0.0","471673","test","3","","","","","","","","","cat_selection","2","train","15","","","","","","","","3","5","933","Diorite","Obsidian","[0,0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0,0,0]","[0,0,0,0.5938721951702777,0.25800290970570217,0.14812489512402008,0,0]","","","","","","","","",""
"","","paired-cat-display","168","1.0.0","488549","test","3","","","","","","","","","paired_cat_display","2","train","15","","","","","","","","","","5635.700000047684","","","","","","light background with dark speckles","11237.399999976158","","","","almost looks shiny","",""
"","","html-button-response","169","2.0.0","489806","test","3","","","","","","","","","cat_selection","2","train","16","","","","","","","","4","2","1255.6000000238419","Gabbro","Basalt","[0,0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0,0,0]","[0.14416687581427184,0.5967447423225297,0,0,0,0.2590883818631985,0,0]","","","","","","","","",""
"","","paired-cat-display","170","1.0.0","510713","test","3","","","","","","","","","paired_cat_display","2","train","16","","","","","","","","","","6037.299999952316","","","","","","","14866.699999928474","brown or gray and more solid","","","","more pores than gabbro",""
"1101","","html-button-response","172","2.0.0","511816","test","3","","","","","","","","0","start_test","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2088","","html-button-response","173","2.0.0","513906","test","3","","","","","","","<img src= ""rock_img/I_Obsidian_14.jpg"" style=""width:8cm; height:7.64cm;""><p>What type of rock is this?</p>","4","class_response","2","test","2","Obsidian","Obsidian","14","true","5","5","","","","","","","","","","","","","","","","",""
"null","","html-keyboard-response","174","2.0.0","514408","test","3","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","2","test","2","","","","","","","","","","","","","","","","","","","","","","",""
"1229","","html-button-response","175","2.0.0","515640","test","3","","","","","","","<img src= ""rock_img/I_Pumice_02.jpg"" style=""width:8cm; height:7.3999999999999995cm;""><p>What type of rock is this?</p>","7","class_response","2","test","3","Pumice","Pumice","02","true","8","8","","","","","","","","","","","","","","","","",""
"null","","html-keyboard-response","176","2.0.0","516142","test","3","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","2","test","3","","","","","","","","","","","","","","","","","","","","","","",""
"3585","","html-button-response","177","2.0.0","519730","test","3","","","","","","","<img src= ""rock_img/I_Pegmatite_09.jpg"" style=""width:8cm; height:4.03cm;""><p>What type of rock is this?</p>","5","class_response","2","test","4","Pegmatite","Pegmatite","09","true","6","6","","","","","","","","","","","","","","","","",""
"null","","html-keyboard-response","178","2.0.0","520232","test","3","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","2","test","4","","","","","","","","","","","","","","","","","","","","","","",""
"4295","","html-button-response","179","2.0.0","524530","test","3","","","","","","","<img src= ""rock_img/I_Peridotite_14.jpg"" style=""width:8cm; height:5.3cm;""><p>What type of rock is this?</p>","1","class_response","2","test","5","Basalt","Peridotite","14","false","2","7","","","","","","","","","","","","","","","","",""
"null","","html-keyboard-response","180","2.0.0","525032","test","3","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","2","test","5","","","","","","","","","","","","","","","","","","","","","","",""
"1363","","html-button-response","181","2.0.0","526397","test","3","","","","","","","<img src= ""rock_img/I_Pegmatite_16.jpg"" style=""width:8cm; height:5.8cm;""><p>What type of rock is this?</p>","5","class_response","2","test","6","Pegmatite","Pegmatite","16","true","6","6","","","","","","","","","","","","","","","","",""
"null","","html-keyboard-response","182","2.0.0","526899","test","3","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","2","test","6","","","","","","","","","","","","","","","","","","","","","","",""
"1071","","html-button-response","183","2.0.0","527972","test","3","","","","","","","<img src= ""rock_img/I_Obsidian_06.jpg"" style=""width:8cm; height:6.8cm;""><p>What type of rock is this?</p>","4","class_response","2","test","7","Obsidian","Obsidian","06","true","5","5","","","","","","","","","","","","","","","","",""
"null","","html-keyboard-response","184","2.0.0","528474","test","3","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","2","test","7","","","","","","","","","","","","","","","","","","","","","","",""
"1756","","html-button-response","185","2.0.0","530233","test","3","","","","","","","<img src= ""rock_img/I_Pegmatite_07.jpg"" style=""width:8cm; height:6.7cm;""><p>What type of rock is this?</p>","2","class_response","2","test","8","Diorite","Pegmatite","07","false","3","6","","","","","","","","","","","","","","","","",""
"null","","html-keyboard-response","186","2.0.0","530736","test","3","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","2","test","8","","","","","","","","","","","","","","","","","","","","","","",""
"2890","","html-button-response","187","2.0.0","533628","test","3","","","","","","","<img src= ""rock_img/I_Andesite_02.jpg"" style=""width:8cm; height:8.5cm;""><p>What type of rock is this?</p>","1","class_response","2","test","9","Basalt","Andesite","02","false","2","1","","","","","","","","","","","","","","","","",""
"null","","html-keyboard-response","188","2.0.0","534130","test","3","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","2","test","9","","","","","","","","","","","","","","","","","","","","","","",""
"2739","","html-button-response","189","2.0.0","536871","test","3","","","","","","","<img src= ""rock_img/I_Diorite_16.jpg"" style=""width:8cm; height:6.74cm;""><p>What type of rock is this?</p>","6","class_response","2","test","10","Peridotite","Diorite","16","false","7","3","","","","","","","","","","","","","","","","",""
"null","","html-keyboard-response","190","2.0.0","537373","test","3","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","2","test","10","","","","","","","","","","","","","","","","","","","","","","",""
"2222","","html-button-response","191","2.0.0","539597","test","3","","","","","","","<img src= ""rock_img/I_Obsidian_12.jpg"" style=""width:8cm; height:6.53cm;""><p>What type of rock is this?</p>","4","class_response","2","test","11","Obsidian","Obsidian","12","true","5","5","","","","","","","","","","","","","","","","",""
"null","","html-keyboard-response","192","2.0.0","540098","test","3","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","2","test","11","","","","","","","","","","","","","","","","","","","","","","",""
"2463","","html-button-response","193","2.0.0","542565","test","3","","","","","","","<img src= ""rock_img/I_Diorite_11.jpg"" style=""width:8cm; height:7.11cm;""><p>What type of rock is this?</p>","6","class_response","2","test","12","Peridotite","Diorite","11","false","7","3","","","","","","","","","","","","","","","","",""
"null","","html-keyboard-response","194","2.0.0","543067","test","3","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","2","test","12","","","","","","","","","","","","","","","","","","","","","","",""
"1346","","html-button-response","195","2.0.0","544415","test","3","","","","","","","<img src= ""rock_img/I_Andesite_03.jpg"" style=""width:8cm; height:5.73cm;""><p>What type of rock is this?</p>","2","class_response","2","test","13","Diorite","Andesite","03","false","3","1","","","","","","","","","","","","","","","","",""
"null","","html-keyboard-response","196","2.0.0","544917","test","3","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","2","test","13","","","","","","","","","","","","","","","","","","","","","","",""
"2180","","html-button-response","197","2.0.0","547099","test","3","","","","","","","<img src= ""rock_img/I_Diorite_13.jpg"" style=""width:8cm; height:6.29cm;""><p>What type of rock is this?</p>","6","class_response","2","test","14","Peridotite","Diorite","13","false","7","3","","","","","","","","","","","","","","","","",""
"null","","html-keyboard-response","198","2.0.0","547601","test","3","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","2","test","14","","","","","","","","","","","","","","","","","","","","","","",""
"1429","","html-button-response","199","2.0.0","549033","test","3","","","","","","","<img src= ""rock_img/I_Gabbro_12.jpg"" style=""width:8cm; height:7.800000000000001cm;""><p>What type of rock is this?</p>","0","class_response","2","test","15","Andesite","Gabbro","12","false","1","4","","","","","","","","","","","","","","","","",""
