"rt","url","trial_type","trial_index","plugin_version","time_elapsed","subject","condition","success","timeout","failed_images","failed_audio","failed_video","view_history","stimulus","response","trialType","cycle","phase","trial","resp","cat","token","corr","resp_num","cat_num","value","time_fb1","time_fb2"
"183443","consent_form.html","external-html","0","2.0.0","183512","rob","1","","","","","","","","","","","","","","","","","","","","",""
"","","preload","1","2.0.0","184851","rob","1","true","false","[]","[]","[]","","","","","","","","","","","","","","","",""
"21108","","fullscreen","2","2.0.0","206969","rob","1","true","","","","","","","","","","","","","","","","","","","",""
"97756","","instructions","3","2.0.0","304726","rob","1","","","","","","[{""page_index"":0,""viewing_time"":15611},{""page_index"":1,""viewing_time"":60120},{""page_index"":2,""viewing_time"":22024}]","","","","","","","","","","","","","","",""
"6846","","html-button-response","4","2.0.0","311574","rob","1","","","","","","","","0","start_test","","","","","","","","","","","",""
"2950","","html-button-response","5","2.0.0","314526","rob","1","","","","","","","<img src= ""rock_img/I_Andesite_03.jpg"" style=""width:8cm; height:5.73cm;""><p>What type of rock is this?</p>","0","class_response","0","test","2","Andesite","Andesite","03","true","1","1","","",""
"null","","html-keyboard-response","6","2.0.0","315031","rob","1","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","2","","","","","","","","",""
"2596","","html-button-response","7","2.0.0","317630","rob","1","","","","","","","<img src= ""rock_img/I_Pegmatite_10.jpg"" style=""width:8cm; height:4.16cm;""><p>What type of rock is this?</p>","5","class_response","0","test","3","Pegmatite","Pegmatite","10","true","6","6","","",""
"null","","html-keyboard-response","8","2.0.0","318141","rob","1","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","3","","","","","","","","",""
"2662","","html-button-response","9","2.0.0","320806","rob","1","","","","","","","<img src= ""rock_img/I_Gabbro_12.jpg"" style=""width:8cm; height:7.800000000000001cm;""><p>What type of rock is this?</p>","3","class_response","0","test","4","Gabbro","Gabbro","12","true","4","4","","",""
"null","","html-keyboard-response","10","2.0.0","321320","rob","1","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","4","","","","","","","","",""
"2979","","html-button-response","11","2.0.0","324302","rob","1","","","","","","","<img src= ""rock_img/I_Obsidian_04.jpg"" style=""width:8cm; height:6.930000000000001cm;""><p>What type of rock is this?</p>","4","class_response","0","test","5","Obsidian","Obsidian","04","true","5","5","","",""
"null","","html-keyboard-response","12","2.0.0","324803","rob","1","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","5","","","","","","","","",""
"9657","","html-button-response","13","2.0.0","334462","rob","1","","","","","","","<img src= ""rock_img/I_Diorite_02.jpg"" style=""width:8cm; height:6.27cm;""><p>What type of rock is this?</p>","2","class_response","0","test","6","Diorite","Diorite","02","true","3","3","","",""
"null","","html-keyboard-response","14","2.0.0","334974","rob","1","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","6","","","","","","","","",""
"4213","","html-button-response","15","2.0.0","339189","rob","1","","","","","","","<img src= ""rock_img/I_Pegmatite_15.jpg"" style=""width:8cm; height:6cm;""><p>What type of rock is this?</p>","5","class_response","0","test","7","Pegmatite","Pegmatite","15","true","6","6","","",""
"null","","html-keyboard-response","16","2.0.0","339697","rob","1","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","7","","","","","","","","",""
"1705","","html-button-response","17","2.0.0","341405","rob","1","","","","","","","<img src= ""rock_img/I_Andesite_11.jpg"" style=""width:8cm; height:4.92cm;""><p>What type of rock is this?</p>","0","class_response","0","test","8","Andesite","Andesite","11","true","1","1","","",""
"null","","html-keyboard-response","18","2.0.0","341909","rob","1","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","8","","","","","","","","",""
