participant,condition,date,expName,psychopyVersion,OS,frameRate,block,phase,trial,learn_mouse.x,learn_mouse.y,learn_mouse.leftButton,learn_mouse.midButton,learn_mouse.rightButton,learn_mouse.time,learn_mouse.clicked_name,cat,token,row,col,t_select,cat_rec,token_rec,cat_mouse_l.x,cat_mouse_l.y,cat_mouse_l.leftButton,cat_mouse_l.midButton,cat_mouse_l.rightButton,cat_mouse_l.time,cat_mouse_l.clicked_name,resp,t_resp,corr,train_trials.thisRepN,train_trials.thisTrialN,train_trials.thisN,train_trials.thisIndex,train_trials.ran,cat_mouse_t.x,cat_mouse_t.y,cat_mouse_t.leftButton,cat_mouse_t.midButton,cat_mouse_t.rightButton,cat_mouse_t.time,cat_mouse_t.clicked_name,test_trials.thisRepN,test_trials.thisTrialN,test_trials.thisN,test_trials.thisIndex,test_trials.ran
62b0ff84054c6ca32f481c65,SCR,2024-06-20_13h34.39.297,LearnStrategy,2023.2.3,Win32,59.17159763,1,1,16,0.231847134,0.280428475,1,0,0,1.3463,Diorite_13,3,13,5,6,1.346,3,13,0.095657251,-0.409785918,1,0,0,6.6618,Peridotite_rect,7,6.662,0,15,0,15,0,1,,,,,,,,,,,,
62b0ff84054c6ca32f481c65,SCR,2024-06-20_13h34.39.297,LearnStrategy,2023.2.3,Win32,59.17159763,1,2,1,,,,,,,,4,08,,,,,,,,,,,,,6,5.406,0,,,,,,-0.130399551,-0.397741777,1,0,0,5.4055,Pegmatite_rect,0,0,0,0,1
62b0ff84054c6ca32f481c65,SCR,2024-06-20_13h34.39.297,LearnStrategy,2023.2.3,Win32,59.17159763,1,2,2,,,,,,,,6,08,,,,,,,,,,,,,5,4.908,0,,,,,,-0.36016212,-0.388477185,1,0,0,4.9081,Obsidian_rect,1,0,1,0,1
62b0ff84054c6ca32f481c65,SCR,2024-06-20_13h34.39.297,LearnStrategy,2023.2.3,Win32,59.17159763,1,2,3,,,,,,,,3,16,,,,,,,,,,,,,7,4.224,0,,,,,,0.114186592,-0.39959468,1,0,0,4.2236,Peridotite_rect,2,0,2,0,1
62b0ff84054c6ca32f481c65,SCR,2024-06-20_13h34.39.297,LearnStrategy,2023.2.3,Win32,59.17159763,1,2,4,,,,,,,,1,03,,,,,,,,,,,,,7,4.341,0,,,,,,0.114186592,-0.39959468,1,0,0,4.3407,Peridotite_rect,3,0,3,0,1
62b0ff84054c6ca32f481c65,SCR,2024-06-20_13h34.39.297,LearnStrategy,2023.2.3,Win32,59.17159763,1,2,5,,,,,,,,7,14,,,,,,,,,,,,,1,2.323,0,,,,,,-0.437984938,-0.243949045,1,0,0,2.3231,Andesite_rect,4,0,4,0,1
62b0ff84054c6ca32f481c65,SCR,2024-06-20_13h34.39.297,LearnStrategy,2023.2.3,Win32,59.17159763,1,2,6,,,,,,,,3,12,,,,,,,,,,,,,6,3.907,0,,,,,,-0.060914874,-0.413491724,1,0,0,3.9073,Pegmatite_rect,5,0,5,0,1
62b0ff84054c6ca32f481c65,SCR,2024-06-20_13h34.39.297,LearnStrategy,2023.2.3,Win32,59.17159763,1,2,7,,,,,,,,5,09,,,,,,,,,,,,,5,1.626,1,,,,,,-0.462999361,-0.385697791,1,0,0,1.6257,Obsidian_rect,6,0,6,0,1
62b0ff84054c6ca32f481c65,SCR,2024-06-20_13h34.39.297,LearnStrategy,2023.2.3,Win32,59.17159763,1,2,8,,,,,,,,2,16,,,,,,,,,,,,,1,4.691,0,,,,,,-0.417602772,-0.240243239,1,0,0,4.6908,Andesite_rect,7,0,7,0,1
62b0ff84054c6ca32f481c65,SCR,2024-06-20_13h34.39.297,LearnStrategy,2023.2.3,Win32,59.17159763,1,2,9,,,,,,,,8,05,,,,,,,,,,,,,8,1.991,1,,,,,,0.438448261,-0.393109558,1,0,0,1.9909,Pumice_rect,8,0,8,0,1
62b0ff84054c6ca32f481c65,SCR,2024-06-20_13h34.39.297,LearnStrategy,2023.2.3,Win32,59.17159763,1,2,10,,,,,,,,4,12,,,,,,,,,,,,,7,5.526,0,,,,,,0.1262305,-0.381992063,1,0,0,5.526,Peridotite_rect,9,0,9,0,1
62b0ff84054c6ca32f481c65,SCR,2024-06-20_13h34.39.297,LearnStrategy,2023.2.3,Win32,59.17159763,1,2,11,,,,,,,,2,08,,,,,,,,,,,,,2,4.574,1,,,,,,-0.164678527,-0.259698914,1,0,0,4.5739,Basalt_rect,10,0,10,0,1
62b0ff84054c6ca32f481c65,SCR,2024-06-20_13h34.39.297,LearnStrategy,2023.2.3,Win32,59.17159763,1,2,12,,,,,,,,7,06,,,,,,,,,,,,,1,3.358,0,,,,,,-0.354603334,-0.261551895,1,0,0,3.3583,Andesite_rect,11,0,11,0,1
62b0ff84054c6ca32f481c65,SCR,2024-06-20_13h34.39.297,LearnStrategy,2023.2.3,Win32,59.17159763,1,2,13,,,,,,,,6,03,,,,,,,,,,,,,1,1.357,0,,,,,,-0.354603334,-0.261551895,1,0,0,1.3574,Andesite_rect,12,0,12,0,1
62b0ff84054c6ca32f481c65,SCR,2024-06-20_13h34.39.297,LearnStrategy,2023.2.3,Win32,59.17159763,1,2,14,,,,,,,,5,14,,,,,,,,,,,,,5,1.59,1,,,,,,-0.371279655,-0.402374073,1,0,0,1.5898,Obsidian_rect,13,0,13,0,1
62b0ff84054c6ca32f481c65,SCR,2024-06-20_13h34.39.297,LearnStrategy,2023.2.3,Win32,59.17159763,1,2,15,,,,,,,,1,06,,,,,,,,,,,,,7,3.493,0,,,,,,0.098436645,-0.393109558,1,0,0,3.4934,Peridotite_rect,14,0,14,0,1
62b0ff84054c6ca32f481c65,SCR,2024-06-20_13h34.39.297,LearnStrategy,2023.2.3,Win32,59.17159763,1,2,16,,,,,,,,8,06,,,,,,,,,,,,,8,1.373,1,,,,,,0.384713376,-0.413491724,1,0,0,1.3732,Pumice_rect,15,0,15,0,1
