"width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone","trial_type","trial_index","plugin_version","time_elapsed","subjID","condition","stimID","rt","url","success","value","timeout","failed_images","failed_audio","failed_video","view_history","stimulus","response","trialType","cycle","phase","trial","resp","cat","token","corr","resp_num","cat_num","rt_ref","rt_paired","ref_cat_num","paired_cat_num","ref_cat","paired_cat","text_Pegmatite","text_Peridotite","time_obs","time_resp","text_Basalt","text_Pumice","text_Andesite","text_Diorite","time_fb1","time_fb2","text_Gabbro"
"1512","758","true","chrome","126.0.0","false","Mac OS","true","122.1","true","true","browser-check","0","2.0.0","503","671fe603bbfcd567cd1e0313","4","10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","external-html","1","2.0.0","55362","671fe603bbfcd567cd1e0313","4","10","54784","consent_form.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","fullscreen","2","2.0.0","59747","671fe603bbfcd567cd1e0313","4","10","3377","","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","call-function","3","2.0.0","59751","671fe603bbfcd567cd1e0313","4","10","","","","{}","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","preload","4","2.0.0","61649","671fe603bbfcd567cd1e0313","4","10","","","true","","false","[]","[]","[]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","instructions","5","2.0.0","113999","671fe603bbfcd567cd1e0313","4","10","52364","","","","","","","","[{""page_index"":0,""viewing_time"":13492},{""page_index"":1,""viewing_time"":22241},{""page_index"":2,""viewing_time"":16631}]","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","6","2.0.0","117398","671fe603bbfcd567cd1e0313","4","10","3398","","","","","","","","","","0","start_test","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","7","2.0.0","127373","671fe603bbfcd567cd1e0313","4","10","9974","","","","","","","","","<img src= ""rock_img/I_Basalt_14.jpg"" style=""width:8cm; height:5.82cm;""><p>What type of rock is this?</p>","6","class_response","0","test","1","Peridotite","Basalt","14","false","7","2","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-keyboard-response","8","2.0.0","127885","671fe603bbfcd567cd1e0313","4","10","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","1","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","9","2.0.0","134579","671fe603bbfcd567cd1e0313","4","10","6692","","","","","","","","","<img src= ""rock_img/I_Gabbro_13.jpg"" style=""width:8cm; height:5.08cm;""><p>What type of rock is this?</p>","0","class_response","0","test","2","Andesite","Gabbro","13","false","1","4","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-keyboard-response","10","2.0.0","135082","671fe603bbfcd567cd1e0313","4","10","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","2","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","11","2.0.0","143612","671fe603bbfcd567cd1e0313","4","10","8528","","","","","","","","","<img src= ""rock_img/I_Gabbro_01.jpg"" style=""width:8cm; height:5.21cm;""><p>What type of rock is this?</p>","7","class_response","0","test","3","Pumice","Gabbro","01","false","8","4","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-keyboard-response","12","2.0.0","144113","671fe603bbfcd567cd1e0313","4","10","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","3","","","","","","","","","","","","","","","","","","","","","","",""
