"width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone","trial_type","trial_index","plugin_version","time_elapsed","subjID","condition","stimID","rt","url","success","value","timeout","failed_images","failed_audio","failed_video","view_history","stimulus","response","trialType","cycle","phase","trial","resp","cat","token","corr","resp_num","cat_num","rt_ref","rt_paired","ref_cat_num","paired_cat_num","ref_cat","paired_cat","text_Diorite","text_Pegmatite","time_obs","time_resp","text_Andesite","text_Peridotite","text_Gabbro","text_Obsidian","time_fb1","time_fb2","text_Basalt"
"1366","633","true","chrome","130.0.0","false","Windows 10","true","60.76","true","true","browser-check","0","2.0.0","42158","66c55df6f9a7030edff41d5a","4","44","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","external-html","1","2.0.0","289490","66c55df6f9a7030edff41d5a","4","44","244200","consent_form.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","fullscreen","2","2.0.0","293146","66c55df6f9a7030edff41d5a","4","44","2646","","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","call-function","3","2.0.0","293148","66c55df6f9a7030edff41d5a","4","44","","","","{}","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","preload","4","2.0.0","305461","66c55df6f9a7030edff41d5a","4","44","","","true","","false","[]","[]","[]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","instructions","5","2.0.0","341966","66c55df6f9a7030edff41d5a","4","44","36504","","","","","","","","[{""page_index"":0,""viewing_time"":8237},{""page_index"":1,""viewing_time"":16697},{""page_index"":2,""viewing_time"":11569}]","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","6","2.0.0","347910","66c55df6f9a7030edff41d5a","4","44","5943","","","","","","","","","","0","start_test","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","7","2.0.0","352968","66c55df6f9a7030edff41d5a","4","44","5054","","","","","","","","","<img src= ""rock_img/I_Gabbro_09.jpg"" style=""width:8cm; height:7.279999999999999cm;""><p>What type of rock is this?</p>","7","class_response","0","test","1","Pumice","Gabbro","09","false","8","4","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-keyboard-response","8","2.0.0","353476","66c55df6f9a7030edff41d5a","4","44","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","1","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","9","2.0.0","356276","66c55df6f9a7030edff41d5a","4","44","2798","","","","","","","","","<img src= ""rock_img/I_Basalt_12.jpg"" style=""width:8cm; height:6.010000000000001cm;""><p>What type of rock is this?</p>","2","class_response","0","test","2","Diorite","Basalt","12","false","3","2","","","","","","","","","","","","","","","","",""
