"width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone","trial_type","trial_index","plugin_version","time_elapsed","subjID","condition","stimID","rt","url","success","value","timeout","failed_images","failed_audio","failed_video","view_history","stimulus","response","trialType","cycle","phase","trial","resp","cat","token","corr","resp_num","cat_num","rt_ref","rt_paired","ref_cat_num","paired_cat_num","ref_cat","paired_cat","text_Pegmatite","text_Andesite","time_obs","time_resp","text_Diorite","text_Peridotite","time_fb1","time_fb2","text_Obsidian","text_Gabbro","text_Basalt","text_Pumice"
"1366","633","true","chrome","130.0.0","false","Windows 10","true","58.82","true","true","browser-check","0","2.0.0","1032","5b0fa626bd9c310001568d6c","4","9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","external-html","1","2.0.0","23278","5b0fa626bd9c310001568d6c","4","9","22162","consent_form.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","fullscreen","2","2.0.0","25835","5b0fa626bd9c310001568d6c","4","9","1554","","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","call-function","3","2.0.0","25839","5b0fa626bd9c310001568d6c","4","9","","","","{}","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","preload","4","2.0.0","29266","5b0fa626bd9c310001568d6c","4","9","","","true","","false","[]","[]","[]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","instructions","5","2.0.0","69586","5b0fa626bd9c310001568d6c","4","9","40319","","","","","","","","[{""page_index"":0,""viewing_time"":8426},{""page_index"":1,""viewing_time"":19095},{""page_index"":2,""viewing_time"":12798}]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","6","2.0.0","73941","5b0fa626bd9c310001568d6c","4","9","4354","","","","","","","","","","0","start_test","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","7","2.0.0","118693","5b0fa626bd9c310001568d6c","4","9","44748","","","","","","","","","<img src= ""rock_img/I_Peridotite_10.jpg"" style=""width:8cm; height:5.390000000000001cm;""><p>What type of rock is this?</p>","1","class_response","0","test","1","Basalt","Peridotite","10","false","2","7","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-keyboard-response","8","2.0.0","119199","5b0fa626bd9c310001568d6c","4","9","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","1","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","9","2.0.0","123873","5b0fa626bd9c310001568d6c","4","9","4671","","","","","","","","","<img src= ""rock_img/I_Gabbro_01.jpg"" style=""width:8cm; height:5.21cm;""><p>What type of rock is this?</p>","5","class_response","0","test","2","Pegmatite","Gabbro","01","false","6","4","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-keyboard-response","10","2.0.0","124387","5b0fa626bd9c310001568d6c","4","9","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","2","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","11","2.0.0","128175","5b0fa626bd9c310001568d6c","4","9","3785","","","","","","","","","<img src= ""rock_img/I_Gabbro_16.jpg"" style=""width:8cm; height:6.44cm;""><p>What type of rock is this?</p>","3","class_response","0","test","3","Gabbro","Gabbro","16","true","4","4","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-keyboard-response","12","2.0.0","128677","5b0fa626bd9c310001568d6c","4","9","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","3","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","13","2.0.0","131367","5b0fa626bd9c310001568d6c","4","9","2688","","","","","","","","","<img src= ""rock_img/I_Pumice_08.jpg"" style=""width:8cm; height:6.67cm;""><p>What type of rock is this?</p>","0","class_response","0","test","4","Andesite","Pumice","08","false","1","8","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-keyboard-response","14","2.0.0","131868","5b0fa626bd9c310001568d6c","4","9","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","4","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","15","2.0.0","141156","5b0fa626bd9c310001568d6c","4","9","9286","","","","","","","","","<img src= ""rock_img/I_Pegmatite_13.jpg"" style=""width:8cm; height:4.95cm;""><p>What type of rock is this?</p>","6","class_response","0","test","5","Peridotite","Pegmatite","13","false","7","6","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-keyboard-response","16","2.0.0","141659","5b0fa626bd9c310001568d6c","4","9","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","5","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","17","2.0.0","143717","5b0fa626bd9c310001568d6c","4","9","2055","","","","","","","","","<img src= ""rock_img/I_Diorite_08.jpg"" style=""width:8cm; height:6.37cm;""><p>What type of rock is this?</p>","7","class_response","0","test","6","Pumice","Diorite","08","false","8","3","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-keyboard-response","18","2.0.0","144219","5b0fa626bd9c310001568d6c","4","9","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","6","","","","","","","","","","","","","","","","","","","","","","","",""
