"width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone","trial_type","trial_index","plugin_version","time_elapsed","subjID","condition","stimID","rt","url","success","value","timeout","failed_images","failed_audio","failed_video","view_history","stimulus","response","trialType","cycle","phase","trial","resp","cat","token","corr","resp_num","cat_num","rt_ref","rt_paired","ref_cat_num","paired_cat_num","ref_cat","paired_cat","text_Gabbro","text_Andesite","time_obs","time_resp","text_Pegmatite","text_Diorite","text_Peridotite","text_Pumice","time_fb1","time_fb2","text_Basalt","text_Obsidian"
"","","","","","","","","","","","html-button-response","392","2.0.0","1870644","66706a23c37c6099480f039d","4","21","1219","","","","","","","","","<img src= ""rock_img/I_Pumice_16.jpg"" style=""width:8cm; height:6.79cm;""><p>What type of rock is this?</p>","7","class_response","3","train","10","Pumice","Pumice","16","true","8","8","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","393","2.0.0","1871175","66706a23c37c6099480f039d","4","21","530","","","","","","","","","<img src= rock_img/I_Pumice_16.jpg style=""width:8cm; height:6.79cm;""><p style='font-size: 30px; color: green;'><strong>Correct!</strong></p><p style='font-size: 30px;'><strong>This rock is pumice</strong></p>","0","corr_feedback","3","train","10","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","394","2.0.0","1872847","66706a23c37c6099480f039d","4","21","1672","","","","","","","","","<img src= ""rock_img/I_Pegmatite_08.jpg"" style=""width:8cm; height:7.68cm;""><p>What type of rock is this?</p>","5","class_response","3","train","11","Pegmatite","Pegmatite","08","true","6","6","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","395","2.0.0","1873437","66706a23c37c6099480f039d","4","21","589","","","","","","","","","<img src= rock_img/I_Pegmatite_08.jpg style=""width:8cm; height:7.68cm;""><p style='font-size: 30px; color: green;'><strong>Correct!</strong></p><p style='font-size: 30px;'><strong>This rock is pegmatite</strong></p>","0","corr_feedback","3","train","11","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","396","2.0.0","1874643","66706a23c37c6099480f039d","4","21","1204","","","","","","","","","<img src= ""rock_img/I_Obsidian_10.jpg"" style=""width:8cm; height:6.260000000000001cm;""><p>What type of rock is this?</p>","4","class_response","3","train","12","Obsidian","Obsidian","10","true","5","5","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","397","2.0.0","1875181","66706a23c37c6099480f039d","4","21","537","","","","","","","","","<img src= rock_img/I_Obsidian_10.jpg style=""width:8cm; height:6.260000000000001cm;""><p style='font-size: 30px; color: green;'><strong>Correct!</strong></p><p style='font-size: 30px;'><strong>This rock is obsidian</strong></p>","0","corr_feedback","3","train","12","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","399","2.0.0","1876317","66706a23c37c6099480f039d","4","21","1135","","","","","","","","","","0","start_train","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","400","2.0.0","1879188","66706a23c37c6099480f039d","4","21","","","","","","","","","","","","cat_selection","3","train","1","","","","","","","2258.600000023842","610.5","2","8","Basalt","Pumice","","","","","","","","","","","",""
"","","","","","","","","","","","paired-cat-display","401","1.0.0","1951428","66706a23c37c6099480f039d","4","21","","","","","","","","","","","","paired_cat_display","3","train","1","","","","","","","","","","","","","","","18441.399999976158","53783.69999998808","","","","Spongey, hole-filled surface, bunch of spherical-like shapes","","","Smooth, crumbly-looking surface, very cube-like shape",""
"","","","","","","","","","","","html-button-response","402","2.0.0","1959077","66706a23c37c6099480f039d","4","21","","","","","","","","","","","","cat_selection","3","train","2","","","","","","","6942.899999976158","703.6999999880791","1","3","Andesite","Diorite","","","","","","","","","","","",""
"","","","","","","","","","","","paired-cat-display","403","1.0.0","2040036","66706a23c37c6099480f039d","4","21","","","","","","","","","","","","paired_cat_display","3","train","2","","","","","","","","","","","","","","Obvious dots/markings but not as frequent, usually white dots on grey/brown rocks","8622.199999988079","72324.30000001192","","Heavy patterns of dots/markings, typically white and black","","","","","",""
"","","","","","","","","","","","html-button-response","404","2.0.0","2046152","66706a23c37c6099480f039d","4","21","","","","","","","","","","","","cat_selection","3","train","3","","","","","","","4627.599999964237","1486","7","4","Peridotite","Gabbro","","","","","","","","","","","",""
"","","","","","","","","","","","paired-cat-display","405","1.0.0","2125800","66706a23c37c6099480f039d","4","21","","","","","","","","","","","","paired_cat_display","3","train","3","","","","","","","","","","","","","Rough/jagged edges, sharp protrusions, blended colors","","12836","66800.10000002384","","","Lighter colors, more vibrant colors, bumpy texture","","","","",""
"","","","","","","","","","","","html-button-response","407","2.0.0","2127716","66706a23c37c6099480f039d","4","21","1914","","","","","","","","","","0","start_test","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","408","2.0.0","2130493","66706a23c37c6099480f039d","4","21","2775","","","","","","","","","<img src= ""rock_img/I_Basalt_11.jpg"" style=""width:8cm; height:5.359999999999999cm;""><p>What type of rock is this?</p>","7","class_response","3","test","1","Pumice","Basalt","11","false","8","2","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-keyboard-response","409","2.0.0","2130996","66706a23c37c6099480f039d","4","21","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","3","test","1","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","410","2.0.0","2134882","66706a23c37c6099480f039d","4","21","3886","","","","","","","","","<img src= ""rock_img/I_Diorite_06.jpg"" style=""width:8cm; height:6.03cm;""><p>What type of rock is this?</p>","2","class_response","3","test","2","Diorite","Diorite","06","true","3","3","","","","","","","","","","","","","","","","","",""
