"width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone","trial_type","trial_index","plugin_version","time_elapsed","subjID","condition","stimID","rt","url","success","value","timeout","failed_images","failed_audio","failed_video","view_history","stimulus","response","trialType","cycle","phase","trial","resp","cat","token","corr","resp_num","cat_num","rt_ref","rt_paired","ref_cat_num","paired_cat_num","ref_cat","paired_cat","text_Obsidian","text_Peridotite","time_obs","time_resp","text_Pegmatite","text_Pumice","text_Andesite","text_Gabbro","time_fb1","time_fb2","text_Diorite"
"","","","","","","","","","","","paired-cat-display","403","1.0.0","1662436","673283d7abe9b4f50b28637e","4","34","","","","","","","","","","","","paired_cat_display","3","train","2","","","","","","","","","","","","","","","7576","35749","seen just it is","cravy in ","","","","",""
"","","","","","","","","","","","html-button-response","404","2.0.0","1669624","673283d7abe9b4f50b28637e","4","34","","","","","","","","","","","","cat_selection","3","train","3","","","","","","","4861","2325","3","1","Diorite","Andesite","","","","","","","","","","",""
"","","","","","","","","","","","paired-cat-display","405","1.0.0","1705079","673283d7abe9b4f50b28637e","4","34","","","","","","","","","","","","paired_cat_display","3","train","3","","","","","","","","","","","","","","","6344","29107","","","kind of smooth ","","","","diiffer in shape"
"","","","","","","","","","","","html-button-response","407","2.0.0","1706453","673283d7abe9b4f50b28637e","4","34","1374","","","","","","","","","","0","start_test","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","408","2.0.0","1716423","673283d7abe9b4f50b28637e","4","34","9966","","","","","","","","","<img src= ""rock_img/I_Gabbro_05.jpg"" style=""width:8cm; height:6cm;""><p>What type of rock is this?</p>","2","class_response","3","test","1","Diorite","Gabbro","05","false","3","4","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-keyboard-response","409","2.0.0","1716931","673283d7abe9b4f50b28637e","4","34","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","3","test","1","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","410","2.0.0","1718520","673283d7abe9b4f50b28637e","4","34","1587","","","","","","","","","<img src= ""rock_img/I_Obsidian_16.jpg"" style=""width:8cm; height:9.3cm;""><p>What type of rock is this?</p>","4","class_response","3","test","2","Obsidian","Obsidian","16","true","5","5","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-keyboard-response","411","2.0.0","1719034","673283d7abe9b4f50b28637e","4","34","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","3","test","2","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","412","2.0.0","1720348","673283d7abe9b4f50b28637e","4","34","1312","","","","","","","","","<img src= ""rock_img/I_Obsidian_04.jpg"" style=""width:8cm; height:6.930000000000001cm;""><p>What type of rock is this?</p>","4","class_response","3","test","3","Obsidian","Obsidian","04","true","5","5","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-keyboard-response","413","2.0.0","1720856","673283d7abe9b4f50b28637e","4","34","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","3","test","3","","","","","","","","","","","","","","","","","","","","","","",""
