"width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone","trial_type","trial_index","plugin_version","time_elapsed","subjID","condition","stimID","rt","url","success","value","timeout","failed_images","failed_audio","failed_video","view_history","stimulus","response","trialType","cycle","phase","trial","resp","cat","token","corr","resp_num","cat_num","rt_ref","rt_paired","ref_cat_num","paired_cat_num","ref_cat","paired_cat","text_Pegmatite","text_Peridotite","time_obs","time_resp","text_Andesite","text_Diorite","text_Gabbro","text_Basalt","time_fb1","time_fb2"
"","","","","","","","","","","","html-keyboard-response","10","2.0.0","278201","662f93c33fe9ba41a6319363","4","29","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","2","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","11","2.0.0","284935","662f93c33fe9ba41a6319363","4","29","6732","","","","","","","","","<img src= ""rock_img/I_Diorite_12.jpg"" style=""width:8cm; height:4.88cm;""><p>What type of rock is this?</p>","2","class_response","0","test","3","Diorite","Diorite","12","true","3","3","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-keyboard-response","12","2.0.0","285441","662f93c33fe9ba41a6319363","4","29","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","3","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","13","2.0.0","289967","662f93c33fe9ba41a6319363","4","29","4523","","","","","","","","","<img src= ""rock_img/I_Obsidian_10.jpg"" style=""width:8cm; height:6.260000000000001cm;""><p>What type of rock is this?</p>","4","class_response","0","test","4","Obsidian","Obsidian","10","true","5","5","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-keyboard-response","14","2.0.0","290482","662f93c33fe9ba41a6319363","4","29","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","4","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","15","2.0.0","293703","662f93c33fe9ba41a6319363","4","29","3218","","","","","","","","","<img src= ""rock_img/I_Gabbro_03.jpg"" style=""width:8cm; height:8.52cm;""><p>What type of rock is this?</p>","5","class_response","0","test","5","Pegmatite","Gabbro","03","false","6","4","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-keyboard-response","16","2.0.0","294215","662f93c33fe9ba41a6319363","4","29","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","5","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","17","2.0.0","297079","662f93c33fe9ba41a6319363","4","29","2861","","","","","","","","","<img src= ""rock_img/I_Pumice_14.jpg"" style=""width:8cm; height:6.39cm;""><p>What type of rock is this?</p>","7","class_response","0","test","6","Pumice","Pumice","14","true","8","8","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-keyboard-response","18","2.0.0","297580","662f93c33fe9ba41a6319363","4","29","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","6","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","19","2.0.0","301167","662f93c33fe9ba41a6319363","4","29","3584","","","","","","","","","<img src= ""rock_img/I_Andesite_14.jpg"" style=""width:8cm; height:5.449999999999999cm;""><p>What type of rock is this?</p>","6","class_response","0","test","7","Peridotite","Andesite","14","false","7","1","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-keyboard-response","20","2.0.0","301673","662f93c33fe9ba41a6319363","4","29","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","7","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","21","2.0.0","304103","662f93c33fe9ba41a6319363","4","29","2427","","","","","","","","","<img src= ""rock_img/I_Andesite_09.jpg"" style=""width:8cm; height:6cm;""><p>What type of rock is this?</p>","3","class_response","0","test","8","Gabbro","Andesite","09","false","4","1","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-keyboard-response","22","2.0.0","304605","662f93c33fe9ba41a6319363","4","29","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","8","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","23","2.0.0","310830","662f93c33fe9ba41a6319363","4","29","6223","","","","","","","","","<img src= ""rock_img/I_Peridotite_15.jpg"" style=""width:8cm; height:6cm;""><p>What type of rock is this?</p>","0","class_response","0","test","9","Andesite","Peridotite","15","false","1","7","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-keyboard-response","24","2.0.0","311347","662f93c33fe9ba41a6319363","4","29","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","9","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","25","2.0.0","314895","662f93c33fe9ba41a6319363","4","29","3545","","","","","","","","","<img src= ""rock_img/I_Pumice_02.jpg"" style=""width:8cm; height:7.3999999999999995cm;""><p>What type of rock is this?</p>","7","class_response","0","test","10","Pumice","Pumice","02","true","8","8","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-keyboard-response","26","2.0.0","315407","662f93c33fe9ba41a6319363","4","29","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","10","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","27","2.0.0","319766","662f93c33fe9ba41a6319363","4","29","4357","","","","","","","","","<img src= ""rock_img/I_Gabbro_16.jpg"" style=""width:8cm; height:6.44cm;""><p>What type of rock is this?</p>","5","class_response","0","test","11","Pegmatite","Gabbro","16","false","6","4","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-keyboard-response","28","2.0.0","320271","662f93c33fe9ba41a6319363","4","29","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","11","","","","","","","","","","","","","","","","","","","","","",""
