"width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone","trial_type","trial_index","plugin_version","time_elapsed","subjID","condition","stimID","rt","url","success","value","timeout","failed_images","failed_audio","failed_video","view_history","stimulus","response","trialType","cycle","phase","trial","resp","cat","token","corr","resp_num","cat_num","rt_ref","rt_paired","ref_cat_num","paired_cat_num","ref_cat","paired_cat","text_Gabbro","text_Basalt","time_obs","time_resp","text_Pegmatite","text_Peridotite","text_Andesite","text_Pumice","time_fb1","time_fb2","text_Diorite"
"875","910","true","chrome","131.0.0","false","Windows 10","true","50.85","false","false","browser-check","0","2.0.0","1358","55eb04337480920010aa9e0d","4","25","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","external-html","1","2.0.0","10715","55eb04337480920010aa9e0d","4","25","9267","consent_form.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","fullscreen","2","2.0.0","21425","55eb04337480920010aa9e0d","4","25","9694","","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","call-function","3","2.0.0","21427","55eb04337480920010aa9e0d","4","25","","","","{}","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","preload","4","2.0.0","24087","55eb04337480920010aa9e0d","4","25","","","true","","false","[]","[]","[]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","instructions","5","2.0.0","52347","55eb04337480920010aa9e0d","4","25","28259","","","","","","","","[{""page_index"":0,""viewing_time"":4732},{""page_index"":1,""viewing_time"":16064},{""page_index"":2,""viewing_time"":7464}]","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","6","2.0.0","53691","55eb04337480920010aa9e0d","4","25","1343","","","","","","","","","","0","start_test","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","7","2.0.0","62651","55eb04337480920010aa9e0d","4","25","8959","","","","","","","","","<img src= ""rock_img/I_Pegmatite_13.jpg"" style=""width:8cm; height:4.95cm;""><p>What type of rock is this?</p>","3","class_response","0","test","1","Gabbro","Pegmatite","13","false","4","6","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-keyboard-response","8","2.0.0","63163","55eb04337480920010aa9e0d","4","25","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","1","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","9","2.0.0","68747","55eb04337480920010aa9e0d","4","25","5582","","","","","","","","","<img src= ""rock_img/I_Gabbro_16.jpg"" style=""width:8cm; height:6.44cm;""><p>What type of rock is this?</p>","7","class_response","0","test","2","Pumice","Gabbro","16","false","8","4","","","","","","","","","","","","","","","","",""
