"width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone","trial_type","trial_index","plugin_version","time_elapsed","subjID","condition","stimID","rt","url","success","value","timeout","failed_images","failed_audio","failed_video","view_history","stimulus","response","trialType","cycle","phase","trial","resp","cat","token","corr","resp_num","cat_num","rt_ref","rt_paired","ref_cat_num","paired_cat_num","ref_cat","paired_cat","text_Basalt","text_Obsidian","time_obs","time_resp","text_Peridotite","text_Pegmatite","text_Gabbro","text_Andesite","time_fb1","time_fb2","text_Diorite"
"","","","","","","","","","","","html-keyboard-response","22","2.0.0","85805","6643a72b8bbc62751f1c69b3","4","23","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","8","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","23","2.0.0","90763","6643a72b8bbc62751f1c69b3","4","23","4956","","","","","","","","","<img src= ""rock_img/I_Pegmatite_09.jpg"" style=""width:8cm; height:4.03cm;""><p>What type of rock is this?</p>","6","class_response","0","test","9","Peridotite","Pegmatite","09","false","7","6","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-keyboard-response","24","2.0.0","91279","6643a72b8bbc62751f1c69b3","4","23","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","9","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","25","2.0.0","96721","6643a72b8bbc62751f1c69b3","4","23","5439","","","","","","","","","<img src= ""rock_img/I_Gabbro_08.jpg"" style=""width:8cm; height:5.15cm;""><p>What type of rock is this?</p>","5","class_response","0","test","10","Pegmatite","Gabbro","08","false","6","4","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-keyboard-response","26","2.0.0","97226","6643a72b8bbc62751f1c69b3","4","23","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","10","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","27","2.0.0","100423","6643a72b8bbc62751f1c69b3","4","23","3196","","","","","","","","","<img src= ""rock_img/I_Pegmatite_08.jpg"" style=""width:8cm; height:7.68cm;""><p>What type of rock is this?</p>","6","class_response","0","test","11","Peridotite","Pegmatite","08","false","7","6","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-keyboard-response","28","2.0.0","100932","6643a72b8bbc62751f1c69b3","4","23","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","11","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","29","2.0.0","103142","6643a72b8bbc62751f1c69b3","4","23","2208","","","","","","","","","<img src= ""rock_img/I_Gabbro_10.jpg"" style=""width:8cm; height:5.680000000000001cm;""><p>What type of rock is this?</p>","1","class_response","0","test","12","Basalt","Gabbro","10","false","2","4","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-keyboard-response","30","2.0.0","103658","6643a72b8bbc62751f1c69b3","4","23","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","12","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","31","2.0.0","104767","6643a72b8bbc62751f1c69b3","4","23","1106","","","","","","","","","<img src= ""rock_img/I_Pumice_08.jpg"" style=""width:8cm; height:6.67cm;""><p>What type of rock is this?</p>","7","class_response","0","test","13","Pumice","Pumice","08","true","8","8","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-keyboard-response","32","2.0.0","105272","6643a72b8bbc62751f1c69b3","4","23","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","13","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","33","2.0.0","110195","6643a72b8bbc62751f1c69b3","4","23","4921","","","","","","","","","<img src= ""rock_img/I_Diorite_10.jpg"" style=""width:8cm; height:5.949999999999999cm;""><p>What type of rock is this?</p>","0","class_response","0","test","14","Andesite","Diorite","10","false","1","3","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-keyboard-response","34","2.0.0","110711","6643a72b8bbc62751f1c69b3","4","23","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","14","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","35","2.0.0","115235","6643a72b8bbc62751f1c69b3","4","23","4521","","","","","","","","","<img src= ""rock_img/I_Gabbro_15.jpg"" style=""width:8cm; height:6.29cm;""><p>What type of rock is this?</p>","0","class_response","0","test","15","Andesite","Gabbro","15","false","1","4","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-keyboard-response","36","2.0.0","115748","6643a72b8bbc62751f1c69b3","4","23","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","15","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","37","2.0.0","117072","6643a72b8bbc62751f1c69b3","4","23","1322","","","","","","","","","<img src= ""rock_img/I_Pumice_16.jpg"" style=""width:8cm; height:6.79cm;""><p>What type of rock is this?</p>","7","class_response","0","test","16","Pumice","Pumice","16","true","8","8","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-keyboard-response","38","2.0.0","117584","6643a72b8bbc62751f1c69b3","4","23","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","16","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","39","2.0.0","119672","6643a72b8bbc62751f1c69b3","4","23","2085","","","","","","","","","<img src= ""rock_img/I_Andesite_03.jpg"" style=""width:8cm; height:5.73cm;""><p>What type of rock is this?</p>","2","class_response","0","test","17","Diorite","Andesite","03","false","3","1","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-keyboard-response","40","2.0.0","120175","6643a72b8bbc62751f1c69b3","4","23","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","17","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","41","2.0.0","124733","6643a72b8bbc62751f1c69b3","4","23","4556","","","","","","","","","<img src= ""rock_img/I_Diorite_06.jpg"" style=""width:8cm; height:6.03cm;""><p>What type of rock is this?</p>","3","class_response","0","test","18","Gabbro","Diorite","06","false","4","3","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-keyboard-response","42","2.0.0","125246","6643a72b8bbc62751f1c69b3","4","23","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","18","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","43","2.0.0","126612","6643a72b8bbc62751f1c69b3","4","23","1364","","","","","","","","","<img src= ""rock_img/I_Peridotite_16.jpg"" style=""width:8cm; height:6.989999999999999cm;""><p>What type of rock is this?</p>","6","class_response","0","test","19","Peridotite","Peridotite","16","true","7","7","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-keyboard-response","44","2.0.0","127126","6643a72b8bbc62751f1c69b3","4","23","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","19","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","45","2.0.0","131090","6643a72b8bbc62751f1c69b3","4","23","3962","","","","","","","","","<img src= ""rock_img/I_Peridotite_04.jpg"" style=""width:8cm; height:6.680000000000001cm;""><p>What type of rock is this?</p>","1","class_response","0","test","20","Basalt","Peridotite","04","false","2","7","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-keyboard-response","46","2.0.0","131599","6643a72b8bbc62751f1c69b3","4","23","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","20","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","47","2.0.0","134600","6643a72b8bbc62751f1c69b3","4","23","2999","","","","","","","","","<img src= ""rock_img/I_Basalt_16.jpg"" style=""width:8cm; height:7.659999999999999cm;""><p>What type of rock is this?</p>","7","class_response","0","test","21","Pumice","Basalt","16","false","8","2","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-keyboard-response","48","2.0.0","135107","6643a72b8bbc62751f1c69b3","4","23","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","21","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","49","2.0.0","138064","6643a72b8bbc62751f1c69b3","4","23","2955","","","","","","","","","<img src= ""rock_img/I_Pegmatite_06.jpg"" style=""width:8cm; height:5.17cm;""><p>What type of rock is this?</p>","0","class_response","0","test","22","Andesite","Pegmatite","06","false","1","6","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-keyboard-response","50","2.0.0","138569","6643a72b8bbc62751f1c69b3","4","23","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","22","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","51","2.0.0","145308","6643a72b8bbc62751f1c69b3","4","23","6737","","","","","","","","","<img src= ""rock_img/I_Andesite_09.jpg"" style=""width:8cm; height:6cm;""><p>What type of rock is this?</p>","2","class_response","0","test","23","Diorite","Andesite","09","false","3","1","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-keyboard-response","52","2.0.0","145812","6643a72b8bbc62751f1c69b3","4","23","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","23","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","53","2.0.0","147052","6643a72b8bbc62751f1c69b3","4","23","1237","","","","","","","","","<img src= ""rock_img/I_Obsidian_08.jpg"" style=""width:8cm; height:7.39cm;""><p>What type of rock is this?</p>","4","class_response","0","test","24","Obsidian","Obsidian","08","true","5","5","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-keyboard-response","54","2.0.0","147565","6643a72b8bbc62751f1c69b3","4","23","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","24","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","55","2.0.0","148394","6643a72b8bbc62751f1c69b3","4","23","827","","","","","","","","","<img src= ""rock_img/I_Obsidian_16.jpg"" style=""width:8cm; height:9.3cm;""><p>What type of rock is this?</p>","4","class_response","0","test","25","Obsidian","Obsidian","16","true","5","5","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-keyboard-response","56","2.0.0","148905","6643a72b8bbc62751f1c69b3","4","23","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","25","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","57","2.0.0","150586","6643a72b8bbc62751f1c69b3","4","23","1678","","","","","","","","","<img src= ""rock_img/I_Obsidian_07.jpg"" style=""width:8cm; height:4.76cm;""><p>What type of rock is this?</p>","4","class_response","0","test","26","Obsidian","Obsidian","07","true","5","5","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-keyboard-response","58","2.0.0","151098","6643a72b8bbc62751f1c69b3","4","23","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","26","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","59","2.0.0","153320","6643a72b8bbc62751f1c69b3","4","23","2220","","","","","","","","","<img src= ""rock_img/I_Peridotite_07.jpg"" style=""width:8cm; height:4.83cm;""><p>What type of rock is this?</p>","1","class_response","0","test","27","Basalt","Peridotite","07","false","2","7","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-keyboard-response","60","2.0.0","153827","6643a72b8bbc62751f1c69b3","4","23","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","27","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","61","2.0.0","156504","6643a72b8bbc62751f1c69b3","4","23","2675","","","","","","","","","<img src= ""rock_img/I_Basalt_05.jpg"" style=""width:8cm; height:8.18cm;""><p>What type of rock is this?</p>","1","class_response","0","test","28","Basalt","Basalt","05","true","2","2","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-keyboard-response","62","2.0.0","157018","6643a72b8bbc62751f1c69b3","4","23","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","28","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","63","2.0.0","158583","6643a72b8bbc62751f1c69b3","4","23","1562","","","","","","","","","<img src= ""rock_img/I_Pegmatite_07.jpg"" style=""width:8cm; height:6.7cm;""><p>What type of rock is this?</p>","6","class_response","0","test","29","Peridotite","Pegmatite","07","false","7","6","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-keyboard-response","64","2.0.0","159095","6643a72b8bbc62751f1c69b3","4","23","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","29","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","65","2.0.0","160573","6643a72b8bbc62751f1c69b3","4","23","1475","","","","","","","","","<img src= ""rock_img/I_Andesite_06.jpg"" style=""width:8cm; height:6.840000000000001cm;""><p>What type of rock is this?</p>","2","class_response","0","test","30","Diorite","Andesite","06","false","3","1","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-keyboard-response","66","2.0.0","161089","6643a72b8bbc62751f1c69b3","4","23","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","30","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","67","2.0.0","163613","6643a72b8bbc62751f1c69b3","4","23","2522","","","","","","","","","<img src= ""rock_img/I_Pegmatite_16.jpg"" style=""width:8cm; height:5.8cm;""><p>What type of rock is this?</p>","1","class_response","0","test","31","Basalt","Pegmatite","16","false","2","6","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-keyboard-response","68","2.0.0","164124","6643a72b8bbc62751f1c69b3","4","23","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","31","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","69","2.0.0","165332","6643a72b8bbc62751f1c69b3","4","23","1206","","","","","","","","","<img src= ""rock_img/I_Pegmatite_13.jpg"" style=""width:8cm; height:4.95cm;""><p>What type of rock is this?</p>","1","class_response","0","test","32","Basalt","Pegmatite","13","false","2","6","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-keyboard-response","70","2.0.0","165833","6643a72b8bbc62751f1c69b3","4","23","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","32","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","71","2.0.0","169002","6643a72b8bbc62751f1c69b3","4","23","3167","","","","","","","","","<img src= ""rock_img/I_Diorite_12.jpg"" style=""width:8cm; height:4.88cm;""><p>What type of rock is this?</p>","5","class_response","0","test","33","Pegmatite","Diorite","12","false","6","3","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-keyboard-response","72","2.0.0","169512","6643a72b8bbc62751f1c69b3","4","23","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","33","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","73","2.0.0","170553","6643a72b8bbc62751f1c69b3","4","23","1039","","","","","","","","","<img src= ""rock_img/I_Obsidian_02.jpg"" style=""width:8cm; height:7.51cm;""><p>What type of rock is this?</p>","4","class_response","0","test","34","Obsidian","Obsidian","02","true","5","5","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-keyboard-response","74","2.0.0","171065","6643a72b8bbc62751f1c69b3","4","23","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","34","","","","","","","","","","","","","","","","","","","","","","",""
