width,height,webaudio,browser,browser_version,mobile,os,fullscreen,vsync_rate,webcam,microphone,trial_type,trial_index,plugin_version,time_elapsed,subjID,condition,stimID,rt,url,success,value,timeout,failed_images,failed_audio,failed_video,view_history,stimulus,response,trialType,cycle,phase,trial,resp,cat,token,corr,resp_num,cat_num,rt_ref,rt_paired,ref_cat_num,paired_cat_num,ref_cat,paired_cat,text_Pegmatite,text_Peridotite,time_obs,time_resp,text_Gabbro,text_Andesite,text_Diorite,time_fb1,time_fb2,text_Basalt,text_Pumice,text_Obsidian
,,,,,,,,,,,html-keyboard-response,24,2.0.0,409688,67022b62378fdf9d7675d86d,4,43,null,,,,,,,,,<p style='font-size: 30px;'><strong>Okay</strong></p>,null,neutral_feedback,0,test,9,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,html-button-response,25,2.0.0,411297,67022b62378fdf9d7675d86d,4,43,1607,,,,,,,,,"<img src= ""rock_img/I_Diorite_06.jpg"" style=""width:8cm; height:6.03cm;""><p>What type of rock is this?</p>",3,class_response,0,test,10,Gabbro,Diorite,6,FALSE,4,3,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,html-keyboard-response,26,2.0.0,411800,67022b62378fdf9d7675d86d,4,43,null,,,,,,,,,<p style='font-size: 30px;'><strong>Okay</strong></p>,null,neutral_feedback,0,test,10,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,html-button-response,27,2.0.0,414343,67022b62378fdf9d7675d86d,4,43,2542,,,,,,,,,"<img src= ""rock_img/I_Gabbro_08.jpg"" style=""width:8cm; height:5.15cm;""><p>What type of rock is this?</p>",6,class_response,0,test,11,Peridotite,Gabbro,8,FALSE,7,4,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,html-keyboard-response,28,2.0.0,414846,67022b62378fdf9d7675d86d,4,43,null,,,,,,,,,<p style='font-size: 30px;'><strong>Okay</strong></p>,null,neutral_feedback,0,test,11,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,html-button-response,29,2.0.0,416657,67022b62378fdf9d7675d86d,4,43,1810,,,,,,,,,"<img src= ""rock_img/I_Basalt_06.jpg"" style=""width:8cm; height:7.06cm;""><p>What type of rock is this?</p>",4,class_response,0,test,12,Obsidian,Basalt,6,FALSE,5,2,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,html-keyboard-response,30,2.0.0,417159,67022b62378fdf9d7675d86d,4,43,null,,,,,,,,,<p style='font-size: 30px;'><strong>Okay</strong></p>,null,neutral_feedback,0,test,12,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,html-button-response,31,2.0.0,420363,67022b62378fdf9d7675d86d,4,43,3202,,,,,,,,,"<img src= ""rock_img/I_Diorite_12.jpg"" style=""width:8cm; height:4.88cm;""><p>What type of rock is this?</p>",2,class_response,0,test,13,Diorite,Diorite,12,TRUE,3,3,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,html-keyboard-response,32,2.0.0,420864,67022b62378fdf9d7675d86d,4,43,null,,,,,,,,,<p style='font-size: 30px;'><strong>Okay</strong></p>,null,neutral_feedback,0,test,13,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,html-button-response,33,2.0.0,426089,67022b62378fdf9d7675d86d,4,43,5224,,,,,,,,,"<img src= ""rock_img/I_Gabbro_03.jpg"" style=""width:8cm; height:8.52cm;""><p>What type of rock is this?</p>",6,class_response,0,test,14,Peridotite,Gabbro,3,FALSE,7,4,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,html-keyboard-response,34,2.0.0,426591,67022b62378fdf9d7675d86d,4,43,null,,,,,,,,,<p style='font-size: 30px;'><strong>Okay</strong></p>,null,neutral_feedback,0,test,14,,,,,,,,,,,,,,,,,,,,,,,,
