"width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone","trial_type","trial_index","plugin_version","time_elapsed","subjID","condition","stimID","rt","url","success","value","timeout","failed_images","failed_audio","failed_video","view_history","stimulus","response","trialType","cycle","phase","trial","resp","cat","token","corr","resp_num","cat_num","rt_ref","rt_paired","ref_cat_num","paired_cat_num","ref_cat","paired_cat","text_Andesite","text_Diorite","time_obs","time_resp","text_Pegmatite","text_Peridotite","text_Gabbro","time_fb1","time_fb2","text_Basalt","text_Obsidian"
"1920","919","true","chrome","131.0.0","false","Windows 10","true","60.27","true","true","browser-check","0","2.0.0","1013","5d0a8a22c0fd80001626e38d","4","33","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","external-html","1","2.0.0","10222","5d0a8a22c0fd80001626e38d","4","33","9133","consent_form.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","fullscreen","2","2.0.0","12935","5d0a8a22c0fd80001626e38d","4","33","1698","","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","call-function","3","2.0.0","12939","5d0a8a22c0fd80001626e38d","4","33","","","","{}","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","preload","4","2.0.0","17047","5d0a8a22c0fd80001626e38d","4","33","","","true","","false","[]","[]","[]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","instructions","5","2.0.0","42562","5d0a8a22c0fd80001626e38d","4","33","25513","","","","","","","","[{""page_index"":0,""viewing_time"":6505},{""page_index"":1,""viewing_time"":10335},{""page_index"":2,""viewing_time"":8672}]","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","6","2.0.0","44354","5d0a8a22c0fd80001626e38d","4","33","1791","","","","","","","","","","0","start_test","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","7","2.0.0","49671","5d0a8a22c0fd80001626e38d","4","33","5315","","","","","","","","","<img src= ""rock_img/I_Gabbro_10.jpg"" style=""width:8cm; height:5.680000000000001cm;""><p>What type of rock is this?</p>","7","class_response","0","test","1","Pumice","Gabbro","10","false","8","4","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-keyboard-response","8","2.0.0","50182","5d0a8a22c0fd80001626e38d","4","33","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","1","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","9","2.0.0","51966","5d0a8a22c0fd80001626e38d","4","33","1781","","","","","","","","","<img src= ""rock_img/I_Obsidian_12.jpg"" style=""width:8cm; height:6.53cm;""><p>What type of rock is this?</p>","4","class_response","0","test","2","Obsidian","Obsidian","12","true","5","5","","","","","","","","","","","","","","","","",""
