"width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone","trial_type","trial_index","plugin_version","time_elapsed","subjID","condition","stimID","rt","url","success","value","timeout","failed_images","failed_audio","failed_video","view_history","stimulus","response","trialType","cycle","phase","trial","resp","cat","token","corr","resp_num","cat_num","rt_ref","rt_paired","ref_cat_num","paired_cat_num","ref_cat","paired_cat","text_Andesite","text_Gabbro","time_obs","time_resp","text_Diorite","text_Peridotite","text_Pegmatite","time_fb1","time_fb2","text_Basalt","text_Pumice"
"","","","","","","","","","","","html-button-response","49","2.0.0","219946","671938533cc191ce0b9c368b","4","1","3047","","","","","","","","","<img src= ""rock_img/I_Diorite_15.jpg"" style=""width:8cm; height:5.54cm;""><p>What type of rock is this?</p>","2","class_response","0","test","22","Diorite","Diorite","15","true","3","3","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-keyboard-response","50","2.0.0","220447","671938533cc191ce0b9c368b","4","1","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","22","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","51","2.0.0","225291","671938533cc191ce0b9c368b","4","1","4842","","","","","","","","","<img src= ""rock_img/I_Pumice_14.jpg"" style=""width:8cm; height:6.39cm;""><p>What type of rock is this?</p>","7","class_response","0","test","23","Pumice","Pumice","14","true","8","8","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-keyboard-response","52","2.0.0","225793","671938533cc191ce0b9c368b","4","1","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","23","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","53","2.0.0","228554","671938533cc191ce0b9c368b","4","1","2759","","","","","","","","","<img src= ""rock_img/I_Obsidian_16.jpg"" style=""width:8cm; height:9.3cm;""><p>What type of rock is this?</p>","4","class_response","0","test","24","Obsidian","Obsidian","16","true","5","5","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-keyboard-response","54","2.0.0","229056","671938533cc191ce0b9c368b","4","1","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","24","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","55","2.0.0","231879","671938533cc191ce0b9c368b","4","1","2822","","","","","","","","","<img src= ""rock_img/I_Obsidian_07.jpg"" style=""width:8cm; height:4.76cm;""><p>What type of rock is this?</p>","4","class_response","0","test","25","Obsidian","Obsidian","07","true","5","5","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-keyboard-response","56","2.0.0","232381","671938533cc191ce0b9c368b","4","1","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","25","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","57","2.0.0","234808","671938533cc191ce0b9c368b","4","1","2424","","","","","","","","","<img src= ""rock_img/I_Gabbro_12.jpg"" style=""width:8cm; height:7.800000000000001cm;""><p>What type of rock is this?</p>","1","class_response","0","test","26","Basalt","Gabbro","12","false","2","4","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-keyboard-response","58","2.0.0","235309","671938533cc191ce0b9c368b","4","1","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","26","","","","","","","","","","","","","","","","","","","","","","",""
