cat,token,D1,D2,D3,D4,D5,D6,D7,D8
Andesite,1,-2.757,-1.594,1.052,0.768,1.343,1.711,1.795,0.809
Andesite,2,2.001,-0.754,1.405,-1.382,-1.384,0.976,-0.067,1.972
Andesite,3,0.261,-0.508,-2.962,-0.608,0.009,-0.191,2.72,-1.224
Andesite,4,0.382,-0.027,-0.148,-1.899,-1.948,1.862,0.968,0.986
Andesite,5,0.288,2.013,-1.102,-1.285,0.344,-0.009,2.696,-0.174
Andesite,6,0.411,0.774,-0.159,-0.702,0.549,-0.19,1.475,-0.16
Andesite,7,-0.216,3.113,-0.658,0.221,1.368,2.023,2.831,1.723
Andesite,9,0.459,-0.777,-1.395,-1.371,0.05,-0.356,1.544,-0.982
Andesite,10,-0.582,-2.41,0.381,-1.065,0.047,-0.442,2.267,-0.415
Andesite,11,2.318,-0.631,-2.065,-0.186,-0.817,-0.12,1.397,-0.633
Andesite,14,0.678,0.382,0.548,-0.755,-1.356,-0.478,1.574,-0.019
Andesite,16,0.393,1.522,-0.163,-0.319,-0.703,0.397,1.571,0.047
Basalt,1,-0.96,-3.138,-2.114,-1.25,0.137,1.169,1.165,0.327
Basalt,2,-0.334,-2.202,-2.496,-0.79,0.683,0.345,2.287,-0.777
Basalt,4,-2.244,-3.196,-2.508,-0.729,-0.238,1.884,1.707,0.389
Basalt,5,-1.961,-2.853,-2.588,-1.051,-0.102,1.925,2.067,0.409
Basalt,6,-2.281,-2.692,-2.591,-0.212,0.266,0.834,1.336,0.14
Basalt,8,-2.693,-3.402,-2.413,-0.609,0.659,1.164,1.38,0.446
Basalt,9,-0.493,-2.501,-2.329,-1.864,0.551,0.42,1.955,0.036
Basalt,10,-1.964,-3.153,-2.216,0.004,-0.532,3.495,1.282,1.168
Basalt,11,0.684,-2.022,0.105,0.198,0.454,-0.006,2.753,-2.077
Basalt,12,0.132,-1.847,-0.814,-1.476,-0.533,-0.07,1.694,-2.176
Basalt,14,-1.722,-3.339,1.152,-0.446,-0.987,4.146,0.202,3.018
Basalt,16,-1.651,-3.188,-0.091,-1.484,-0.634,5.109,0.325,1.526
Diorite,2,-0.596,2.684,-0.401,2.421,2.38,0.62,0.986,0.012
Diorite,6,0.556,1.042,2.073,0.159,0.305,0.61,0.564,0.872
Diorite,7,0.597,0.892,1.959,1.377,0.557,1.715,0.703,3.341
Diorite,8,0.903,2.388,1.466,2.715,1.637,1.047,1.278,0.488
Diorite,9,1.2,1.852,1.83,0.836,0.799,2.075,1.742,2.976
Diorite,10,0.885,0.5,1.932,-0.504,1.688,1.678,2.833,2.321
Diorite,11,0.303,1.991,1.664,0.864,1.959,2.072,2.004,1.713
Diorite,12,0.749,0.952,2.451,0.339,1.405,3.195,2.94,2.694
Diorite,13,0.19,1.448,2.467,0.06,-0.015,3.622,1.071,2.308
Diorite,14,1.299,1.956,1.357,1.128,0.547,0.358,0.662,1.782
Diorite,15,-0.146,0.296,1.859,-1.668,1.1,3.557,1.29,2.021
Diorite,16,0.333,1.669,1.065,0.74,0.895,1.046,1.146,2.171
Gabbro,1,-0.27,1.205,0.575,-0.58,0.259,0.568,3.042,-0.459
