subj,cond,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,score
149,TCN,3,2,1,2,4,3,4,4,4,27
150,TCN,3,2,4,4,5,2,2,3,5,36
151,TCN,4,3,2,4,3,3,3,3,5,30
152,TCN,4,3,3,2,3,2,4,2,2,25
153,TCN,3,1,1,5,5,1,4,3,5,34
154,TCN,5,2,4,3,5,3,2,3,5,36
155,TCN,4,2,3,4,2,4,3,2,4,28
156,TCN,3,2,5,4,4,2,3,3,5,35
157,TCN,4,2,1,4,4,2,4,4,5,32
158,TCN,5,1,3,4,5,4,3,4,5,36
159,TCN,4,2,3,4,4,3,2,4,4,34
160,TCN,5,3,3,4,5,3,4,4,5,34
161,TCN,5,3,4,4,5,3,3,2,4,33
162,TCN,3,2,5,4,3,2,3,3,5,34
163,TCN,4,2,3,4,4,3,3,4,5,34
164,TCN,5,1,3,4,2,2,3,3,5,34
165,TCN,4,1,2,2,3,4,3,4,5,30
166,TCN,4,2,3,4,4,3,3,4,4,33
167,TCN,3,3,2,4,5,5,4,4,5,29
168,TCN,2,1,3,4,4,3,2,2,5,32
169,TCN,4,3,2,4,4,4,4,4,5,30
170,TCN,2,3,1,3,4,4,4,2,3,22
171,TCN,2,3,2,4,3,4,3,3,4,26
172,TCN,2,2,3,4,2,4,4,1,4,24
173,TCN,4,3,3,3,5,4,3,3,5,31
174,TCN,3,3,3,3,4,4,4,2,2,24
175,TCN,5,3,3,3,4,4,4,4,4,30
176,TCN,4,3,1,4,3,2,3,2,5,29
177,TCN,2,4,4,3,3,4,2,3,3,26
178,TCN,4,4,5,5,4,3,3,4,5,35
179,TCN,4,3,,3,2,4,2,4,3,25
180,TCN,4,3,2,3,5,4,3,4,5,31
181,TCN,4,3,3,3,2,4,3,4,5,29
182,TCN,4,3,2,4,2,2,2,3,5,31
183,TCN,2,3,3,4,4,2,3,2,5,30
184,TCN,3,3,2,4,4,4,3,3,4,28
185,TCN,3,4,3,5,5,4,3,4,5,32
187,TCN,5,1,3,5,5,2,2,4,5,40
188,TCN,5,2,4,3,4,3,3,2,5,33
189,TCN,5,3,3,5,4,3,2,3,5,35
190,TCN,5,2,2,5,1,3,3,5,5,33
191,TCN,3,2,2,5,5,1,3,4,5,36
192,TCN,5,1,2,5,4,4,4,2,5,32
193,TCN,3,2,3,4,3,4,3,3,4,29
194,TCN,3,3,2,5,5,4,2,4,5,33
195,TCN,5,2,1,4,4,3,2,3,4,32
196,TCN,3,2,4,4,5,2,3,1,5,33
197,TCN,4,5,4,3,4,5,2,3,4,28
198,TCN,3,2,1,3,5,3,4,2,4,27
199,TCN,4,1,4,3,5,2,3,3,4,35
200,TCN,4,2,3,3,4,3,3,5,4,33
201,TCN,4,2,3,5,5,3,3,4,5,36
202,TCN,4,2,3,5,4,3,3,4,5,35
203,TCN,4,3,5,2,4,4,3,3,4,30
204,TCN,4,2,3,4,4,3,3,3,5,33
205,TCN,4,2,3,4,4,3,3,2,4,31
206,TCN,4,3,3,5,4,3,3,4,5,34
207,TCN,4,3,3,4,4,5,3,3,5,30
208,TCN,5,3,3,4,4,4,3,4,4,32
3,SCN,4,2,2,4,3,3,3,4,4,31
4,SCN,4,2,4,4,3,3,3,2,4,31
5,SCN,3,4,5,5,4,3,4,3,5,32
6,SCN,2,3,3,5,5,3,3,4,5,33
7,SCN,4,1,3,4,5,2,3,4,5,37
10,SCN,4,2,5,4,5,3,3,4,5,37
11,SCN,3,2,3,3,2,3,3,2,5,28
13,SCN,5,2,3,5,4,2,3,4,5,37
14,SCN,4,3,3,3,4,3,3,4,4,31
15,SCN,5,2,2,5,4,3,3,3,5,34
16,SCN,3,2,4,4,5,3,4,2,5,32
17,SCN,3,3,2,4,5,4,3,2,5,29
19,SCN,3,2,2,4,3,4,3,3,4,28
20,SCN,4,3,2,4,3,3,2,3,5,31
21,SCN,3,2,4,3,2,1,4,3,5,31
22,SCN,3,2,2,4,4,3,4,2,5,29
23,SCN,3,2,2,5,3,1,2,1,5,32
24,SCN,3,2,3,3,3,3,3,4,4,30
25,SCN,3,1,3,4,5,3,4,2,5,32
27,SCN,3,2,3,4,4,3,3,2,5,31
29,SCN,5,2,3,4,4,3,3,5,5,36
30,SCN,4,2,4,4,2,3,3,2,3,29
31,SCN,2,2,3,4,5,2,2,3,5,34
35,SCN,5,2,3,3,4,3,3,3,4,32
37,SCN,3,2,3,4,3,4,3,3,5,30
38,SCN,3,2,3,4,2,3,2,3,4,30
39,SCN,4,2,3,4,5,3,2,3,2,32
40,SCN,5,2,3,4,4,3,3,4,5,35
41,SCN,4,2,4,4,4,4,3,4,4,33
45,SCN,4,1,4,4,5,4,4,4,5,35
46,SCN,4,3,4,4,3,4,5,4,5,30
47,SCN,4,2,3,4,4,3,3,3,5,33
50,SCN,5,1,3,5,4,3,4,4,5,36
51,SCN,4,1,3,4,4,1,2,3,4,36
52,SCN,4,3,3,4,2,4,3,3,4,28
53,SCN,4,3,2,3,4,4,5,3,4,26
54,SCN,4,2,5,5,4,3,3,4,5,37
55,SCN,3,2,3,4,4,2,2,3,5,34
57,SCN,4,3,3,4,3,2,2,3,5,33
58,SCN,4,4,2,3,4,4,3,4,5,29
59,SCN,5,2,3,3,5,3,3,4,4,34
61,SCN,4,3,4,4,4,3,4,4,4,32
62,SCN,5,2,3,3,4,2,3,4,4,34
63,SCN,5,3,2,4,4,3,4,5,5,33
64,SCN,4,3,3,3,4,4,3,3,4,29
65,SCN,3,4,3,3,2,4,2,3,5,27
66,SCN,3,2,2,4,3,4,3,3,4,28
67,SCN,4,3,3,4,4,2,3,2,5,32
68,SCN,4,2,3,3,4,4,2,2,4,30
69,SCN,3,2,2,3,5,2,4,3,5,31
75,SCN,4,3,3,3,3,3,3,3,4,29
76,SCN,4,2,2,4,5,4,3,3,5,32
77,SCN,4,2,3,3,4,3,3,2,4,30
78,SCN,5,2,2,3,4,4,3,4,5,32
79,SCN,2,2,3,5,2,4,5,2,5,26
80,SCN,4,3,2,4,3,3,3,2,4,28
81,SCN,3,4,3,1,4,2,4,2,5,26
82,SCN,4,2,2,4,3,2,3,2,5,31
83,SCN,3,3,3,4,2,3,2,4,4,30
84,SCN,4,3,2,3,4,4,3,3,3,27
85,SCN,3,3,2,3,4,3,4,2,4,26
86,SCN,4,2,3,3,5,4,4,3,4,30
96,SCN,4,2,3,3,4,2,3,3,4,32
97,SCN,3,3,3,4,4,3,3,4,5,32
98,SCN,4,3,3,2,4,3,3,4,5,31
99,SCN,4,2,3,5,5,3,3,3,5,35
100,SCN,2,4,3,3,3,2,2,2,4,27
101,SCN,3,2,3,4,3,3,3,4,5,32
102,SCN,4,3,5,5,5,4,4,3,5,34
103,SCN,4,3,2,4,4,3,4,4,3,29
104,SCN,4,2,2,4,4,3,3,3,4,31
105,SCN,5,2,3,3,4,2,2,3,5,35
106,SCN,4,4,3,3,2,5,5,4,4,24
107,SCN,4,1,4,5,5,1,3,3,5,39
108,SCN,3,2,3,4,4,2,3,2,5,32
109,SCN,4,2,4,3,4,3,4,4,5,33
110,SCN,4,3,1,2,3,3,3,1,4,24
111,SCN,5,1,5,2,4,4,2,4,5,36
112,SCN,4,2,3,3,4,4,2,4,5,33
113,SCN,2,1,1,4,4,1,5,2,3,27
114,SCN,4,2,3,5,3,3,3,5,5,35
115,SCN,5,3,2,4,5,2,4,2,4,31
116,SCN,3,2,3,4,4,4,3,4,5,32
117,SCN,4,2,4,4,4,3,2,3,5,35
118,SCN,4,1,5,5,3,2,4,5,5,38
122,SCN,4,2,3,5,4,4,3,3,5,33
123,SCN,3,4,2,5,4,2,4,4,3,29
124,SCN,4,3,3,4,2,4,3,2,5,28
125,SCN,4,2,3,5,3,2,2,4,5,36
126,SCN,5,2,4,3,4,3,2,4,4,35
128,SCN,5,3,4,5,5,5,4,2,5,32
129,SCN,4,3,5,3,4,3,3,3,3,31
130,SCN,4,2,3,4,4,3,4,4,4,32
131,SCN,4,3,2,4,4,3,3,4,5,32
132,SCN,4,2,3,3,4,4,3,3,4,30
133,SCN,4,1,3,4,3,3,2,4,4,34
134,SCN,4,2,3,5,4,3,2,3,5,35
135,SCN,3,2,3,4,5,4,3,2,4,30
136,SCN,5,2,3,4,5,2,3,4,5,37
137,SCN,3,3,2,4,4,3,4,2,3,26
138,SCN,5,1,4,5,5,3,2,3,5,39
139,SCN,4,3,5,5,3,1,3,5,3,36
140,SCN,4,4,2,3,4,4,4,3,4,26
141,SCN,4,1,2,4,4,2,3,3,5,34
142,SCN,4,2,4,4,4,3,2,4,5,36
143,SCN,5,1,5,5,5,1,2,5,5,44
144,SCN,4,3,4,5,3,3,5,3,5,31
145,SCN,4,3,4,4,3,4,3,4,5,32
146,SCN,3,3,1,2,3,4,3,3,4,24
147,SCN,4,2,3,5,4,3,2,5,5,37
148,SCN,3,2,2,4,3,2,3,2,4,29
149,SCN,5,3,2,4,5,4,5,5,5,32
150,SCN,4,3,2,4,5,4,3,4,4,31
151,SCN,4,2,3,4,3,2,3,3,4,32
152,SCN,4,2,2,4,4,4,4,4,5,31
153,SCN,5,4,4,4,2,4,4,1,5,27
155,SCN,4,2,2,4,4,3,3,3,5,32
156,SCN,5,2,3,4,5,2,2,4,5,38
157,SCN,4,3,2,2,2,3,3,3,5,27
157,SCN,3,3,2,4,3,3,3,2,5,28
158,SCN,5,2,3,4,5,3,3,3,5,35
159,SCN,4,1,4,5,4,2,1,4,5,40
160,SCN,5,1,4,5,5,1,1,4,4,42
161,SCN,4,2,3,4,4,4,3,3,5,32
162,SCN,3,2,3,4,4,3,3,3,5,32
163,SCN,5,4,2,4,5,3,4,4,4,31
164,SCN,4,2,3,3,3,3,4,2,3,27
165,SCN,4,3,3,4,4,4,3,4,3,30
166,SCN,3,3,1,4,4,4,5,3,4,25
167,SCN,5,4,3,2,4,4,4,3,5,28
168,SCN,5,5,5,3,3,1,3,3,5,33
169,SCN,4,2,5,4,4,4,2,2,5,34
170,SCN,4,4,3,3,3,4,4,4,4,27
171,SCN,3,4,2,4,5,5,3,1,5,26
172,SCN,5,2,3,3,5,2,2,4,3,35
173,SCN,2,1,2,5,3,3,2,4,5,33
174,SCN,4,2,3,3,4,2,2,4,4,34
175,SCN,4,1,5,4,5,2,2,4,5,40
176,SCN,5,2,3,3,4,2,3,3,4,33
177,SCN,3,3,2,3,4,4,4,4,4,27
178,SCN,5,1,3,4,2,4,,2,5,34
179,SCN,4,2,3,4,4,3,4,4,5,33
180,SCN,4,3,3,4,4,3,3,4,5,33
181,SCN,5,2,4,5,4,3,1,5,5,40
182,SCN,3,2,3,4,5,2,2,3,5,35
183,SCN,3,2,3,3,4,5,4,3,5,28
184,SCN,3,2,4,4,5,3,3,5,5,36
185,SCN,4,2,3,4,3,3,3,4,4,32
186,SCN,5,2,4,5,3,3,2,4,5,37
187,SCN,4,4,3,2,3,5,4,5,5,27
188,SCN,4,3,1,2,4,3,3,2,4,26
189,SCN,5,2,3,4,5,3,4,4,5,35
190,SCN,3,2,4,3,3,4,3,4,5,31
191,SCN,4,2,2,3,4,3,3,3,5,31
192,SCN,5,1,4,5,5,2,2,3,5,40
193,SCN,4,2,4,4,3,3,2,4,5,35
194,SCN,2,1,4,3,4,4,3,2,5,30
195,SCN,4,2,4,4,4,3,3,2,5,33
196,SCN,4,2,2,4,5,3,1,4,5,36
197,SCN,4,2,3,4,5,3,4,3,5,33
198,SCN,5,2,4,5,3,3,2,4,5,37
199,SCN,3,3,2,4,3,4,3,4,5,29
200,SCN,3,3,4,5,5,4,3,4,5,34
202,SCN,4,3,4,3,3,3,3,3,5,31
203,SCN,4,2,3,4,5,3,4,3,5,33
204,SCN,3,2,2,3,4,4,2,2,5,29
205,SCN,3,2,4,4,5,4,3,3,4,32
206,SCN,4,2,3,4,5,4,2,3,5,34
207,SCN,4,3,3,5,5,2,3,1,5,33
208,SCN,4,2,5,4,3,3,2,3,5,35
