"width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone","trial_type","trial_index","plugin_version","time_elapsed","subjID","condition","stimID","rt","url","success","value","timeout","failed_images","failed_audio","failed_video","view_history","stimulus","response","trialType","cycle","phase","trial","resp","cat","token","corr","resp_num","cat_num","ref_cat_num","paired_cat_num","time_obs","ref_cat","paired_cat","ref_prob_dist","paired_prob_dist","text_Basalt","text_Pegmatite","time_resp","text_Obsidian","text_Peridotite","text_Gabbro","time_fb1","time_fb2","text_Andesite","text_Diorite"
"","","","","","","","","","","","html-button-response","396","2.0.0","3003054","6600214d71ce9b3918064857","3","17","11353","","","","","","","","","<img src= ""rock_img/I_Andesite_09.jpg"" style=""width:8cm; height:6cm;""><p>What type of rock is this?</p>","2","class_response","3","train","12","Diorite","Andesite","09","false","3","1","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","397","2.0.0","3014718","6600214d71ce9b3918064857","3","17","11658","","","","","","","","","<img src= rock_img/I_Andesite_09.jpg style=""width:8cm; height:6cm;""><p style='font-size: 30px; color: red;'><strong>Incorrect!</strong></p><p style='font-size: 30px;'><strong>This rock is andesite</strong></p>","0","corr_feedback","3","train","12","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","399","2.0.0","3018844","6600214d71ce9b3918064857","3","17","4122","","","","","","","","","","0","start_train","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","400","2.0.0","3021196","6600214d71ce9b3918064857","3","17","","","","","","","","","","","","cat_selection","3","train","1","","","","","","","1","3","2349.5","Andesite","Diorite","[0.17479279903996195,0.10379182320935836,0.13569009841247237,0.17098651791666925,0.05882176275384152,0.17098651791666925,0.1437107974812676,0.041219683269759826]","[null,0.04826212253578647,0.5464134149941174,0.14013481094004215,0.09549788993313357,0.045524005307437686,0.10755511030328212,0.016612645986200585]","","","","","","","","","",""
"","","","","","","","","","","","paired-cat-display","401","1.0.0","3063111","6600214d71ce9b3918064857","3","17","","","","","","","","","","","","paired_cat_display","3","train","1","","","","","","","","","13362.89999999851","","","","","","","28546.5","","","","","","it looks white ","it looks gold "
"","","","","","","","","","","","html-button-response","402","2.0.0","3065503","6600214d71ce9b3918064857","3","17","","","","","","","","","","","","cat_selection","3","train","2","","","","","","","6","7","2388.5","Pegmatite","Peridotite","[0.17479279903996195,0.10379182320935836,0.13569009841247237,0.17098651791666925,0.05882176275384152,0.17098651791666925,0.1437107974812676,0.041219683269759826]","[0.24122207482719846,0.06896176770281455,0.01751089964909189,0.21357533683849714,0.015317554880758536,null,0.3763152402727212,0.06709712582891808]","","","","","","","","","",""
"","","","","","","","","","","","paired-cat-display","403","1.0.0","3113145","6600214d71ce9b3918064857","3","17","","","","","","","","","","","","paired_cat_display","3","train","2","","","","","","","","","24881.699999999255","","","","","","it looks gold ","22755.5","","it looks green ","","","","",""
"","","","","","","","","","","","html-button-response","404","2.0.0","3115120","6600214d71ce9b3918064857","3","17","","","","","","","","","","","","cat_selection","3","train","3","","","","","","","1","4","1972.7999999970198","Andesite","Gabbro","[0.17479279903996195,0.10379182320935836,0.13569009841247237,0.17098651791666925,0.05882176275384152,0.17098651791666925,0.1437107974812676,0.041219683269759826]","[null,0.04826212253578647,0.5464134149941174,0.14013481094004215,0.09549788993313357,0.045524005307437686,0.10755511030328212,0.016612645986200585]","","","","","","","","","",""
"","","","","","","","","","","","paired-cat-display","405","1.0.0","3159883","6600214d71ce9b3918064857","3","17","","","","","","","","","","","","paired_cat_display","3","train","3","","","","","","","","","21306.10000000149","","","","","","","23451.5","","","it looks dark ","","","it looks white ",""
"","","","","","","","","","","","html-button-response","407","2.0.0","3163890","6600214d71ce9b3918064857","3","17","4004","","","","","","","","","","0","start_test","","","","","","","","","","","","","","","","","","","","","","","","","",""
