participant,condition,date,expName,psychopyVersion,OS,frameRate,block,phase,trial,learn_mouse.x,learn_mouse.y,learn_mouse.leftButton,learn_mouse.midButton,learn_mouse.rightButton,learn_mouse.time,learn_mouse.clicked_name,cat,token,row,col,t_select,cat_mouse_l.x,cat_mouse_l.y,cat_mouse_l.leftButton,cat_mouse_l.midButton,cat_mouse_l.rightButton,cat_mouse_l.time,cat_mouse_l.clicked_name,resp,t_resp,corr,train_trials.thisRepN,train_trials.thisTrialN,train_trials.thisN,train_trials.thisIndex,train_trials.ran,cat_mouse_t.x,cat_mouse_t.y,cat_mouse_t.leftButton,cat_mouse_t.midButton,cat_mouse_t.rightButton,cat_mouse_t.time,cat_mouse_t.clicked_name,test_trials.thisRepN,test_trials.thisTrialN,test_trials.thisN,test_trials.thisIndex,test_trials.ran,Bonus,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,blocks.order,train_trials.order,SC_cond_filter.thisRepN,SC_cond_filter.thisTrialN,SC_cond_filter.thisN,SC_cond_filter.thisIndex,SC_cond_filter.ran,SC_cond_filter.order
66437fc81d7c8bf0cc3ed9ff,SCN,2024-06-25_18h03.36.420,LearnStrategy,2023.2.3,Win32,59.17159763,1,1,10,0.078125,0.083333333,1,0,0,0.819,Andesite_02,1,02,4,5,0.819,0.3203125,-0.26953125,1,0,0,1.1077,Gabbro_rect,4,1.108,0,9,0,9,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,
66437fc81d7c8bf0cc3ed9ff,SCN,2024-06-25_18h03.36.420,LearnStrategy,2023.2.3,Win32,59.17159763,1,1,11,0.131510417,0.110677083,1,0,0,0.7354,Andesite_02,1,02,4,5,0.735,-0.395833333,-0.256510417,1,0,0,1.1273,Andesite_rect,1,1.127,1,10,0,10,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,
66437fc81d7c8bf0cc3ed9ff,SCN,2024-06-25_18h03.36.420,LearnStrategy,2023.2.3,Win32,59.17159763,1,1,12,0.065104167,-0.095052083,1,0,0,0.5111,Diorite_16,3,16,3,5,0.511,0.326822917,-0.235677083,1,0,0,1.9337,Gabbro_rect,4,1.934,0,11,0,11,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,
66437fc81d7c8bf0cc3ed9ff,SCN,2024-06-25_18h03.36.420,LearnStrategy,2023.2.3,Win32,59.17159763,1,1,13,0.09765625,-0.098958333,1,0,0,0.8511,Diorite_16,3,16,3,5,0.851,0.334635417,-0.264322917,1,0,0,1.5096,Gabbro_rect,4,1.51,0,12,0,12,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,
66437fc81d7c8bf0cc3ed9ff,SCN,2024-06-25_18h03.36.420,LearnStrategy,2023.2.3,Win32,59.17159763,1,1,14,0.045572917,0.240885417,1,0,0,0.7594,Basalt_06,2,06,5,5,0.759,-0.46484375,-0.416666667,1,0,0,2.7292,Obsidian_rect,5,2.729,0,13,0,13,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,
66437fc81d7c8bf0cc3ed9ff,SCN,2024-06-25_18h03.36.420,LearnStrategy,2023.2.3,Win32,59.17159763,1,1,15,0.399739583,0.264322917,1,0,0,1.0861,Pumice_06,8,06,5,7,1.086,-0.407552083,-0.244791667,1,0,0,6.0136,Andesite_rect,1,6.014,0,14,0,14,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,
66437fc81d7c8bf0cc3ed9ff,SCN,2024-06-25_18h03.36.420,LearnStrategy,2023.2.3,Win32,59.17159763,1,1,16,-0.052083333,-0.076822917,1,0,0,0.9865,Pumice_05,8,05,3,4,0.987,-0.127604167,-0.399739583,1,0,0,5.1154,Pegmatite_rect,6,5.115,0,15,0,15,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,
66437fc81d7c8bf0cc3ed9ff,SCN,2024-06-25_18h03.36.420,LearnStrategy,2023.2.3,Win32,59.17159763,1,2,1,,,,,,,,7,08,,,,,,,,,,,7,4.743,1,,,,,,0.15234375,-0.399739583,1,0,0,4.7433,Peridotite_rect,0,0,0,0,1,,,,,,,,,,,,,,
66437fc81d7c8bf0cc3ed9ff,SCN,2024-06-25_18h03.36.420,LearnStrategy,2023.2.3,Win32,59.17159763,1,2,2,,,,,,,,3,08,,,,,,,,,,,8,1.911,0,,,,,,0.34765625,-0.412760417,1,0,0,1.9106,Pumice_rect,1,0,1,0,1,,,,,,,,,,,,,,
66437fc81d7c8bf0cc3ed9ff,SCN,2024-06-25_18h03.36.420,LearnStrategy,2023.2.3,Win32,59.17159763,1,2,3,,,,,,,,8,03,,,,,,,,,,,3,0.83,0,,,,,,0.174479167,-0.26171875,1,0,0,0.8299,Diorite_rect,2,0,2,0,1,,,,,,,,,,,,,,
66437fc81d7c8bf0cc3ed9ff,SCN,2024-06-25_18h03.36.420,LearnStrategy,2023.2.3,Win32,59.17159763,1,2,4,,,,,,,,5,04,,,,,,,,,,,5,2.706,1,,,,,,-0.32421875,-0.403645833,1,0,0,2.7064,Obsidian_rect,3,0,3,0,1,,,,,,,,,,,,,,
66437fc81d7c8bf0cc3ed9ff,SCN,2024-06-25_18h03.36.420,LearnStrategy,2023.2.3,Win32,59.17159763,1,2,5,,,,,,,,8,14,,,,,,,,,,,5,0.65,0,,,,,,-0.35546875,-0.40625,1,0,0,0.65,Obsidian_rect,4,0,4,0,1,,,,,,,,,,,,,,
