participant,condition,date,expName,psychopyVersion,OS,frameRate,block,phase,trial,learn_mouse.x,learn_mouse.y,learn_mouse.leftButton,learn_mouse.midButton,learn_mouse.rightButton,learn_mouse.time,learn_mouse.clicked_name,cat,token,row,col,t_select,cat_rec,token_rec,cat_mouse_l.x,cat_mouse_l.y,cat_mouse_l.leftButton,cat_mouse_l.midButton,cat_mouse_l.rightButton,cat_mouse_l.time,cat_mouse_l.clicked_name,resp,t_resp,corr,train_trials.thisRepN,train_trials.thisTrialN,train_trials.thisN,train_trials.thisIndex,train_trials.ran
6644098276581c21371eec7c,SCR,2024-06-10_15h01.25.833,LearnStrategy,2023.2.3,MacIntel,60.24096386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6644098276581c21371eec7c,SCR,2024-06-10_15h01.25.833,LearnStrategy,2023.2.3,MacIntel,60.24096386,1,1,1,-0.529632456,0.2094884,1,0,0,3.7755,Pegmatite_11,6,11,5,1,3.775,6,11,0.439975356,-0.399987256,1,0,0,6.7799,Pumice_rect,8,6.78,0,0,0,0,0,1
6644098276581c21371eec7c,SCR,2024-06-10_15h01.25.833,LearnStrategy,2023.2.3,MacIntel,60.24096386,1,1,2,0.398078004,0.11573493,1,0,0,4.582,Obsidian_05,5,05,4,7,4.582,5,05,-0.363280392,-0.26057699,1,0,0,6.1328,Andesite_rect,1,6.133,0,1,0,1,0,1
6644098276581c21371eec7c,SCR,2024-06-10_15h01.25.833,LearnStrategy,2023.2.3,MacIntel,60.24096386,1,1,3,0.412165336,0.442773744,1,0,0,1.548,Pumice_05,8,05,6,7,1.548,8,05,0.363248196,-0.405570033,1,0,0,4.0281,Pumice_rect,8,4.028,1,2,0,2,0,1
6644098276581c21371eec7c,SCR,2024-06-10_15h01.25.833,LearnStrategy,2023.2.3,MacIntel,60.24096386,1,1,4,0.05132124,0.395046122,1,0,0,2.1981,Obsidian_02,5,02,6,5,2.198,5,02,-0.398427091,-0.401532758,1,0,0,4.9502,Obsidian_rect,5,4.95,1,3,0,3,0,1
6644098276581c21371eec7c,SCR,2024-06-10_15h01.25.833,LearnStrategy,2023.2.3,MacIntel,60.24096386,1,1,5,-0.086808482,-0.404497739,1,0,0,1.3981,Pumice_14,8,14,1,4,1.398,8,14,0.417808924,-0.408652308,1,0,0,3.6118,Pumice_rect,8,3.612,1,4,0,4,0,1
6644098276581c21371eec7c,SCR,2024-06-10_15h01.25.833,LearnStrategy,2023.2.3,MacIntel,60.24096386,1,1,6,0.529469833,0.397755061,1,0,0,1.6647,Diorite_14,3,14,6,8,1.665,3,14,-0.185784375,-0.236821704,1,0,0,7.2793,Basalt_rect,2,7.279,0,5,0,5,0,1
6644098276581c21371eec7c,SCR,2024-06-10_15h01.25.833,LearnStrategy,2023.2.3,MacIntel,60.24096386,1,1,7,0.381529195,-0.120958286,1,0,0,1.631,Peridotite_14,7,14,3,7,1.631,7,14,-0.364495947,-0.247913538,1,0,0,5.0463,Andesite_rect,1,5.046,0,6,0,6,0,1
6644098276581c21371eec7c,SCR,2024-06-10_15h01.25.833,LearnStrategy,2023.2.3,MacIntel,60.24096386,1,1,8,0.06802204,-0.437404493,1,0,0,1.3477,Gabbro_01,4,01,1,5,1.348,4,01,0.137377751,-0.241215041,1,0,0,1.5773,Diorite_rect,3,1.577,0,7,0,7,0,1
6644098276581c21371eec7c,SCR,2024-06-10_15h01.25.833,LearnStrategy,2023.2.3,MacIntel,60.24096386,1,1,9,-0.545699402,0.09281317,1,0,0,1.4652,Peridotite_16,7,16,4,1,1.465,7,16,-0.399742481,-0.233036032,1,0,0,2.8121,Andesite_rect,1,2.812,0,8,0,8,0,1
6644098276581c21371eec7c,SCR,2024-06-10_15h01.25.833,LearnStrategy,2023.2.3,MacIntel,60.24096386,1,1,10,0.556902375,-0.272115992,1,0,0,1.6317,Andesite_09,1,09,2,8,1.632,1,09,0.435673124,-0.389529203,1,0,0,2.8094,Pumice_rect,8,2.809,0,9,0,9,0,1
