participant,condition,date,expName,psychopyVersion,OS,frameRate,block,phase,trial,learn_mouse_2.x,learn_mouse_2.y,learn_mouse_2.leftButton,learn_mouse_2.midButton,learn_mouse_2.rightButton,learn_mouse_2.time,learn_mouse_2.clicked_name,cat,token,row,col,t_select,cat_mouse_l.x,cat_mouse_l.y,cat_mouse_l.leftButton,cat_mouse_l.midButton,cat_mouse_l.rightButton,cat_mouse_l.time,cat_mouse_l.clicked_name,resp,t_resp,corr,train_trials.thisRepN,train_trials.thisTrialN,train_trials.thisN,train_trials.thisIndex,train_trials.ran,cat_mouse_t.x,cat_mouse_t.y,cat_mouse_t.leftButton,cat_mouse_t.midButton,cat_mouse_t.rightButton,cat_mouse_t.time,cat_mouse_t.clicked_name,test_trials.thisRepN,test_trials.thisTrialN,test_trials.thisN,test_trials.thisIndex,test_trials.ran,Bonus,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,blocks.order,test_trials.order
65c10d42d5c2debb4d480be6,TCN,2024-06-11_12h55.10.941,LearnStrategy,2023.2.3,Linux x86_64,20.01881769,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65c10d42d5c2debb4d480be6,TCN,2024-06-11_12h55.10.941,LearnStrategy,2023.2.3,Linux x86_64,20.01881769,1,1,1,0.052671274,-0.015316208,1,0,0,4.3163,rock_grid_rect_2,5,04,-1,-1,4.316,-0.327405373,-0.3908693,1,0,0,4.9367,Obsidian_rect,5,4.937,1,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,
65c10d42d5c2debb4d480be6,TCN,2024-06-11_12h55.10.941,LearnStrategy,2023.2.3,Linux x86_64,20.01881769,1,1,2,0.00538365,0.0085754,1,0,0,3.2868,rock_grid_rect_2,6,11,-1,-1,3.287,0.354797681,-0.397321939,1,0,0,49.0723,Pumice_rect,8,49.072,0,1,0,1,0,1,,,,,,,,,,,,,,,,,,,,
65c10d42d5c2debb4d480be6,TCN,2024-06-11_12h55.10.941,LearnStrategy,2023.2.3,Linux x86_64,20.01881769,1,1,3,-0.044653813,-0.016091625,1,0,0,3.7301,rock_grid_rect_2,1,06,-1,-1,3.73,-0.088438114,-0.264444272,1,0,0,10.4297,Basalt_rect,2,10.43,0,2,0,2,0,1,,,,,,,,,,,,,,,,,,,,
65c10d42d5c2debb4d480be6,TCN,2024-06-11_12h55.10.941,LearnStrategy,2023.2.3,Linux x86_64,20.01881769,1,1,4,-0.008634329,-0.006733457,1,0,0,1.1897,rock_grid_rect_2,3,06,-1,-1,1.19,-0.367412885,-0.236912568,1,0,0,2.2412,Andesite_rect,1,2.241,0,3,0,3,0,1,,,,,,,,,,,,,,,,,,,,
65c10d42d5c2debb4d480be6,TCN,2024-06-11_12h55.10.941,LearnStrategy,2023.2.3,Linux x86_64,20.01881769,1,1,5,0.04033486,0.009865244,1,0,0,1.7707,rock_grid_rect_2,7,04,-1,-1,1.771,-0.315499862,-0.258383195,1,0,0,4.7353,Andesite_rect,1,4.735,0,4,0,4,0,1,,,,,,,,,,,,,,,,,,,,
65c10d42d5c2debb4d480be6,TCN,2024-06-11_12h55.10.941,LearnStrategy,2023.2.3,Linux x86_64,20.01881769,1,1,6,0.051199675,-0.008029183,1,0,0,1.2175,rock_grid_rect_2,5,06,-1,-1,1.217,0.131473541,-0.250530322,1,0,0,3.6751,Diorite_rect,3,3.675,0,5,0,5,0,1,,,,,,,,,,,,,,,,,,,,
65c10d42d5c2debb4d480be6,TCN,2024-06-11_12h55.10.941,LearnStrategy,2023.2.3,Linux x86_64,20.01881769,1,1,7,-0.003087282,-0.011782447,1,0,0,1.814,rock_grid_rect_2,1,05,-1,-1,1.814,0.358230829,-0.410867294,1,0,0,2.0864,Pumice_rect,8,2.086,0,6,0,6,0,1,,,,,,,,,,,,,,,,,,,,
65c10d42d5c2debb4d480be6,TCN,2024-06-11_12h55.10.941,LearnStrategy,2023.2.3,Linux x86_64,20.01881769,1,1,8,0.003786405,0.004384756,1,0,0,2.0795,rock_grid_rect_2,2,02,-1,-1,2.079,0.348929087,-0.410777728,1,0,0,3.3354,Pumice_rect,8,3.335,0,7,0,7,0,1,,,,,,,,,,,,,,,,,,,,
65c10d42d5c2debb4d480be6,TCN,2024-06-11_12h55.10.941,LearnStrategy,2023.2.3,Linux x86_64,20.01881769,1,1,9,0.077947537,-0.001869639,1,0,0,1.0533,rock_grid_rect_2,8,02,-1,-1,1.053,0.331571579,-0.410069625,1,0,0,3.0551,Pumice_rect,8,3.055,1,8,0,8,0,1,,,,,,,,,,,,,,,,,,,,
65c10d42d5c2debb4d480be6,TCN,2024-06-11_12h55.10.941,LearnStrategy,2023.2.3,Linux x86_64,20.01881769,1,1,10,0.03546826,-0.018991113,1,0,0,0.8885,rock_grid_rect_2,2,01,-1,-1,0.888,-0.34072566,-0.24323082,1,0,0,4.3927,Andesite_rect,1,4.393,0,9,0,9,0,1,,,,,,,,,,,,,,,,,,,,
65c10d42d5c2debb4d480be6,TCN,2024-06-11_12h55.10.941,LearnStrategy,2023.2.3,Linux x86_64,20.01881769,1,1,11,0.095611811,0.011351307,1,0,0,1.421,rock_grid_rect_2,4,12,-1,-1,1.421,-0.069259405,-0.246363719,1,0,0,2.2687,Basalt_rect,2,2.269,0,10,0,10,0,1,,,,,,,,,,,,,,,,,,,,
65c10d42d5c2debb4d480be6,TCN,2024-06-11_12h55.10.941,LearnStrategy,2023.2.3,Linux x86_64,20.01881769,1,1,12,-0.003013611,-0.021249135,1,0,0,1.4525,rock_grid_rect_2,3,12,-1,-1,1.453,-0.381950339,-0.235314369,1,0,0,4.7842,Andesite_rect,1,4.784,0,11,0,11,0,1,,,,,,,,,,,,,,,,,,,,
65c10d42d5c2debb4d480be6,TCN,2024-06-11_12h55.10.941,LearnStrategy,2023.2.3,Linux x86_64,20.01881769,1,1,13,0.117411375,0.004223545,1,0,0,1.4013,rock_grid_rect_2,6,13,-1,-1,1.401,0.215786457,-0.38609314,1,0,0,1.809,Peridotite_rect,7,1.809,0,12,0,12,0,1,,,,,,,,,,,,,,,,,,,,
65c10d42d5c2debb4d480be6,TCN,2024-06-11_12h55.10.941,LearnStrategy,2023.2.3,Linux x86_64,20.01881769,1,1,14,-0.090138038,0.005263448,1,0,0,1.4048,rock_grid_rect_2,8,15,-1,-1,1.405,-0.078461568,-0.233255227,1,0,0,0.7915,Basalt_rect,2,0.791,0,13,0,13,0,1,,,,,,,,,,,,,,,,,,,,
65c10d42d5c2debb4d480be6,TCN,2024-06-11_12h55.10.941,LearnStrategy,2023.2.3,Linux x86_64,20.01881769,1,1,15,-0.036527713,-0.012387753,1,0,0,1.9444,rock_grid_rect_2,7,06,-1,-1,1.944,0.192322731,-0.243379116,1,0,0,1.5214,Diorite_rect,3,1.521,0,14,0,14,0,1,,,,,,,,,,,,,,,,,,,,
65c10d42d5c2debb4d480be6,TCN,2024-06-11_12h55.10.941,LearnStrategy,2023.2.3,Linux x86_64,20.01881769,1,1,16,0.072162231,-0.013158083,1,0,0,1.667,rock_grid_rect_2,4,01,-1,-1,1.667,-0.09404405,-0.248124679,1,0,0,1.4945,Basalt_rect,2,1.494,0,15,0,15,0,1,,,,,,,,,,,,,,,,,,,,
65c10d42d5c2debb4d480be6,TCN,2024-06-11_12h55.10.941,LearnStrategy,2023.2.3,Linux x86_64,20.01881769,1,2,1,,,,,,,,2,08,,,,,,,,,,,2,18.181,1,,,,,,-0.099303643,-0.256474495,1,0,0,18.181,Basalt_rect,0,0,0,0,1,,,,,,,,
65c10d42d5c2debb4d480be6,TCN,2024-06-11_12h55.10.941,LearnStrategy,2023.2.3,Linux x86_64,20.01881769,1,2,2,,,,,,,,3,11,,,,,,,,,,,3,22.898,1,,,,,,0.184916099,-0.246066014,1,0,0,22.8979,Diorite_rect,1,0,1,0,1,,,,,,,,
65c10d42d5c2debb4d480be6,TCN,2024-06-11_12h55.10.941,LearnStrategy,2023.2.3,Linux x86_64,20.01881769,1,2,3,,,,,,,,3,15,,,,,,,,,,,3,9.699,1,,,,,,0.163829962,-0.251324256,1,0,0,9.6986,Diorite_rect,2,0,2,0,1,,,,,,,,
65c10d42d5c2debb4d480be6,TCN,2024-06-11_12h55.10.941,LearnStrategy,2023.2.3,Linux x86_64,20.01881769,1,2,4,,,,,,,,4,05,,,,,,,,,,,1,24.434,0,,,,,,-0.418182214,-0.235723813,1,0,0,24.4336,Andesite_rect,3,0,3,0,1,,,,,,,,
65c10d42d5c2debb4d480be6,TCN,2024-06-11_12h55.10.941,LearnStrategy,2023.2.3,Linux x86_64,20.01881769,1,2,5,,,,,,,,6,05,,,,,,,,,,,6,22.847,1,,,,,,-0.144655466,-0.413533847,1,0,0,22.8467,Pegmatite_rect,4,0,4,0,1,,,,,,,,
65c10d42d5c2debb4d480be6,TCN,2024-06-11_12h55.10.941,LearnStrategy,2023.2.3,Linux x86_64,20.01881769,1,2,6,,,,,,,,7,02,,,,,,,,,,,7,4.082,1,,,,,,0.153307994,-0.408296188,1,0,0,4.0823,Peridotite_rect,5,0,5,0,1,,,,,,,,
65c10d42d5c2debb4d480be6,TCN,2024-06-11_12h55.10.941,LearnStrategy,2023.2.3,Linux x86_64,20.01881769,1,2,7,,,,,,,,1,14,,,,,,,,,,,4,9.431,0,,,,,,0.401564519,-0.249898275,1,0,0,9.4313,Gabbro_rect,6,0,6,0,1,,,,,,,,
65c10d42d5c2debb4d480be6,TCN,2024-06-11_12h55.10.941,LearnStrategy,2023.2.3,Linux x86_64,20.01881769,1,2,8,,,,,,,,7,07,,,,,,,,,,,1,20.138,0,,,,,,-0.395522952,-0.242408435,1,0,0,20.1378,Andesite_rect,7,0,7,0,1,,,,,,,,
65c10d42d5c2debb4d480be6,TCN,2024-06-11_12h55.10.941,LearnStrategy,2023.2.3,Linux x86_64,20.01881769,1,2,9,,,,,,,,6,10,,,,,,,,,,,6,40.455,1,,,,,,-0.106918653,-0.394947688,1,0,0,40.4549,Pegmatite_rect,8,0,8,0,1,,,,,,,,
65c10d42d5c2debb4d480be6,TCN,2024-06-11_12h55.10.941,LearnStrategy,2023.2.3,Linux x86_64,20.01881769,1,2,10,,,,,,,,8,04,,,,,,,,,,,8,4.54,1,,,,,,0.37265412,-0.401898702,1,0,0,4.5397,Pumice_rect,9,0,9,0,1,,,,,,,,
65c10d42d5c2debb4d480be6,TCN,2024-06-11_12h55.10.941,LearnStrategy,2023.2.3,Linux x86_64,20.01881769,1,2,11,,,,,,,,8,08,,,,,,,,,,,8,2.492,1,,,,,,0.420748075,-0.384913445,1,0,0,2.4923,Pumice_rect,10,0,10,0,1,,,,,,,,
65c10d42d5c2debb4d480be6,TCN,2024-06-11_12h55.10.941,LearnStrategy,2023.2.3,Linux x86_64,20.01881769,1,2,12,,,,,,,,5,16,,,,,,,,,,,5,3.026,1,,,,,,-0.371077458,-0.413614829,1,0,0,3.0262,Obsidian_rect,11,0,11,0,1,,,,,,,,
