participant,condition,date,expName,psychopyVersion,OS,frameRate,block,phase,trial,learn_mouse.x,learn_mouse.y,learn_mouse.leftButton,learn_mouse.midButton,learn_mouse.rightButton,learn_mouse.time,learn_mouse.clicked_name,cat,token,row,col,t_select,cat_rec,token_rec,cat_mouse_l.x,cat_mouse_l.y,cat_mouse_l.leftButton,cat_mouse_l.midButton,cat_mouse_l.rightButton,cat_mouse_l.time,cat_mouse_l.clicked_name,resp,t_resp,corr,train_trials.thisRepN,train_trials.thisTrialN,train_trials.thisN,train_trials.thisIndex,train_trials.ran,cat_mouse_t.x,cat_mouse_t.y,cat_mouse_t.leftButton,cat_mouse_t.midButton,cat_mouse_t.rightButton,cat_mouse_t.time,cat_mouse_t.clicked_name,test_trials.thisRepN,test_trials.thisTrialN,test_trials.thisN,test_trials.thisIndex,test_trials.ran,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,blocks.order,test_trials.order
663c900282e0f14225eae01e,SCR,2024-06-24_16h37.13.200,LearnStrategy,2023.2.3,Win32,59.88023952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
663c900282e0f14225eae01e,SCR,2024-06-24_16h37.13.200,LearnStrategy,2023.2.3,Win32,59.88023952,1,1,1,0.26875,-0.101388889,1,0,0,5.4708,Pumice_05,8,05,3,6,5.471,7,15,0.160416667,-0.269444444,1,0,0,6.0363,Diorite_rect,3,6.036,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,
663c900282e0f14225eae01e,SCR,2024-06-24_16h37.13.200,LearnStrategy,2023.2.3,Win32,59.88023952,1,1,2,-0.246527778,0.254166667,1,0,0,2.4056,Basalt_09,2,09,5,3,2.406,2,09,0.170138889,-0.247222222,1,0,0,2.941,Diorite_rect,3,2.941,0,1,0,1,0,1,,,,,,,,,,,,,,,,,,,
663c900282e0f14225eae01e,SCR,2024-06-24_16h37.13.200,LearnStrategy,2023.2.3,Win32,59.88023952,1,1,3,0.272222222,-0.114583333,1,0,0,2.1177,Pumice_05,8,05,3,6,2.118,1,14,0.459722222,-0.241666667,1,0,0,1.9923,Gabbro_rect,4,1.992,0,2,0,2,0,1,,,,,,,,,,,,,,,,,,,
663c900282e0f14225eae01e,SCR,2024-06-24_16h37.13.200,LearnStrategy,2023.2.3,Win32,59.88023952,1,1,4,0.074305556,-0.380555556,1,0,0,1.6923,Peridotite_08,7,08,1,5,1.692,3,11,-0.086805556,-0.409027778,1,0,0,3.1287,Pegmatite_rect,6,3.129,0,3,0,3,0,1,,,,,,,,,,,,,,,,,,,
663c900282e0f14225eae01e,SCR,2024-06-24_16h37.13.200,LearnStrategy,2023.2.3,Win32,59.88023952,1,1,5,-0.534027778,0.117361111,1,0,0,59.4443,Peridotite_13,7,13,4,1,59.444,3,13,0.101388889,-0.385416667,1,0,0,1.9138,Peridotite_rect,7,1.914,1,4,0,4,0,1,,,,,,,,,,,,,,,,,,,
663c900282e0f14225eae01e,SCR,2024-06-24_16h37.13.200,LearnStrategy,2023.2.3,Win32,59.88023952,1,1,6,-0.398611111,0.073611111,1,0,0,0.9763,Pegmatite_13,6,13,4,2,0.976,8,05,0.120138889,-0.246527778,1,0,0,3.1992,Diorite_rect,3,3.199,0,5,0,5,0,1,,,,,,,,,,,,,,,,,,,
663c900282e0f14225eae01e,SCR,2024-06-24_16h37.13.200,LearnStrategy,2023.2.3,Win32,59.88023952,1,1,7,-0.240277778,0.089583333,1,0,0,1.6508,Diorite_10,3,10,4,3,1.651,5,04,0.338888889,-0.240972222,1,0,0,2.3112,Gabbro_rect,4,2.311,0,6,0,6,0,1,,,,,,,,,,,,,,,,,,,
663c900282e0f14225eae01e,SCR,2024-06-24_16h37.13.200,LearnStrategy,2023.2.3,Win32,59.88023952,1,1,8,-0.225694444,0.068055556,1,0,0,2.7734,Diorite_10,3,10,4,3,2.773,7,08,0.174305556,-0.265972222,1,0,0,1.963,Diorite_rect,3,1.963,1,7,0,7,0,1,,,,,,,,,,,,,,,,,,,
663c900282e0f14225eae01e,SCR,2024-06-24_16h37.13.200,LearnStrategy,2023.2.3,Win32,59.88023952,1,1,9,-0.414583333,0.081944444,1,0,0,1.8414,Pegmatite_13,6,13,4,2,1.841,2,08,-0.111805556,-0.413888889,1,0,0,5.2643,Pegmatite_rect,6,5.264,1,8,0,8,0,1,,,,,,,,,,,,,,,,,,,
