participant,condition,date,expName,psychopyVersion,OS,frameRate,block,phase,trial,learn_mouse.x,learn_mouse.y,learn_mouse.leftButton,learn_mouse.midButton,learn_mouse.rightButton,learn_mouse.time,learn_mouse.clicked_name,cat,token,row,col,t_select,cat_rec,token_rec,cat_mouse_l.x,cat_mouse_l.y,cat_mouse_l.leftButton,cat_mouse_l.midButton,cat_mouse_l.rightButton,cat_mouse_l.time,cat_mouse_l.clicked_name,resp,t_resp,corr,train_trials.thisRepN,train_trials.thisTrialN,train_trials.thisN,train_trials.thisIndex,train_trials.ran,cat_mouse_t.x,cat_mouse_t.y,cat_mouse_t.leftButton,cat_mouse_t.midButton,cat_mouse_t.rightButton,cat_mouse_t.time,cat_mouse_t.clicked_name,test_trials.thisRepN,test_trials.thisTrialN,test_trials.thisN,test_trials.thisIndex,test_trials.ran,Bonus,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,blocks.order,train_trials.order
5ecbfc627a51250bfb1f297f,SCR,2024-06-11_16h39.08.325,LearnStrategy,2023.2.3,Win32,60.60606061,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5ecbfc627a51250bfb1f297f,SCR,2024-06-11_16h39.08.325,LearnStrategy,2023.2.3,Win32,60.60606061,1,1,1,0.398287048,-0.106481514,1,0,0,5.4275,Pumice_10,8,10,3,7,5.428,8,10,-0.348935165,-0.235185242,1,0,0,5.0457,Andesite_rect,1,5.046,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,
5ecbfc627a51250bfb1f297f,SCR,2024-06-11_16h39.08.325,LearnStrategy,2023.2.3,Win32,60.60606061,1,1,2,0.074213028,0.430555553,1,0,0,1.5005,Peridotite_13,7,13,6,5,1.5,7,13,0.417731476,-0.245370407,1,0,0,2.9163,Gabbro_rect,4,2.916,0,1,0,1,0,1,,,,,,,,,,,,,,,,,,,,
5ecbfc627a51250bfb1f297f,SCR,2024-06-11_16h39.08.325,LearnStrategy,2023.2.3,Win32,60.60606061,1,1,3,0.085324097,-0.273148193,1,0,0,1.2439,Pumice_03,8,03,2,5,1.244,8,03,-0.073009186,-0.387963028,1,0,0,2.3945,Pegmatite_rect,6,2.394,0,2,0,2,0,1,,,,,,,,,,,,,,,,,,,,
5ecbfc627a51250bfb1f297f,SCR,2024-06-11_16h39.08.325,LearnStrategy,2023.2.3,Win32,60.60606061,1,1,4,-0.108194427,-0.094444466,1,0,0,1.487,Gabbro_10,4,10,3,4,1.487,4,10,-0.398935165,-0.406481552,1,0,0,1.7584,Obsidian_rect,5,1.758,0,3,0,3,0,1,,,,,,,,,,,,,,,,,,,,
5ecbfc627a51250bfb1f297f,SCR,2024-06-11_16h39.08.325,LearnStrategy,2023.2.3,Win32,60.60606061,1,1,5,0.421435242,-0.409259338,1,0,0,2.0864,Obsidian_09,5,09,1,7,2.086,5,09,-0.140601807,-0.388888931,1,0,0,2.9874,Pegmatite_rect,6,2.987,0,4,0,4,0,1,,,,,,,,,,,,,,,,,,,,
5ecbfc627a51250bfb1f297f,SCR,2024-06-11_16h39.08.325,LearnStrategy,2023.2.3,Win32,60.60606061,1,1,6,-0.076712952,-0.291666718,1,0,0,1.1116,Pegmatite_05,6,05,2,4,1.112,6,05,0.13347229,-0.244444504,1,0,0,1.3691,Diorite_rect,3,1.369,0,5,0,5,0,1,,,,,,,,,,,,,,,,,,,,
5ecbfc627a51250bfb1f297f,SCR,2024-06-11_16h39.08.325,LearnStrategy,2023.2.3,Win32,60.60606061,1,1,7,0.56125,-0.058333359,1,0,0,1.1197,Basalt_11,2,11,3,8,1.12,2,11,0.155694504,-0.39722229,1,0,0,2.2554,Peridotite_rect,7,2.255,0,6,0,6,0,1,,,,,,,,,,,,,,,,,,,,
5ecbfc627a51250bfb1f297f,SCR,2024-06-11_16h39.08.325,LearnStrategy,2023.2.3,Win32,60.60606061,1,1,8,-0.077638855,0.449074073,1,0,0,1.5941,Andesite_14,1,14,6,4,1.594,1,14,-0.401712952,-0.40092598,1,0,0,1.3246,Obsidian_rect,5,1.325,0,7,0,7,0,1,,,,,,,,,,,,,,,,,,,,
5ecbfc627a51250bfb1f297f,SCR,2024-06-11_16h39.08.325,LearnStrategy,2023.2.3,Win32,60.60606061,1,1,9,0.101064835,0.263888874,1,0,0,0.8576,Pegmatite_15,6,15,5,5,0.858,6,15,-0.067453613,-0.40092598,1,0,0,1.963,Pegmatite_rect,6,1.963,1,8,0,8,0,1,,,,,,,,,,,,,,,,,,,,
