participant,condition,date,expName,psychopyVersion,OS,frameRate,block,phase,trial,learn_mouse_2.x,learn_mouse_2.y,learn_mouse_2.leftButton,learn_mouse_2.midButton,learn_mouse_2.rightButton,learn_mouse_2.time,learn_mouse_2.clicked_name,cat,token,row,col,t_select,cat_mouse_l.x,cat_mouse_l.y,cat_mouse_l.leftButton,cat_mouse_l.midButton,cat_mouse_l.rightButton,cat_mouse_l.time,cat_mouse_l.clicked_name,resp,t_resp,corr,train_trials.thisRepN,train_trials.thisTrialN,train_trials.thisN,train_trials.thisIndex,train_trials.ran,cat_mouse_t.x,cat_mouse_t.y,cat_mouse_t.leftButton,cat_mouse_t.midButton,cat_mouse_t.rightButton,cat_mouse_t.time,cat_mouse_t.clicked_name,test_trials.thisRepN,test_trials.thisTrialN,test_trials.thisN,test_trials.thisIndex,test_trials.ran,Bonus,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,blocks.order,train_trials.order
664757043cb597943f321d65,TCN,2024-06-11_13h17.39.125,LearnStrategy,2023.2.3,Win32,144.9275362,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
664757043cb597943f321d65,TCN,2024-06-11_13h17.39.125,LearnStrategy,2023.2.3,Win32,144.9275362,1,1,1,-0.043518519,-0.006481481,1,0,0,1.81,rock_grid_rect_2,5,02,-1,-1,1.81,-0.349074074,-0.398148148,1,0,0,4.7043,Obsidian_rect,5,4.704,1,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,
664757043cb597943f321d65,TCN,2024-06-11_13h17.39.125,LearnStrategy,2023.2.3,Win32,144.9275362,1,1,2,-0.003703704,-0.016666667,1,0,0,0.8122,rock_grid_rect_2,2,08,-1,-1,0.812,-0.12037037,-0.262962963,1,0,0,10.8917,Basalt_rect,2,10.892,1,1,0,1,0,1,,,,,,,,,,,,,,,,,,,,
664757043cb597943f321d65,TCN,2024-06-11_13h17.39.125,LearnStrategy,2023.2.3,Win32,144.9275362,1,1,3,0.00462963,-0.011111111,1,0,0,1.0068,rock_grid_rect_2,5,08,-1,-1,1.007,-0.375,-0.387962963,1,0,0,5.3921,Obsidian_rect,5,5.392,1,2,0,2,0,1,,,,,,,,,,,,,,,,,,,,
664757043cb597943f321d65,TCN,2024-06-11_13h17.39.125,LearnStrategy,2023.2.3,Win32,144.9275362,1,1,4,-0.012037037,-0.010185185,1,0,0,1.3268,rock_grid_rect_2,2,11,-1,-1,1.327,-0.046296296,-0.259259259,1,0,0,6.3655,Basalt_rect,2,6.366,1,3,0,3,0,1,,,,,,,,,,,,,,,,,,,,
664757043cb597943f321d65,TCN,2024-06-11_13h17.39.125,LearnStrategy,2023.2.3,Win32,144.9275362,1,1,5,0.027777778,-0.00462963,1,0,0,0.7567,rock_grid_rect_2,7,08,-1,-1,0.757,-0.353703704,-0.262962963,1,0,0,9.9242,Andesite_rect,1,9.924,0,4,0,4,0,1,,,,,,,,,,,,,,,,,,,,
664757043cb597943f321d65,TCN,2024-06-11_13h17.39.125,LearnStrategy,2023.2.3,Win32,144.9275362,1,1,6,-0.078703704,-0.009259259,1,0,0,0.7357,rock_grid_rect_2,8,02,-1,-1,0.736,0.344444444,-0.380555556,1,0,0,1.645,Pumice_rect,8,1.645,1,5,0,5,0,1,,,,,,,,,,,,,,,,,,,,
664757043cb597943f321d65,TCN,2024-06-11_13h17.39.125,LearnStrategy,2023.2.3,Win32,144.9275362,1,1,7,-0.005555556,0.00462963,1,0,0,1.0209,rock_grid_rect_2,4,15,-1,-1,1.021,0.149074074,-0.240740741,1,0,0,10.807,Diorite_rect,3,10.807,0,6,0,6,0,1,,,,,,,,,,,,,,,,,,,,
664757043cb597943f321d65,TCN,2024-06-11_13h17.39.125,LearnStrategy,2023.2.3,Win32,144.9275362,1,1,8,0.025,-0.007407407,1,0,0,0.6316,rock_grid_rect_2,8,06,-1,-1,0.632,0.321296296,-0.387037037,1,0,0,1.8351,Pumice_rect,8,1.835,1,7,0,7,0,1,,,,,,,,,,,,,,,,,,,,
664757043cb597943f321d65,TCN,2024-06-11_13h17.39.125,LearnStrategy,2023.2.3,Win32,144.9275362,1,1,9,-0.011111111,-0.012037037,1,0,0,0.7703,rock_grid_rect_2,6,07,-1,-1,0.77,-0.365740741,-0.410185185,1,0,0,1.9461,Obsidian_rect,5,1.946,0,8,0,8,0,1,,,,,,,,,,,,,,,,,,,,
