participant,condition,date,expName,psychopyVersion,OS,frameRate,block,phase,trial,learn_mouse.x,learn_mouse.y,learn_mouse.leftButton,learn_mouse.midButton,learn_mouse.rightButton,learn_mouse.time,learn_mouse.clicked_name,cat,token,row,col,t_select,cat_rec,token_rec,cat_mouse_l.x,cat_mouse_l.y,cat_mouse_l.leftButton,cat_mouse_l.midButton,cat_mouse_l.rightButton,cat_mouse_l.time,cat_mouse_l.clicked_name,resp,t_resp,corr,train_trials.thisRepN,train_trials.thisTrialN,train_trials.thisN,train_trials.thisIndex,train_trials.ran,cat_mouse_t.x,cat_mouse_t.y,cat_mouse_t.leftButton,cat_mouse_t.midButton,cat_mouse_t.rightButton,cat_mouse_t.time,cat_mouse_t.clicked_name,test_trials.thisRepN,test_trials.thisTrialN,test_trials.thisN,test_trials.thisIndex,test_trials.ran,Bonus,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,blocks.order,train_trials.order,SC_cond_filter.thisRepN,SC_cond_filter.thisTrialN,SC_cond_filter.thisN,SC_cond_filter.thisIndex,SC_cond_filter.ran,SC_cond_filter.order
63d141f0a7b0e7ea9526e89d,SCR,2024-06-24_14h47.44.734,LearnStrategy,2023.2.3,Win32,60.24096386,1,2,11,,,,,,,,7,06,,,,,,,,,,,,,6,7.108,0,,,,,,-0.165555556,-0.381111111,1,0,0,7.1078,Pegmatite_rect,10,0,10,0,1,,,,,,,,,,,,,,
63d141f0a7b0e7ea9526e89d,SCR,2024-06-24_14h47.44.734,LearnStrategy,2023.2.3,Win32,60.24096386,1,2,12,,,,,,,,2,14,,,,,,,,,,,,,8,2.209,0,,,,,,0.463333333,-0.417777778,1,0,0,2.2093,Pumice_rect,11,0,11,0,1,,,,,,,,,,,,,,
63d141f0a7b0e7ea9526e89d,SCR,2024-06-24_14h47.44.734,LearnStrategy,2023.2.3,Win32,60.24096386,1,2,13,,,,,,,,1,11,,,,,,,,,,,,,1,18.882,1,,,,,,-0.366666667,-0.263333333,1,0,0,18.8824,Andesite_rect,12,0,12,0,1,,,,,,,,,,,,,,
63d141f0a7b0e7ea9526e89d,SCR,2024-06-24_14h47.44.734,LearnStrategy,2023.2.3,Win32,60.24096386,1,2,14,,,,,,,,2,09,,,,,,,,,,,,,2,14.461,1,,,,,,-0.173333333,-0.271111111,1,0,0,14.4606,Basalt_rect,13,0,13,0,1,,,,,,,,,,,,,,
63d141f0a7b0e7ea9526e89d,SCR,2024-06-24_14h47.44.734,LearnStrategy,2023.2.3,Win32,60.24096386,1,2,15,,,,,,,,4,16,,,,,,,,,,,,,5,3.593,0,,,,,,-0.316666667,-0.383333333,1,0,0,3.5928,Obsidian_rect,14,0,14,0,1,,,,,,,,,,,,,,
63d141f0a7b0e7ea9526e89d,SCR,2024-06-24_14h47.44.734,LearnStrategy,2023.2.3,Win32,60.24096386,1,2,16,,,,,,,,5,16,,,,,,,,,,,,,5,0.792,1,,,,,,-0.313333333,-0.381111111,1,0,0,0.7922,Obsidian_rect,15,0,15,0,1,,,,,,,,,,,,,,
63d141f0a7b0e7ea9526e89d,SCR,2024-06-24_14h47.44.734,LearnStrategy,2023.2.3,Win32,60.24096386,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,,,,,,,,,,,,,,1,0,1,0,1,8,15,0,0,0,0,1,0
63d141f0a7b0e7ea9526e89d,SCR,2024-06-24_14h47.44.734,LearnStrategy,2023.2.3,Win32,60.24096386,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,,,,,,,,,,,,,,1,0,1,0,1,8,15,0,0,0,0,1,0
63d141f0a7b0e7ea9526e89d,SCR,2024-06-24_14h47.44.734,LearnStrategy,2023.2.3,Win32,60.24096386,,,,,,,,,,,8,15,1,1,,,,,,,,,,,,,,0,0,0,0,1,,,,,,,,,,,,,,1,0,1,0,1,8,15,0,0,0,0,1,0
63d141f0a7b0e7ea9526e89d,SCR,2024-06-24_14h47.44.734,LearnStrategy,2023.2.3,Win32,60.24096386,,,,,,,,,,,7,08,1,2,,,,,,,,,,,,,,0,0,0,0,1,,,,,,,,,,,,,,1,0,1,0,1,8,15,0,0,0,0,1,0
63d141f0a7b0e7ea9526e89d,SCR,2024-06-24_14h47.44.734,LearnStrategy,2023.2.3,Win32,60.24096386,,,,,,,,,,,4,01,1,3,,,,,,,,,,,,,,0,0,0,0,1,,,,,,,,,,,,,,1,0,1,0,1,8,15,0,0,0,0,1,0
