participant,condition,date,expName,psychopyVersion,OS,frameRate,block,phase,trial,learn_mouse_2.x,learn_mouse_2.y,learn_mouse_2.leftButton,learn_mouse_2.midButton,learn_mouse_2.rightButton,learn_mouse_2.time,learn_mouse_2.clicked_name,cat,token,row,col,t_select,cat_mouse_l.x,cat_mouse_l.y,cat_mouse_l.leftButton,cat_mouse_l.midButton,cat_mouse_l.rightButton,cat_mouse_l.time,cat_mouse_l.clicked_name,resp,t_resp,corr,train_trials.thisRepN,train_trials.thisTrialN,train_trials.thisN,train_trials.thisIndex,train_trials.ran,cat_mouse_t.x,cat_mouse_t.y,cat_mouse_t.leftButton,cat_mouse_t.midButton,cat_mouse_t.rightButton,cat_mouse_t.time,cat_mouse_t.clicked_name,test_trials.thisRepN,test_trials.thisTrialN,test_trials.thisN,test_trials.thisIndex,test_trials.ran,Bonus,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,blocks.order,test_trials.order
5f4153c1ec3a660ca3fc96ac,TCR,2024-06-24_14h47.17.381,LearnStrategy,2023.2.3,Win32,238.0952381,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5f4153c1ec3a660ca3fc96ac,TCR,2024-06-24_14h47.17.381,LearnStrategy,2023.2.3,Win32,238.0952381,1,1,1,-0.037037037,-0.008333333,1,0,0,3.245,rock_grid_rect_2,2,05,-1,-1,3.245,-0.383333333,-0.263888889,1,0,0,5.3055,Andesite_rect,1,5.305,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,
5f4153c1ec3a660ca3fc96ac,TCR,2024-06-24_14h47.17.381,LearnStrategy,2023.2.3,Win32,238.0952381,1,1,2,-0.032407407,0,1,0,0,1.1654,rock_grid_rect_2,6,15,-1,-1,1.165,0.137962963,-0.412037037,1,0,0,8.3437,Peridotite_rect,7,8.344,0,1,0,1,0,1,,,,,,,,,,,,,,,,,,,,
5f4153c1ec3a660ca3fc96ac,TCR,2024-06-24_14h47.17.381,LearnStrategy,2023.2.3,Win32,238.0952381,1,1,3,0.026851852,0.011111111,1,0,0,0.9778,rock_grid_rect_2,3,12,-1,-1,0.978,0.353703704,-0.383333333,1,0,0,1.7281,Pumice_rect,8,1.728,0,2,0,2,0,1,,,,,,,,,,,,,,,,,,,,
5f4153c1ec3a660ca3fc96ac,TCR,2024-06-24_14h47.17.381,LearnStrategy,2023.2.3,Win32,238.0952381,1,1,4,-0.052777778,-0.009259259,1,0,0,1.1314,rock_grid_rect_2,4,14,-1,-1,1.131,-0.383333333,-0.403703704,1,0,0,2.7914,Obsidian_rect,5,2.791,0,3,0,3,0,1,,,,,,,,,,,,,,,,,,,,
5f4153c1ec3a660ca3fc96ac,TCR,2024-06-24_14h47.17.381,LearnStrategy,2023.2.3,Win32,238.0952381,1,1,5,0.013888889,0.000925926,1,0,0,1.0064,rock_grid_rect_2,2,06,-1,-1,1.006,-0.146296296,-0.247222222,1,0,0,4.3471,Basalt_rect,2,4.347,1,4,0,4,0,1,,,,,,,,,,,,,,,,,,,,
5f4153c1ec3a660ca3fc96ac,TCR,2024-06-24_14h47.17.381,LearnStrategy,2023.2.3,Win32,238.0952381,1,1,6,-0.110185185,-0.024074074,1,0,0,1.02,rock_grid_rect_2,8,13,-1,-1,1.02,0.371296296,-0.397222222,1,0,0,2.1979,Pumice_rect,8,2.198,1,5,0,5,0,1,,,,,,,,,,,,,,,,,,,,
5f4153c1ec3a660ca3fc96ac,TCR,2024-06-24_14h47.17.381,LearnStrategy,2023.2.3,Win32,238.0952381,1,1,7,0.039814815,-0.017592593,1,0,0,11.3585,rock_grid_rect_2,6,16,-1,-1,11.359,0.162037037,-0.252777778,1,0,0,46.6833,Diorite_rect,3,46.683,0,6,0,6,0,1,,,,,,,,,,,,,,,,,,,,
5f4153c1ec3a660ca3fc96ac,TCR,2024-06-24_14h47.17.381,LearnStrategy,2023.2.3,Win32,238.0952381,1,1,8,-0.010185185,0.010185185,1,0,0,1.0807,rock_grid_rect_2,1,05,-1,-1,1.081,0.105555556,-0.261111111,1,0,0,2.1375,Diorite_rect,3,2.137,0,7,0,7,0,1,,,,,,,,,,,,,,,,,,,,
5f4153c1ec3a660ca3fc96ac,TCR,2024-06-24_14h47.17.381,LearnStrategy,2023.2.3,Win32,238.0952381,1,1,9,-0.048148148,-0.009259259,1,0,0,1.0139,rock_grid_rect_2,5,05,-1,-1,1.014,-0.349074074,-0.401851852,1,0,0,4.7001,Obsidian_rect,5,4.7,1,8,0,8,0,1,,,,,,,,,,,,,,,,,,,,
