participant,condition,date,expName,psychopyVersion,OS,frameRate,block,phase,trial,learn_mouse.x,learn_mouse.y,learn_mouse.leftButton,learn_mouse.midButton,learn_mouse.rightButton,learn_mouse.time,learn_mouse.clicked_name,cat,token,row,col,t_select,cat_mouse_l.x,cat_mouse_l.y,cat_mouse_l.leftButton,cat_mouse_l.midButton,cat_mouse_l.rightButton,cat_mouse_l.time,cat_mouse_l.clicked_name,resp,t_resp,corr,train_trials.thisRepN,train_trials.thisTrialN,train_trials.thisN,train_trials.thisIndex,train_trials.ran,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,blocks.order,test_trials.thisRepN,test_trials.thisTrialN,test_trials.thisN,test_trials.thisIndex,test_trials.ran,test_trials.order
64601d5bf3f4d849a794097c,SCN,2024-06-25_10h13.29.448,LearnStrategy,2023.2.3,Win32,59.88023952,1,1,10,-0.050000014,-0.418518561,1,0,0,2.2627,Obsidian_16,5,16,1,4,2.263,-0.373148141,-0.39907406,1,0,0,17.4198,Obsidian_rect,5,17.42,1,9,0,9,0,1,,,,,,,,,,,,
64601d5bf3f4d849a794097c,SCN,2024-06-25_10h13.29.448,LearnStrategy,2023.2.3,Win32,59.88023952,1,1,11,-0.065740727,-0.112037023,1,0,0,1.343,Pumice_02,8,02,3,4,1.343,0.406481566,-0.386111153,1,0,0,21.9267,Pumice_rect,8,21.927,1,10,0,10,0,1,,,,,,,,,,,,
64601d5bf3f4d849a794097c,SCN,2024-06-25_10h13.29.448,LearnStrategy,2023.2.3,Win32,59.88023952,1,1,12,0.340740769,-0.130555541,1,0,0,324.394,Obsidian_09,5,09,3,7,324.394,-0.351851852,-0.389814801,1,0,0,1.8558,Obsidian_rect,5,1.856,1,11,0,11,0,1,,,,,,,,,,,,
64601d5bf3f4d849a794097c,SCN,2024-06-25_10h13.29.448,LearnStrategy,2023.2.3,Win32,59.88023952,1,1,13,-0.053703661,-0.408333319,0,0,1,3.4639,Obsidian_16,5,16,1,4,3.464,0.426851908,-0.415740755,1,0,0,1.6293,Pumice_rect,8,1.629,0,12,0,12,0,1,,,,,,,,,,,,
64601d5bf3f4d849a794097c,SCN,2024-06-25_10h13.29.448,LearnStrategy,2023.2.3,Win32,59.88023952,1,1,14,-0.374074053,-0.27870369,1,0,0,3.2061,Obsidian_10,5,10,2,2,3.206,-0.343518504,-0.244444459,1,0,0,1.4516,Andesite_rect,1,1.452,0,13,0,13,0,1,,,,,,,,,,,,
64601d5bf3f4d849a794097c,SCN,2024-06-25_10h13.29.448,LearnStrategy,2023.2.3,Win32,59.88023952,1,1,15,0.073148162,0.240740741,0,0,1,4.6879,Obsidian_07,5,07,5,5,4.688,-0.355555534,-0.418518561,1,0,0,0.958,Obsidian_rect,5,0.958,1,14,0,14,0,1,,,,,,,,,,,,
64601d5bf3f4d849a794097c,SCN,2024-06-25_10h13.29.448,LearnStrategy,2023.2.3,Win32,59.88023952,1,1,16,0.37962963,-0.429629644,0,0,1,7.1977,Obsidian_02,5,02,1,7,7.198,-0.328703704,-0.384259259,1,0,0,3.1351,Obsidian_rect,5,3.135,1,15,0,15,0,1,,,,,,,,,,,,
64601d5bf3f4d849a794097c,SCN,2024-06-25_10h13.29.448,LearnStrategy,2023.2.3,Win32,59.88023952,1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,8,0,0,0,0,1,15
64601d5bf3f4d849a794097c,SCN,2024-06-25_10h13.29.448,LearnStrategy,2023.2.3,Win32,59.88023952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,8,0,0,0,0,1,15
64601d5bf3f4d849a794097c,SCN,2024-06-25_10h13.29.448,LearnStrategy,2023.2.3,Win32,59.88023952,,,,,,,,,,,3,08,1,1,,,,,,,,,,,,,,,,,0,0,0,0,1,8,0,0,0,0,1,15
