participant,condition,date,expName,psychopyVersion,OS,frameRate,block,phase,trial,learn_mouse.x,learn_mouse.y,learn_mouse.leftButton,learn_mouse.midButton,learn_mouse.rightButton,learn_mouse.time,learn_mouse.clicked_name,cat,token,row,col,t_select,cat_mouse_l.x,cat_mouse_l.y,cat_mouse_l.leftButton,cat_mouse_l.midButton,cat_mouse_l.rightButton,cat_mouse_l.time,cat_mouse_l.clicked_name,resp,t_resp,corr,train_trials.thisRepN,train_trials.thisTrialN,train_trials.thisN,train_trials.thisIndex,train_trials.ran,cat_mouse_t.x,cat_mouse_t.y,cat_mouse_t.leftButton,cat_mouse_t.midButton,cat_mouse_t.rightButton,cat_mouse_t.time,cat_mouse_t.clicked_name,test_trials.thisRepN,test_trials.thisTrialN,test_trials.thisN,test_trials.thisIndex,test_trials.ran,Bonus,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,blocks.order,train_trials.order
659ed4d20445e9c16df76aee,SCN,2024-06-24_15h01.01.347,LearnStrategy,2023.2.3,Win32,60.24096386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
659ed4d20445e9c16df76aee,SCN,2024-06-24_15h01.01.347,LearnStrategy,2023.2.3,Win32,60.24096386,1,1,1,0.091805573,-0.118518562,1,0,0,0.8913,Peridotite_04,7,04,3,5,0.891,0.141805573,-0.255555573,1,0,0,0.9857,Diorite_rect,3,0.986,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,
659ed4d20445e9c16df76aee,SCN,2024-06-24_15h01.01.347,LearnStrategy,2023.2.3,Win32,60.24096386,1,1,2,-0.073935165,0.144444427,1,0,0,1.0434,Basalt_09,2,09,4,4,1.043,-0.11652771,-0.406481552,1,0,0,0.6523,Pegmatite_rect,6,0.652,0,1,0,1,0,1,,,,,,,,,,,,,,,,,,,,
659ed4d20445e9c16df76aee,SCN,2024-06-24_15h01.01.347,LearnStrategy,2023.2.3,Win32,60.24096386,1,1,3,-0.3544907,0.098148117,1,0,0,1.0458,Pegmatite_10,6,10,4,2,1.046,-0.123009186,-0.392592545,1,0,0,0.741,Pegmatite_rect,6,0.741,1,2,0,2,0,1,,,,,,,,,,,,,,,,,,,,
659ed4d20445e9c16df76aee,SCN,2024-06-24_15h01.01.347,LearnStrategy,2023.2.3,Win32,60.24096386,1,1,4,0.3797686,0.09907402,1,0,0,1.1777,Obsidian_08,5,08,4,7,1.178,-0.359120331,-0.394444504,1,0,0,1.4935,Obsidian_rect,5,1.493,1,3,0,3,0,1,,,,,,,,,,,,,,,,,,,,
659ed4d20445e9c16df76aee,SCN,2024-06-24_15h01.01.347,LearnStrategy,2023.2.3,Win32,60.24096386,1,1,5,0.407546387,0.411111107,1,0,0,1.2411,Peridotite_13,7,13,6,7,1.241,-0.052638855,-0.403703766,1,0,0,1.2053,Pegmatite_rect,6,1.205,0,4,0,4,0,1,,,,,,,,,,,,,,,,,,,,
659ed4d20445e9c16df76aee,SCN,2024-06-24_15h01.01.347,LearnStrategy,2023.2.3,Win32,60.24096386,1,1,6,-0.076712952,0.279629612,1,0,0,0.9785,Gabbro_09,4,09,5,4,0.978,-0.377638855,-0.40092598,1,0,0,0.997,Obsidian_rect,5,0.997,0,5,0,5,0,1,,,,,,,,,,,,,,,,,,,,
659ed4d20445e9c16df76aee,SCN,2024-06-24_15h01.01.347,LearnStrategy,2023.2.3,Win32,60.24096386,1,1,7,-0.244305496,0.409259253,1,0,0,0.9114,Obsidian_06,5,06,6,3,0.911,-0.398009224,-0.401851959,1,0,0,0.9155,Obsidian_rect,5,0.916,1,6,0,6,0,1,,,,,,,,,,,,,,,,,,,,
659ed4d20445e9c16df76aee,SCN,2024-06-24_15h01.01.347,LearnStrategy,2023.2.3,Win32,60.24096386,1,1,8,0.565879517,0.125,1,0,0,1.2075,Pumice_16,8,16,4,8,1.207,0.388101807,-0.405555573,1,0,0,0.9391,Pumice_rect,8,0.939,1,7,0,7,0,1,,,,,,,,,,,,,,,,,,,,
659ed4d20445e9c16df76aee,SCN,2024-06-24_15h01.01.347,LearnStrategy,2023.2.3,Win32,60.24096386,1,1,9,0.230694504,0.107407379,1,0,0,0.8111,Pumice_10,8,10,4,6,0.811,-0.057268448,-0.412037048,1,0,0,0.686,Pegmatite_rect,6,0.686,0,8,0,8,0,1,,,,,,,,,,,,,,,,,,,,
659ed4d20445e9c16df76aee,SCN,2024-06-24_15h01.01.347,LearnStrategy,2023.2.3,Win32,60.24096386,1,1,10,0.376064911,0.090740738,1,0,0,0.8441,Obsidian_08,5,08,4,7,0.844,-0.408194427,-0.412037048,1,0,0,1.8052,Obsidian_rect,5,1.805,1,9,0,9,0,1,,,,,,,,,,,,,,,,,,,,
659ed4d20445e9c16df76aee,SCN,2024-06-24_15h01.01.347,LearnStrategy,2023.2.3,Win32,60.24096386,1,1,11,-0.424861107,0.065740738,1,0,0,0.9594,Pegmatite_10,6,10,4,2,0.959,-0.199861069,-0.389814835,1,0,0,0.8313,Pegmatite_rect,6,0.831,1,10,0,10,0,1,,,,,,,,,,,,,,,,,,,,
659ed4d20445e9c16df76aee,SCN,2024-06-24_15h01.01.347,LearnStrategy,2023.2.3,Win32,60.24096386,1,1,12,-0.064675827,0.35833333,1,0,0,1.0653,Diorite_02,3,02,6,4,1.065,-0.100786972,-0.240740814,1,0,0,0.8669,Basalt_rect,2,0.867,0,11,0,11,0,1,,,,,,,,,,,,,,,,,,,,
659ed4d20445e9c16df76aee,SCN,2024-06-24_15h01.01.347,LearnStrategy,2023.2.3,Win32,60.24096386,1,1,13,0.364027863,0.395370369,1,0,0,1.0396,Peridotite_13,7,13,6,7,1.04,-0.093379593,-0.400000076,1,0,0,1.3718,Pegmatite_rect,6,1.372,0,12,0,12,0,1,,,,,,,,,,,,,,,,,,,,
659ed4d20445e9c16df76aee,SCN,2024-06-24_15h01.01.347,LearnStrategy,2023.2.3,Win32,60.24096386,1,1,14,-0.361898117,0.392592583,1,0,0,1.2121,Obsidian_09,5,09,6,2,1.212,-0.390601845,-0.42129631,1,0,0,1.1198,Obsidian_rect,5,1.12,1,13,0,13,0,1,,,,,,,,,,,,,,,,,,,,
659ed4d20445e9c16df76aee,SCN,2024-06-24_15h01.01.347,LearnStrategy,2023.2.3,Win32,60.24096386,1,1,15,-0.545231476,-0.378703766,1,0,0,0.9244,Obsidian_07,5,07,1,1,0.924,-0.388749962,-0.411111069,1,0,0,0.8397,Obsidian_rect,5,0.84,1,14,0,14,0,1,,,,,,,,,,,,,,,,,,,,
659ed4d20445e9c16df76aee,SCN,2024-06-24_15h01.01.347,LearnStrategy,2023.2.3,Win32,60.24096386,1,1,16,-0.539675903,0.119444427,1,0,0,1.0606,Pumice_15,8,15,4,1,1.061,0.43069458,-0.415740814,1,0,0,0.9972,Pumice_rect,8,0.997,1,15,0,15,0,1,,,,,,,,,,,,,,,,,,,,
659ed4d20445e9c16df76aee,SCN,2024-06-24_15h01.01.347,LearnStrategy,2023.2.3,Win32,60.24096386,1,2,1,,,,,,,,7,14,,,,,,,,,,,3,0.761,0,,,,,,0.122361145,-0.25092598,1,0,0,0.7607,Diorite_rect,0,0,0,0,1,,,,,,,,
