participant,condition,date,expName,psychopyVersion,OS,frameRate,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,blocks.order,train_trials.thisRepN,train_trials.thisTrialN,train_trials.thisN,train_trials.thisIndex,train_trials.ran,train_trials.order,row,col,cat,token
5f0fa5d6f1db6e19c7702e0d,SCN,2024-06-11_12h48.46.100,LearnStrategy,2023.2.3,MacIntel,58.82352941,0,0,0,0,1,8,0,0,0,0,1,15,3,2,7,10
5f0fa5d6f1db6e19c7702e0d,SCN,2024-06-11_12h48.46.100,LearnStrategy,2023.2.3,MacIntel,58.82352941,0,0,0,0,1,8,0,0,0,0,1,15,3,3,6,06
5f0fa5d6f1db6e19c7702e0d,SCN,2024-06-11_12h48.46.100,LearnStrategy,2023.2.3,MacIntel,58.82352941,0,0,0,0,1,8,0,0,0,0,1,15,3,4,4,01
5f0fa5d6f1db6e19c7702e0d,SCN,2024-06-11_12h48.46.100,LearnStrategy,2023.2.3,MacIntel,58.82352941,0,0,0,0,1,8,0,0,0,0,1,15,3,5,2,09
5f0fa5d6f1db6e19c7702e0d,SCN,2024-06-11_12h48.46.100,LearnStrategy,2023.2.3,MacIntel,58.82352941,0,0,0,0,1,8,0,0,0,0,1,15,3,6,3,11
5f0fa5d6f1db6e19c7702e0d,SCN,2024-06-11_12h48.46.100,LearnStrategy,2023.2.3,MacIntel,58.82352941,0,0,0,0,1,8,0,0,0,0,1,15,3,7,1,07
5f0fa5d6f1db6e19c7702e0d,SCN,2024-06-11_12h48.46.100,LearnStrategy,2023.2.3,MacIntel,58.82352941,0,0,0,0,1,8,0,0,0,0,1,15,3,8,6,03
5f0fa5d6f1db6e19c7702e0d,SCN,2024-06-11_12h48.46.100,LearnStrategy,2023.2.3,MacIntel,58.82352941,0,0,0,0,1,8,0,0,0,0,1,15,4,1,8,06
5f0fa5d6f1db6e19c7702e0d,SCN,2024-06-11_12h48.46.100,LearnStrategy,2023.2.3,MacIntel,58.82352941,0,0,0,0,1,8,0,0,0,0,1,15,4,2,5,12
5f0fa5d6f1db6e19c7702e0d,SCN,2024-06-11_12h48.46.100,LearnStrategy,2023.2.3,MacIntel,58.82352941,0,0,0,0,1,8,0,0,0,0,1,15,4,3,8,10
5f0fa5d6f1db6e19c7702e0d,SCN,2024-06-11_12h48.46.100,LearnStrategy,2023.2.3,MacIntel,58.82352941,0,0,0,0,1,8,0,0,0,0,1,15,4,4,4,12
5f0fa5d6f1db6e19c7702e0d,SCN,2024-06-11_12h48.46.100,LearnStrategy,2023.2.3,MacIntel,58.82352941,0,0,0,0,1,8,0,0,0,0,1,15,4,5,7,15
5f0fa5d6f1db6e19c7702e0d,SCN,2024-06-11_12h48.46.100,LearnStrategy,2023.2.3,MacIntel,58.82352941,0,0,0,0,1,8,0,0,0,0,1,15,4,6,7,07
5f0fa5d6f1db6e19c7702e0d,SCN,2024-06-11_12h48.46.100,LearnStrategy,2023.2.3,MacIntel,58.82352941,0,0,0,0,1,8,0,0,0,0,1,15,4,7,7,14
5f0fa5d6f1db6e19c7702e0d,SCN,2024-06-11_12h48.46.100,LearnStrategy,2023.2.3,MacIntel,58.82352941,0,0,0,0,1,8,0,0,0,0,1,15,4,8,5,08
5f0fa5d6f1db6e19c7702e0d,SCN,2024-06-11_12h48.46.100,LearnStrategy,2023.2.3,MacIntel,58.82352941,0,0,0,0,1,8,0,0,0,0,1,15,5,1,8,03
5f0fa5d6f1db6e19c7702e0d,SCN,2024-06-11_12h48.46.100,LearnStrategy,2023.2.3,MacIntel,58.82352941,0,0,0,0,1,8,0,0,0,0,1,15,5,2,3,12
5f0fa5d6f1db6e19c7702e0d,SCN,2024-06-11_12h48.46.100,LearnStrategy,2023.2.3,MacIntel,58.82352941,0,0,0,0,1,8,0,0,0,0,1,15,5,3,6,05
5f0fa5d6f1db6e19c7702e0d,SCN,2024-06-11_12h48.46.100,LearnStrategy,2023.2.3,MacIntel,58.82352941,0,0,0,0,1,8,0,0,0,0,1,15,5,4,2,14
5f0fa5d6f1db6e19c7702e0d,SCN,2024-06-11_12h48.46.100,LearnStrategy,2023.2.3,MacIntel,58.82352941,0,0,0,0,1,8,0,0,0,0,1,15,5,5,5,02
5f0fa5d6f1db6e19c7702e0d,SCN,2024-06-11_12h48.46.100,LearnStrategy,2023.2.3,MacIntel,58.82352941,0,0,0,0,1,8,0,0,0,0,1,15,5,6,4,13
5f0fa5d6f1db6e19c7702e0d,SCN,2024-06-11_12h48.46.100,LearnStrategy,2023.2.3,MacIntel,58.82352941,0,0,0,0,1,8,0,0,0,0,1,15,5,7,4,11
5f0fa5d6f1db6e19c7702e0d,SCN,2024-06-11_12h48.46.100,LearnStrategy,2023.2.3,MacIntel,58.82352941,0,0,0,0,1,8,0,0,0,0,1,15,5,8,5,06
5f0fa5d6f1db6e19c7702e0d,SCN,2024-06-11_12h48.46.100,LearnStrategy,2023.2.3,MacIntel,58.82352941,0,0,0,0,1,8,0,0,0,0,1,15,6,1,3,14
5f0fa5d6f1db6e19c7702e0d,SCN,2024-06-11_12h48.46.100,LearnStrategy,2023.2.3,MacIntel,58.82352941,0,0,0,0,1,8,0,0,0,0,1,15,6,2,8,04
5f0fa5d6f1db6e19c7702e0d,SCN,2024-06-11_12h48.46.100,LearnStrategy,2023.2.3,MacIntel,58.82352941,0,0,0,0,1,8,0,0,0,0,1,15,6,3,5,11
5f0fa5d6f1db6e19c7702e0d,SCN,2024-06-11_12h48.46.100,LearnStrategy,2023.2.3,MacIntel,58.82352941,0,0,0,0,1,8,0,0,0,0,1,15,6,4,2,11
5f0fa5d6f1db6e19c7702e0d,SCN,2024-06-11_12h48.46.100,LearnStrategy,2023.2.3,MacIntel,58.82352941,0,0,0,0,1,8,0,0,0,0,1,15,6,5,4,15
5f0fa5d6f1db6e19c7702e0d,SCN,2024-06-11_12h48.46.100,LearnStrategy,2023.2.3,MacIntel,58.82352941,0,0,0,0,1,8,0,0,0,0,1,15,6,6,1,03
5f0fa5d6f1db6e19c7702e0d,SCN,2024-06-11_12h48.46.100,LearnStrategy,2023.2.3,MacIntel,58.82352941,0,0,0,0,1,8,0,0,0,0,1,15,6,7,1,11
5f0fa5d6f1db6e19c7702e0d,SCN,2024-06-11_12h48.46.100,LearnStrategy,2023.2.3,MacIntel,58.82352941,0,0,0,0,1,8,0,0,0,0,1,15,6,8,4,10
