participant,condition,date,expName,psychopyVersion,OS,frameRate,block,phase,trial,learn_mouse.x,learn_mouse.y,learn_mouse.leftButton,learn_mouse.midButton,learn_mouse.rightButton,learn_mouse.time,learn_mouse.clicked_name,cat,token,row,col,t_select,cat_rec,token_rec,cat_mouse_l.x,cat_mouse_l.y,cat_mouse_l.leftButton,cat_mouse_l.midButton,cat_mouse_l.rightButton,cat_mouse_l.time,cat_mouse_l.clicked_name,resp,t_resp,corr,train_trials.thisRepN,train_trials.thisTrialN,train_trials.thisN,train_trials.thisIndex,train_trials.ran,cat_mouse_t.x,cat_mouse_t.y,cat_mouse_t.leftButton,cat_mouse_t.midButton,cat_mouse_t.rightButton,cat_mouse_t.time,cat_mouse_t.clicked_name,test_trials.thisRepN,test_trials.thisTrialN,test_trials.thisN,test_trials.thisIndex,test_trials.ran,Bonus,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,blocks.order,test_trials.order
65d306f8b16eb5011ccb2025,SCR,2024-06-25_11h23.20.732,LearnStrategy,2023.2.3,Win32,58.47953216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65d306f8b16eb5011ccb2025,SCR,2024-06-25_11h23.20.732,LearnStrategy,2023.2.3,Win32,58.47953216,1,1,1,0.381510417,0.41796875,1,0,0,24.0932,Obsidian_12,5,12,6,7,24.093,7,14,0.350260417,-0.26171875,1,0,0,10.3488,Gabbro_rect,4,10.349,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,
65d306f8b16eb5011ccb2025,SCR,2024-06-25_11h23.20.732,LearnStrategy,2023.2.3,Win32,58.47953216,1,1,2,-0.561197917,0.416666667,1,0,0,14.6135,Obsidian_09,5,09,6,1,14.613,6,07,-0.40625,-0.412760417,1,0,0,7.0302,Obsidian_rect,5,7.03,1,1,0,1,0,1,,,,,,,,,,,,,,,,,,,,
65d306f8b16eb5011ccb2025,SCR,2024-06-25_11h23.20.732,LearnStrategy,2023.2.3,Win32,58.47953216,1,1,3,-0.3984375,0.388020833,1,0,0,13.3661,Gabbro_01,4,01,6,2,13.366,3,14,-0.10546875,-0.251302083,1,0,0,16.8912,Basalt_rect,2,16.891,0,2,0,2,0,1,,,,,,,,,,,,,,,,,,,,
65d306f8b16eb5011ccb2025,SCR,2024-06-25_11h23.20.732,LearnStrategy,2023.2.3,Win32,58.47953216,1,1,4,-0.217447917,0.3984375,1,0,0,1.9978,Diorite_06,3,06,6,3,1.998,4,08,0.111979167,-0.251302083,1,0,0,11.5985,Diorite_rect,3,11.599,1,3,0,3,0,1,,,,,,,,,,,,,,,,,,,,
65d306f8b16eb5011ccb2025,SCR,2024-06-25_11h23.20.732,LearnStrategy,2023.2.3,Win32,58.47953216,1,1,5,-0.078125,0.397135417,1,0,0,25.5806,Andesite_11,1,11,6,4,25.581,3,06,-0.115885417,-0.41015625,1,0,0,9.7852,Pegmatite_rect,6,9.785,0,4,0,4,0,1,,,,,,,,,,,,,,,,,,,,
65d306f8b16eb5011ccb2025,SCR,2024-06-25_11h23.20.732,LearnStrategy,2023.2.3,Win32,58.47953216,1,1,6,0.083333333,0.41015625,1,0,0,21.7733,Pegmatite_12,6,12,6,5,21.773,1,05,0.37109375,-0.233072917,1,0,0,22.628,Gabbro_rect,4,22.628,0,5,0,5,0,1,,,,,,,,,,,,,,,,,,,,
65d306f8b16eb5011ccb2025,SCR,2024-06-25_11h23.20.732,LearnStrategy,2023.2.3,Win32,58.47953216,1,1,7,-0.088541667,0.399739583,1,0,0,5.538,Andesite_11,1,11,6,4,5.538,7,15,0.13671875,-0.397135417,1,0,0,7.6433,Peridotite_rect,7,7.643,0,6,0,6,0,1,,,,,,,,,,,,,,,,,,,,
65d306f8b16eb5011ccb2025,SCR,2024-06-25_11h23.20.732,LearnStrategy,2023.2.3,Win32,58.47953216,1,1,8,0.251302083,0.419270833,1,0,0,3.4271,Gabbro_08,4,08,6,6,3.427,8,10,0.4375,-0.407552083,1,0,0,10.2985,Pumice_rect,8,10.298,0,7,0,7,0,1,,,,,,,,,,,,,,,,,,,,
65d306f8b16eb5011ccb2025,SCR,2024-06-25_11h23.20.732,LearnStrategy,2023.2.3,Win32,58.47953216,1,1,9,-0.389322917,0.407552083,1,0,0,10.5193,Gabbro_01,4,01,6,2,10.519,2,02,0.40234375,-0.39453125,1,0,0,3.0594,Pumice_rect,8,3.059,0,8,0,8,0,1,,,,,,,,,,,,,,,,,,,,
65d306f8b16eb5011ccb2025,SCR,2024-06-25_11h23.20.732,LearnStrategy,2023.2.3,Win32,58.47953216,1,1,10,-0.259114583,0.412760417,1,0,0,2.1788,Diorite_06,3,06,6,3,2.179,2,05,-0.13671875,-0.408854167,1,0,0,5.0688,Pegmatite_rect,6,5.069,0,9,0,9,0,1,,,,,,,,,,,,,,,,,,,,
