participant,condition,date,expName,psychopyVersion,OS,frameRate,block,phase,trial,learn_mouse.x,learn_mouse.y,learn_mouse.leftButton,learn_mouse.midButton,learn_mouse.rightButton,learn_mouse.time,learn_mouse.clicked_name,cat,token,row,col,t_select,cat_mouse_l.x,cat_mouse_l.y,cat_mouse_l.leftButton,cat_mouse_l.midButton,cat_mouse_l.rightButton,cat_mouse_l.time,cat_mouse_l.clicked_name,resp,t_resp,corr,train_trials.thisRepN,train_trials.thisTrialN,train_trials.thisN,train_trials.thisIndex,train_trials.ran,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,blocks.order,train_trials.order
5fa4c21a04bc5912180291bc,SCN,2024-06-25_14h37.35.696,LearnStrategy,2023.2.3,Win32,60.24096386,,,,,,,,,,,2,09,2,1,,,,,,,,,,,,9,0,9,0,1,0,0,0,0,1,8,15
5fa4c21a04bc5912180291bc,SCN,2024-06-25_14h37.35.696,LearnStrategy,2023.2.3,Win32,60.24096386,,,,,,,,,,,2,04,2,2,,,,,,,,,,,,9,0,9,0,1,0,0,0,0,1,8,15
5fa4c21a04bc5912180291bc,SCN,2024-06-25_14h37.35.696,LearnStrategy,2023.2.3,Win32,60.24096386,,,,,,,,,,,7,06,2,3,,,,,,,,,,,,9,0,9,0,1,0,0,0,0,1,8,15
5fa4c21a04bc5912180291bc,SCN,2024-06-25_14h37.35.696,LearnStrategy,2023.2.3,Win32,60.24096386,,,,,,,,,,,3,08,2,4,,,,,,,,,,,,9,0,9,0,1,0,0,0,0,1,8,15
5fa4c21a04bc5912180291bc,SCN,2024-06-25_14h37.35.696,LearnStrategy,2023.2.3,Win32,60.24096386,,,,,,,,,,,6,12,2,5,,,,,,,,,,,,9,0,9,0,1,0,0,0,0,1,8,15
5fa4c21a04bc5912180291bc,SCN,2024-06-25_14h37.35.696,LearnStrategy,2023.2.3,Win32,60.24096386,,,,,,,,,,,3,10,2,6,,,,,,,,,,,,9,0,9,0,1,0,0,0,0,1,8,15
5fa4c21a04bc5912180291bc,SCN,2024-06-25_14h37.35.696,LearnStrategy,2023.2.3,Win32,60.24096386,,,,,,,,,,,5,10,2,7,,,,,,,,,,,,9,0,9,0,1,0,0,0,0,1,8,15
5fa4c21a04bc5912180291bc,SCN,2024-06-25_14h37.35.696,LearnStrategy,2023.2.3,Win32,60.24096386,,,,,,,,,,,6,15,2,8,,,,,,,,,,,,9,0,9,0,1,0,0,0,0,1,8,15
5fa4c21a04bc5912180291bc,SCN,2024-06-25_14h37.35.696,LearnStrategy,2023.2.3,Win32,60.24096386,,,,,,,,,,,6,07,3,1,,,,,,,,,,,,9,0,9,0,1,0,0,0,0,1,8,15
5fa4c21a04bc5912180291bc,SCN,2024-06-25_14h37.35.696,LearnStrategy,2023.2.3,Win32,60.24096386,,,,,,,,,,,3,13,3,2,,,,,,,,,,,,9,0,9,0,1,0,0,0,0,1,8,15
5fa4c21a04bc5912180291bc,SCN,2024-06-25_14h37.35.696,LearnStrategy,2023.2.3,Win32,60.24096386,,,,,,,,,,,4,13,3,3,,,,,,,,,,,,9,0,9,0,1,0,0,0,0,1,8,15
5fa4c21a04bc5912180291bc,SCN,2024-06-25_14h37.35.696,LearnStrategy,2023.2.3,Win32,60.24096386,,,,,,,,,,,8,10,3,4,,,,,,,,,,,,9,0,9,0,1,0,0,0,0,1,8,15
5fa4c21a04bc5912180291bc,SCN,2024-06-25_14h37.35.696,LearnStrategy,2023.2.3,Win32,60.24096386,,,,,,,,,,,3,07,3,5,,,,,,,,,,,,9,0,9,0,1,0,0,0,0,1,8,15
5fa4c21a04bc5912180291bc,SCN,2024-06-25_14h37.35.696,LearnStrategy,2023.2.3,Win32,60.24096386,,,,,,,,,,,6,09,3,6,,,,,,,,,,,,9,0,9,0,1,0,0,0,0,1,8,15
5fa4c21a04bc5912180291bc,SCN,2024-06-25_14h37.35.696,LearnStrategy,2023.2.3,Win32,60.24096386,,,,,,,,,,,3,02,3,7,,,,,,,,,,,,9,0,9,0,1,0,0,0,0,1,8,15
5fa4c21a04bc5912180291bc,SCN,2024-06-25_14h37.35.696,LearnStrategy,2023.2.3,Win32,60.24096386,,,,,,,,,,,2,11,3,8,,,,,,,,,,,,9,0,9,0,1,0,0,0,0,1,8,15
5fa4c21a04bc5912180291bc,SCN,2024-06-25_14h37.35.696,LearnStrategy,2023.2.3,Win32,60.24096386,,,,,,,,,,,1,01,4,1,,,,,,,,,,,,9,0,9,0,1,0,0,0,0,1,8,15
5fa4c21a04bc5912180291bc,SCN,2024-06-25_14h37.35.696,LearnStrategy,2023.2.3,Win32,60.24096386,,,,,,,,,,,4,05,4,2,,,,,,,,,,,,9,0,9,0,1,0,0,0,0,1,8,15
5fa4c21a04bc5912180291bc,SCN,2024-06-25_14h37.35.696,LearnStrategy,2023.2.3,Win32,60.24096386,,,,,,,,,,,5,11,4,3,,,,,,,,,,,,9,0,9,0,1,0,0,0,0,1,8,15
5fa4c21a04bc5912180291bc,SCN,2024-06-25_14h37.35.696,LearnStrategy,2023.2.3,Win32,60.24096386,,,,,,,,,,,5,14,4,4,,,,,,,,,,,,9,0,9,0,1,0,0,0,0,1,8,15
5fa4c21a04bc5912180291bc,SCN,2024-06-25_14h37.35.696,LearnStrategy,2023.2.3,Win32,60.24096386,,,,,,,,,,,5,07,4,5,,,,,,,,,,,,9,0,9,0,1,0,0,0,0,1,8,15
5fa4c21a04bc5912180291bc,SCN,2024-06-25_14h37.35.696,LearnStrategy,2023.2.3,Win32,60.24096386,,,,,,,,,,,8,14,4,6,,,,,,,,,,,,9,0,9,0,1,0,0,0,0,1,8,15
5fa4c21a04bc5912180291bc,SCN,2024-06-25_14h37.35.696,LearnStrategy,2023.2.3,Win32,60.24096386,,,,,,,,,,,2,05,4,7,,,,,,,,,,,,9,0,9,0,1,0,0,0,0,1,8,15
5fa4c21a04bc5912180291bc,SCN,2024-06-25_14h37.35.696,LearnStrategy,2023.2.3,Win32,60.24096386,,,,,,,,,,,5,06,4,8,,,,,,,,,,,,9,0,9,0,1,0,0,0,0,1,8,15
5fa4c21a04bc5912180291bc,SCN,2024-06-25_14h37.35.696,LearnStrategy,2023.2.3,Win32,60.24096386,,,,,,,,,,,8,03,5,1,,,,,,,,,,,,9,0,9,0,1,0,0,0,0,1,8,15
5fa4c21a04bc5912180291bc,SCN,2024-06-25_14h37.35.696,LearnStrategy,2023.2.3,Win32,60.24096386,,,,,,,,,,,7,15,5,2,,,,,,,,,,,,9,0,9,0,1,0,0,0,0,1,8,15
5fa4c21a04bc5912180291bc,SCN,2024-06-25_14h37.35.696,LearnStrategy,2023.2.3,Win32,60.24096386,,,,,,,,,,,8,13,5,3,,,,,,,,,,,,9,0,9,0,1,0,0,0,0,1,8,15
5fa4c21a04bc5912180291bc,SCN,2024-06-25_14h37.35.696,LearnStrategy,2023.2.3,Win32,60.24096386,,,,,,,,,,,7,04,5,4,,,,,,,,,,,,9,0,9,0,1,0,0,0,0,1,8,15
5fa4c21a04bc5912180291bc,SCN,2024-06-25_14h37.35.696,LearnStrategy,2023.2.3,Win32,60.24096386,,,,,,,,,,,6,05,5,5,,,,,,,,,,,,9,0,9,0,1,0,0,0,0,1,8,15
5fa4c21a04bc5912180291bc,SCN,2024-06-25_14h37.35.696,LearnStrategy,2023.2.3,Win32,60.24096386,,,,,,,,,,,7,14,5,6,,,,,,,,,,,,9,0,9,0,1,0,0,0,0,1,8,15
5fa4c21a04bc5912180291bc,SCN,2024-06-25_14h37.35.696,LearnStrategy,2023.2.3,Win32,60.24096386,,,,,,,,,,,4,15,5,7,,,,,,,,,,,,9,0,9,0,1,0,0,0,0,1,8,15
5fa4c21a04bc5912180291bc,SCN,2024-06-25_14h37.35.696,LearnStrategy,2023.2.3,Win32,60.24096386,,,,,,,,,,,7,08,5,8,,,,,,,,,,,,9,0,9,0,1,0,0,0,0,1,8,15
