participant,condition,date,expName,psychopyVersion,OS,frameRate,block,phase,trial,learn_mouse.x,learn_mouse.y,learn_mouse.leftButton,learn_mouse.midButton,learn_mouse.rightButton,learn_mouse.time,learn_mouse.clicked_name,cat,token,row,col,t_select,cat_mouse_l.x,cat_mouse_l.y,cat_mouse_l.leftButton,cat_mouse_l.midButton,cat_mouse_l.rightButton,cat_mouse_l.time,cat_mouse_l.clicked_name,resp,t_resp,corr,train_trials.thisRepN,train_trials.thisTrialN,train_trials.thisN,train_trials.thisIndex,train_trials.ran,cat_mouse_t.x,cat_mouse_t.y,cat_mouse_t.leftButton,cat_mouse_t.midButton,cat_mouse_t.rightButton,cat_mouse_t.time,cat_mouse_t.clicked_name,test_trials.thisRepN,test_trials.thisTrialN,test_trials.thisN,test_trials.thisIndex,test_trials.ran,Bonus,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,blocks.order,train_trials.order
65a91d4a92194759e6a7597c,SCN,2024-06-11_12h11.14.595,LearnStrategy,2023.2.3,Win32,60.24096386,1,1,11,0.506510417,0.223958333,1,0,0,4.2483,Gabbro_12,4,12,5,8,4.248,-0.084635417,-0.235677083,1,0,0,1.417,Basalt_rect,2,1.417,0,10,0,10,0,1,,,,,,,,,,,,,,,,,,,,
65a91d4a92194759e6a7597c,SCN,2024-06-11_12h11.14.595,LearnStrategy,2023.2.3,Win32,60.24096386,1,1,12,-0.604166667,-0.109375,1,0,0,5.9551,Basalt_05,2,05,3,1,5.955,-0.368489583,-0.247395833,1,0,0,1.575,Andesite_rect,1,1.575,0,11,0,11,0,1,,,,,,,,,,,,,,,,,,,,
65a91d4a92194759e6a7597c,SCN,2024-06-11_12h11.14.595,LearnStrategy,2023.2.3,Win32,60.24096386,1,1,13,0.26171875,0.389322917,1,0,0,2.6476,Obsidian_07,5,07,6,6,2.648,-0.3359375,-0.389322917,1,0,0,1.7936,Obsidian_rect,5,1.794,1,12,0,12,0,1,,,,,,,,,,,,,,,,,,,,
65a91d4a92194759e6a7597c,SCN,2024-06-11_12h11.14.595,LearnStrategy,2023.2.3,Win32,60.24096386,1,1,14,-0.263020833,-0.09765625,1,0,0,12.8473,Pegmatite_13,6,13,3,3,12.847,-0.125,-0.388020833,1,0,0,2.849,Pegmatite_rect,6,2.849,1,13,0,13,0,1,,,,,,,,,,,,,,,,,,,,
65a91d4a92194759e6a7597c,SCN,2024-06-11_12h11.14.595,LearnStrategy,2023.2.3,Win32,60.24096386,1,1,15,0.041666667,-0.227864583,1,0,0,3.6801,Pegmatite_08,6,08,2,5,3.68,-0.088541667,-0.385416667,1,0,0,1.7416,Pegmatite_rect,6,1.742,1,14,0,14,0,1,,,,,,,,,,,,,,,,,,,,
65a91d4a92194759e6a7597c,SCN,2024-06-11_12h11.14.595,LearnStrategy,2023.2.3,Win32,60.24096386,1,1,16,-0.220052083,-0.088541667,1,0,0,11.3818,Pegmatite_13,6,13,3,3,11.382,-0.109375,-0.39453125,1,0,0,2.105,Pegmatite_rect,6,2.105,1,15,0,15,0,1,,,,,,,,,,,,,,,,,,,,
65a91d4a92194759e6a7597c,SCN,2024-06-11_12h11.14.595,LearnStrategy,2023.2.3,Win32,60.24096386,1,2,1,,,,,,,,3,14,,,,,,,,,,,6,4.284,0,,,,,,-0.173177083,-0.38671875,1,0,0,4.2845,Pegmatite_rect,0,0,0,0,1,,,,,,,,
65a91d4a92194759e6a7597c,SCN,2024-06-11_12h11.14.595,LearnStrategy,2023.2.3,Win32,60.24096386,1,2,2,,,,,,,,7,05,,,,,,,,,,,6,5.886,0,,,,,,-0.1796875,-0.407552083,1,0,0,5.8858,Pegmatite_rect,1,0,1,0,1,,,,,,,,
65a91d4a92194759e6a7597c,SCN,2024-06-11_12h11.14.595,LearnStrategy,2023.2.3,Win32,60.24096386,1,2,3,,,,,,,,4,15,,,,,,,,,,,5,1.829,0,,,,,,-0.34375,-0.401041667,1,0,0,1.8286,Obsidian_rect,2,0,2,0,1,,,,,,,,
65a91d4a92194759e6a7597c,SCN,2024-06-11_12h11.14.595,LearnStrategy,2023.2.3,Win32,60.24096386,1,2,4,,,,,,,,7,16,,,,,,,,,,,7,3.328,1,,,,,,0.157552083,-0.41015625,1,0,0,3.328,Peridotite_rect,3,0,3,0,1,,,,,,,,
