width,height,webaudio,browser,browser_version,mobile,os,fullscreen,vsync_rate,webcam,microphone,trial_type,trial_index,plugin_version,time_elapsed,subjID,condition,stimID,rt,url,success,value,timeout,failed_images,failed_audio,failed_video,view_history,stimulus,response,trialType,cycle,phase,trial,resp,cat,token,corr,resp_num,cat_num,rt_ref,rt_paired,ref_cat_num,paired_cat_num,ref_cat,paired_cat,text_Pumice,text_Diorite,time_obs,time_resp,text_Andesite,text_Basalt,text_Gabbro,text_Obsidian,time_fb1,time_fb2,text_Peridotite,text_Pegmatite
1366,649,TRUE,chrome,103.0.0,FALSE,Chrome OS,TRUE,61.29,TRUE,TRUE,browser-check,0,2.0.0,1067,66d74b9d2a9bfcaf3ddbe8a3,4,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,external-html,1,2.0.0,37369,66d74b9d2a9bfcaf3ddbe8a3,4,18,36202,consent_form.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,fullscreen,2,2.0.0,71736,66d74b9d2a9bfcaf3ddbe8a3,4,18,33328,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,call-function,3,2.0.0,71747,66d74b9d2a9bfcaf3ddbe8a3,4,18,,,,{},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,preload,4,2.0.0,74837,66d74b9d2a9bfcaf3ddbe8a3,4,18,,,TRUE,,FALSE,[],[],[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,instructions,5,2.0.0,118650,66d74b9d2a9bfcaf3ddbe8a3,4,18,43806,,,,,,,,"[{""page_index"":0,""viewing_time"":8529},{""page_index"":1,""viewing_time"":17246},{""page_index"":2,""viewing_time"":18029}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,html-button-response,6,2.0.0,121071,66d74b9d2a9bfcaf3ddbe8a3,4,18,2411,,,,,,,,,,0,start_test,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,html-button-response,7,2.0.0,129552,66d74b9d2a9bfcaf3ddbe8a3,4,18,8470,,,,,,,,,"<img src= ""rock_img/I_Pumice_13.jpg"" style=""width:8cm; height:8.200000000000001cm;""><p>What type of rock is this?</p>",2,class_response,0,test,1,Diorite,Pumice,13,FALSE,3,8,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,html-keyboard-response,8,2.0.0,130062,66d74b9d2a9bfcaf3ddbe8a3,4,18,null,,,,,,,,,<p style='font-size: 30px;'><strong>Okay</strong></p>,null,neutral_feedback,0,test,1,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,html-button-response,9,2.0.0,140678,66d74b9d2a9bfcaf3ddbe8a3,4,18,10600,,,,,,,,,"<img src= ""rock_img/I_Gabbro_10.jpg"" style=""width:8cm; height:5.680000000000001cm;""><p>What type of rock is this?</p>",5,class_response,0,test,2,Pegmatite,Gabbro,10,FALSE,6,4,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,html-keyboard-response,10,2.0.0,141185,66d74b9d2a9bfcaf3ddbe8a3,4,18,null,,,,,,,,,<p style='font-size: 30px;'><strong>Okay</strong></p>,null,neutral_feedback,0,test,2,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,html-button-response,11,2.0.0,143484,66d74b9d2a9bfcaf3ddbe8a3,4,18,2287,,,,,,,,,"<img src= ""rock_img/I_Peridotite_07.jpg"" style=""width:8cm; height:4.83cm;""><p>What type of rock is this?</p>",6,class_response,0,test,3,Peridotite,Peridotite,7,TRUE,7,7,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,html-keyboard-response,12,2.0.0,143993,66d74b9d2a9bfcaf3ddbe8a3,4,18,null,,,,,,,,,<p style='font-size: 30px;'><strong>Okay</strong></p>,null,neutral_feedback,0,test,3,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,html-button-response,13,2.0.0,148333,66d74b9d2a9bfcaf3ddbe8a3,4,18,4325,,,,,,,,,"<img src= ""rock_img/I_Andesite_07.jpg"" style=""width:8cm; height:5.93cm;""><p>What type of rock is this?</p>",0,class_response,0,test,4,Andesite,Andesite,7,TRUE,1,1,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,html-keyboard-response,14,2.0.0,148839,66d74b9d2a9bfcaf3ddbe8a3,4,18,null,,,,,,,,,<p style='font-size: 30px;'><strong>Okay</strong></p>,null,neutral_feedback,0,test,4,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,html-button-response,15,2.0.0,151734,66d74b9d2a9bfcaf3ddbe8a3,4,18,2882,,,,,,,,,"<img src= ""rock_img/I_Obsidian_06.jpg"" style=""width:8cm; height:6.8cm;""><p>What type of rock is this?</p>",3,class_response,0,test,5,Gabbro,Obsidian,6,FALSE,4,5,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,html-keyboard-response,16,2.0.0,152241,66d74b9d2a9bfcaf3ddbe8a3,4,18,null,,,,,,,,,<p style='font-size: 30px;'><strong>Okay</strong></p>,null,neutral_feedback,0,test,5,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,html-button-response,17,2.0.0,156094,66d74b9d2a9bfcaf3ddbe8a3,4,18,3839,,,,,,,,,"<img src= ""rock_img/I_Gabbro_05.jpg"" style=""width:8cm; height:6cm;""><p>What type of rock is this?</p>",4,class_response,0,test,6,Obsidian,Gabbro,5,FALSE,5,4,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,html-keyboard-response,18,2.0.0,156600,66d74b9d2a9bfcaf3ddbe8a3,4,18,null,,,,,,,,,<p style='font-size: 30px;'><strong>Okay</strong></p>,null,neutral_feedback,0,test,6,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,html-button-response,19,2.0.0,159310,66d74b9d2a9bfcaf3ddbe8a3,4,18,2696,,,,,,,,,"<img src= ""rock_img/I_Andesite_11.jpg"" style=""width:8cm; height:4.92cm;""><p>What type of rock is this?</p>",6,class_response,0,test,7,Peridotite,Andesite,11,FALSE,7,1,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,html-keyboard-response,20,2.0.0,159817,66d74b9d2a9bfcaf3ddbe8a3,4,18,null,,,,,,,,,<p style='font-size: 30px;'><strong>Okay</strong></p>,null,neutral_feedback,0,test,7,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,html-button-response,21,2.0.0,165748,66d74b9d2a9bfcaf3ddbe8a3,4,18,5919,,,,,,,,,"<img src= ""rock_img/I_Pegmatite_11.jpg"" style=""width:8cm; height:8.14cm;""><p>What type of rock is this?</p>",2,class_response,0,test,8,Diorite,Pegmatite,11,FALSE,3,6,,,,,,,,,,,,,,,,,,
