width,height,webaudio,browser,browser_version,mobile,os,fullscreen,vsync_rate,webcam,microphone,trial_type,trial_index,plugin_version,time_elapsed,subjID,condition,stimID,rt,url,success,value,timeout,failed_images,failed_audio,failed_video,view_history,stimulus,response,trialType,cycle,phase,trial,resp,cat,token,corr,resp_num,cat_num,rt_ref,rt_paired,ref_cat_num,paired_cat_num,ref_cat,paired_cat,text_Peridotite,text_Basalt,time_obs,time_resp,text_Pumice,text_Diorite,time_fb1,time_fb2,text_Pegmatite,text_Andesite,text_Gabbro,text_Obsidian
,,,,,,,,,,,html-button-response,548,2.0.0,1767823,6556e5fa9feed5dca96b6dcd,4,6,1111,,,,,,,,,"<img src= ""rock_img/I_Pegmatite_08.jpg"" style=""width:8cm; height:7.68cm;""><p>What type of rock is this?</p>",5,class_response,4,test,4,Pegmatite,Pegmatite,8,TRUE,6,6,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,html-keyboard-response,549,2.0.0,1768325,6556e5fa9feed5dca96b6dcd,4,6,null,,,,,,,,,<p style='font-size: 30px;'><strong>Okay</strong></p>,null,neutral_feedback,4,test,4,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,html-button-response,550,2.0.0,1769518,6556e5fa9feed5dca96b6dcd,4,6,1192,,,,,,,,,"<img src= ""rock_img/I_Basalt_12.jpg"" style=""width:8cm; height:6.010000000000001cm;""><p>What type of rock is this?</p>",7,class_response,4,test,5,Pumice,Basalt,12,FALSE,8,2,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,html-keyboard-response,551,2.0.0,1770019,6556e5fa9feed5dca96b6dcd,4,6,null,,,,,,,,,<p style='font-size: 30px;'><strong>Okay</strong></p>,null,neutral_feedback,4,test,5,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,html-button-response,552,2.0.0,1770783,6556e5fa9feed5dca96b6dcd,4,6,763,,,,,,,,,"<img src= ""rock_img/I_Pumice_09.jpg"" style=""width:8cm; height:6.44cm;""><p>What type of rock is this?</p>",7,class_response,4,test,6,Pumice,Pumice,9,TRUE,8,8,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,html-keyboard-response,553,2.0.0,1771285,6556e5fa9feed5dca96b6dcd,4,6,null,,,,,,,,,<p style='font-size: 30px;'><strong>Okay</strong></p>,null,neutral_feedback,4,test,6,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,html-button-response,554,2.0.0,1773237,6556e5fa9feed5dca96b6dcd,4,6,1952,,,,,,,,,"<img src= ""rock_img/I_Pegmatite_16.jpg"" style=""width:8cm; height:5.8cm;""><p>What type of rock is this?</p>",5,class_response,4,test,7,Pegmatite,Pegmatite,16,TRUE,6,6,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,html-keyboard-response,555,2.0.0,1773740,6556e5fa9feed5dca96b6dcd,4,6,null,,,,,,,,,<p style='font-size: 30px;'><strong>Okay</strong></p>,null,neutral_feedback,4,test,7,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,html-button-response,556,2.0.0,1775278,6556e5fa9feed5dca96b6dcd,4,6,1536,,,,,,,,,"<img src= ""rock_img/I_Gabbro_15.jpg"" style=""width:8cm; height:6.29cm;""><p>What type of rock is this?</p>",6,class_response,4,test,8,Peridotite,Gabbro,15,FALSE,7,4,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,html-keyboard-response,557,2.0.0,1775781,6556e5fa9feed5dca96b6dcd,4,6,null,,,,,,,,,<p style='font-size: 30px;'><strong>Okay</strong></p>,null,neutral_feedback,4,test,8,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,html-button-response,558,2.0.0,1777204,6556e5fa9feed5dca96b6dcd,4,6,1422,,,,,,,,,"<img src= ""rock_img/I_Gabbro_11.jpg"" style=""width:8cm; height:6.2cm;""><p>What type of rock is this?</p>",1,class_response,4,test,9,Basalt,Gabbro,11,FALSE,2,4,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,html-keyboard-response,559,2.0.0,1777707,6556e5fa9feed5dca96b6dcd,4,6,null,,,,,,,,,<p style='font-size: 30px;'><strong>Okay</strong></p>,null,neutral_feedback,4,test,9,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,html-button-response,560,2.0.0,1779328,6556e5fa9feed5dca96b6dcd,4,6,1618,,,,,,,,,"<img src= ""rock_img/I_Basalt_05.jpg"" style=""width:8cm; height:8.18cm;""><p>What type of rock is this?</p>",1,class_response,4,test,10,Basalt,Basalt,5,TRUE,2,2,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,html-keyboard-response,561,2.0.0,1779830,6556e5fa9feed5dca96b6dcd,4,6,null,,,,,,,,,<p style='font-size: 30px;'><strong>Okay</strong></p>,null,neutral_feedback,4,test,10,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,html-button-response,562,2.0.0,1781230,6556e5fa9feed5dca96b6dcd,4,6,1398,,,,,,,,,"<img src= ""rock_img/I_Pumice_10.jpg"" style=""width:8cm; height:7.609999999999999cm;""><p>What type of rock is this?</p>",7,class_response,4,test,11,Pumice,Pumice,10,TRUE,8,8,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,html-keyboard-response,563,2.0.0,1781734,6556e5fa9feed5dca96b6dcd,4,6,null,,,,,,,,,<p style='font-size: 30px;'><strong>Okay</strong></p>,null,neutral_feedback,4,test,11,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,html-button-response,564,2.0.0,1783981,6556e5fa9feed5dca96b6dcd,4,6,2244,,,,,,,,,"<img src= ""rock_img/I_Andesite_03.jpg"" style=""width:8cm; height:5.73cm;""><p>What type of rock is this?</p>",1,class_response,4,test,12,Basalt,Andesite,3,FALSE,2,1,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,html-keyboard-response,565,2.0.0,1784484,6556e5fa9feed5dca96b6dcd,4,6,null,,,,,,,,,<p style='font-size: 30px;'><strong>Okay</strong></p>,null,neutral_feedback,4,test,12,,,,,,,,,,,,,,,,,,,,,,,,
