width,height,webaudio,browser,browser_version,mobile,os,fullscreen,vsync_rate,webcam,microphone,trial_type,trial_index,plugin_version,time_elapsed,subjID,condition,stimID,rt,url,success,value,timeout,failed_images,failed_audio,failed_video,view_history,stimulus,response,trialType,cycle,phase,trial,resp,cat,token,corr,resp_num,cat_num,ref_cat_num,paired_cat_num,time_obs,ref_cat,paired_cat,ref_prob_dist,paired_prob_dist,text_Andesite,text_Basalt,time_resp,text_Gabbro,text_Pegmatite,time_fb1,time_fb2,text_Obsidian,text_Diorite,text_Peridotite
,,,,,,,,,,,html-keyboard-response,10,2.0.0,238166,666359d51e208f9165a348a8,3,51,null,,,,,,,,,<p style='font-size: 30px;'><strong>Okay</strong></p>,null,neutral_feedback,0,test,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,html-button-response,11,2.0.0,243186,666359d51e208f9165a348a8,3,51,5019,,,,,,,,,"<img src= ""rock_img/I_Diorite_08.jpg"" style=""width:8cm; height:6.37cm;""><p>What type of rock is this?</p>",2,class_response,0,test,3,Diorite,Diorite,8,TRUE,3,3,,,,,,,,,,,,,,,,,
,,,,,,,,,,,html-keyboard-response,12,2.0.0,243701,666359d51e208f9165a348a8,3,51,null,,,,,,,,,<p style='font-size: 30px;'><strong>Okay</strong></p>,null,neutral_feedback,0,test,3,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,html-button-response,13,2.0.0,246951,666359d51e208f9165a348a8,3,51,3249,,,,,,,,,"<img src= ""rock_img/I_Pumice_09.jpg"" style=""width:8cm; height:6.44cm;""><p>What type of rock is this?</p>",7,class_response,0,test,4,Pumice,Pumice,9,TRUE,8,8,,,,,,,,,,,,,,,,,
,,,,,,,,,,,html-keyboard-response,14,2.0.0,247453,666359d51e208f9165a348a8,3,51,null,,,,,,,,,<p style='font-size: 30px;'><strong>Okay</strong></p>,null,neutral_feedback,0,test,4,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,html-button-response,15,2.0.0,250133,666359d51e208f9165a348a8,3,51,2679,,,,,,,,,"<img src= ""rock_img/I_Basalt_06.jpg"" style=""width:8cm; height:7.06cm;""><p>What type of rock is this?</p>",0,class_response,0,test,5,Andesite,Basalt,6,FALSE,1,2,,,,,,,,,,,,,,,,,
,,,,,,,,,,,html-keyboard-response,16,2.0.0,250636,666359d51e208f9165a348a8,3,51,null,,,,,,,,,<p style='font-size: 30px;'><strong>Okay</strong></p>,null,neutral_feedback,0,test,5,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,html-button-response,17,2.0.0,254445,666359d51e208f9165a348a8,3,51,3807,,,,,,,,,"<img src= ""rock_img/I_Pumice_13.jpg"" style=""width:8cm; height:8.200000000000001cm;""><p>What type of rock is this?</p>",5,class_response,0,test,6,Pegmatite,Pumice,13,FALSE,6,8,,,,,,,,,,,,,,,,,
,,,,,,,,,,,html-keyboard-response,18,2.0.0,254957,666359d51e208f9165a348a8,3,51,null,,,,,,,,,<p style='font-size: 30px;'><strong>Okay</strong></p>,null,neutral_feedback,0,test,6,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,html-button-response,19,2.0.0,257088,666359d51e208f9165a348a8,3,51,2130,,,,,,,,,"<img src= ""rock_img/I_Basalt_10.jpg"" style=""width:8cm; height:5.85cm;""><p>What type of rock is this?</p>",3,class_response,0,test,7,Gabbro,Basalt,10,FALSE,4,2,,,,,,,,,,,,,,,,,
,,,,,,,,,,,html-keyboard-response,20,2.0.0,257591,666359d51e208f9165a348a8,3,51,null,,,,,,,,,<p style='font-size: 30px;'><strong>Okay</strong></p>,null,neutral_feedback,0,test,7,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,html-button-response,21,2.0.0,260799,666359d51e208f9165a348a8,3,51,3206,,,,,,,,,"<img src= ""rock_img/I_Andesite_04.jpg"" style=""width:8cm; height:5.96cm;""><p>What type of rock is this?</p>",6,class_response,0,test,8,Peridotite,Andesite,4,FALSE,7,1,,,,,,,,,,,,,,,,,
,,,,,,,,,,,html-keyboard-response,22,2.0.0,261312,666359d51e208f9165a348a8,3,51,null,,,,,,,,,<p style='font-size: 30px;'><strong>Okay</strong></p>,null,neutral_feedback,0,test,8,,,,,,,,,,,,,,,,,,,,,,,
