width,height,webaudio,browser,browser_version,mobile,os,fullscreen,vsync_rate,webcam,microphone,trial_type,trial_index,plugin_version,time_elapsed,subjID,condition,stimID,rt,url,success,value,timeout,failed_images,failed_audio,failed_video,view_history,stimulus,response,trialType,cycle,phase,trial,resp,cat,token,corr,resp_num,cat_num,ref_cat_num,paired_cat_num,time_obs,ref_cat,paired_cat,ref_prob_dist,paired_prob_dist,text_Basalt,text_Gabbro,time_resp,text_Andesite,text_Obsidian,text_Diorite,text_Pegmatite,time_fb1,time_fb2,text_Peridotite
,,,,,,,,,,,html-keyboard-response,26,2.0.0,638523,5b233660648d5b0001b7de87,3,33,null,,,,,,,,,<p style='font-size: 30px;'><strong>Okay</strong></p>,null,neutral_feedback,0,test,10,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,html-button-response,27,2.0.0,643499,5b233660648d5b0001b7de87,3,33,4974,,,,,,,,,"<img src= ""rock_img/I_Diorite_09.jpg"" style=""width:8cm; height:5.27cm;""><p>What type of rock is this?</p>",1,class_response,0,test,11,Basalt,Diorite,9,FALSE,2,3,,,,,,,,,,,,,,,,,
,,,,,,,,,,,html-keyboard-response,28,2.0.0,644013,5b233660648d5b0001b7de87,3,33,null,,,,,,,,,<p style='font-size: 30px;'><strong>Okay</strong></p>,null,neutral_feedback,0,test,11,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,html-button-response,29,2.0.0,649533,5b233660648d5b0001b7de87,3,33,5513,,,,,,,,,"<img src= ""rock_img/I_Peridotite_16.jpg"" style=""width:8cm; height:6.989999999999999cm;""><p>What type of rock is this?</p>",2,class_response,0,test,12,Diorite,Peridotite,16,FALSE,3,7,,,,,,,,,,,,,,,,,
,,,,,,,,,,,html-keyboard-response,30,2.0.0,650044,5b233660648d5b0001b7de87,3,33,null,,,,,,,,,<p style='font-size: 30px;'><strong>Okay</strong></p>,null,neutral_feedback,0,test,12,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,html-button-response,31,2.0.0,652551,5b233660648d5b0001b7de87,3,33,2502,,,,,,,,,"<img src= ""rock_img/I_Peridotite_05.jpg"" style=""width:8cm; height:7.1499999999999995cm;""><p>What type of rock is this?</p>",6,class_response,0,test,13,Peridotite,Peridotite,5,TRUE,7,7,,,,,,,,,,,,,,,,,
,,,,,,,,,,,html-keyboard-response,32,2.0.0,653066,5b233660648d5b0001b7de87,3,33,null,,,,,,,,,<p style='font-size: 30px;'><strong>Okay</strong></p>,null,neutral_feedback,0,test,13,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,html-button-response,33,2.0.0,654774,5b233660648d5b0001b7de87,3,33,1706,,,,,,,,,"<img src= ""rock_img/I_Peridotite_08.jpg"" style=""width:8cm; height:6.7cm;""><p>What type of rock is this?</p>",1,class_response,0,test,14,Basalt,Peridotite,8,FALSE,2,7,,,,,,,,,,,,,,,,,
,,,,,,,,,,,html-keyboard-response,34,2.0.0,655279,5b233660648d5b0001b7de87,3,33,null,,,,,,,,,<p style='font-size: 30px;'><strong>Okay</strong></p>,null,neutral_feedback,0,test,14,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,html-button-response,35,2.0.0,659755,5b233660648d5b0001b7de87,3,33,4473,,,,,,,,,"<img src= ""rock_img/I_Basalt_06.jpg"" style=""width:8cm; height:7.06cm;""><p>What type of rock is this?</p>",4,class_response,0,test,15,Obsidian,Basalt,6,FALSE,5,2,,,,,,,,,,,,,,,,,
