width,height,webaudio,browser,browser_version,mobile,os,fullscreen,vsync_rate,webcam,microphone,trial_type,trial_index,plugin_version,time_elapsed,subjID,condition,stimID,rt,url,success,value,timeout,failed_images,failed_audio,failed_video,view_history,stimulus,response,trialType,cycle,phase,trial,resp,cat,token,corr,resp_num,cat_num,rt_ref,rt_paired,ref_cat_num,paired_cat_num,ref_cat,paired_cat,text_Pegmatite,text_Andesite,time_obs,time_resp,text_Peridotite,text_Gabbro,time_fb1,time_fb2,text_Diorite,text_Pumice
,,,,,,,,,,,html-button-response,19,2.0.0,313171,66293ce3dba0764775195e58,4,50,25116,,,,,,,,,"<img src= ""rock_img/I_Peridotite_02.jpg"" style=""width:8cm; height:5.859999999999999cm;""><p>What type of rock is this?</p>",2,class_response,0,test,7,Diorite,Peridotite,2,FALSE,3,7,,,,,,,,,,,,,,,,
,,,,,,,,,,,html-keyboard-response,20,2.0.0,313683,66293ce3dba0764775195e58,4,50,null,,,,,,,,,<p style='font-size: 30px;'><strong>Okay</strong></p>,null,neutral_feedback,0,test,7,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,html-button-response,21,2.0.0,329742,66293ce3dba0764775195e58,4,50,16056,,,,,,,,,"<img src= ""rock_img/I_Basalt_10.jpg"" style=""width:8cm; height:5.85cm;""><p>What type of rock is this?</p>",1,class_response,0,test,8,Basalt,Basalt,10,TRUE,2,2,,,,,,,,,,,,,,,,
,,,,,,,,,,,html-keyboard-response,22,2.0.0,330257,66293ce3dba0764775195e58,4,50,null,,,,,,,,,<p style='font-size: 30px;'><strong>Okay</strong></p>,null,neutral_feedback,0,test,8,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,html-button-response,23,2.0.0,334436,66293ce3dba0764775195e58,4,50,4177,,,,,,,,,"<img src= ""rock_img/I_Andesite_09.jpg"" style=""width:8cm; height:6cm;""><p>What type of rock is this?</p>",0,class_response,0,test,9,Andesite,Andesite,9,TRUE,1,1,,,,,,,,,,,,,,,,
,,,,,,,,,,,html-keyboard-response,24,2.0.0,334952,66293ce3dba0764775195e58,4,50,null,,,,,,,,,<p style='font-size: 30px;'><strong>Okay</strong></p>,null,neutral_feedback,0,test,9,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,html-button-response,25,2.0.0,354278,66293ce3dba0764775195e58,4,50,19324,,,,,,,,,"<img src= ""rock_img/I_Pumice_05.jpg"" style=""width:8cm; height:7.25cm;""><p>What type of rock is this?</p>",7,class_response,0,test,10,Pumice,Pumice,5,TRUE,8,8,,,,,,,,,,,,,,,,
,,,,,,,,,,,html-keyboard-response,26,2.0.0,354794,66293ce3dba0764775195e58,4,50,null,,,,,,,,,<p style='font-size: 30px;'><strong>Okay</strong></p>,null,neutral_feedback,0,test,10,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,html-button-response,27,2.0.0,359315,66293ce3dba0764775195e58,4,50,4519,,,,,,,,,"<img src= ""rock_img/I_Andesite_01.jpg"" style=""width:8cm; height:5.87cm;""><p>What type of rock is this?</p>",3,class_response,0,test,11,Gabbro,Andesite,1,FALSE,4,1,,,,,,,,,,,,,,,,
,,,,,,,,,,,html-keyboard-response,28,2.0.0,359819,66293ce3dba0764775195e58,4,50,null,,,,,,,,,<p style='font-size: 30px;'><strong>Okay</strong></p>,null,neutral_feedback,0,test,11,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,html-button-response,29,2.0.0,370353,66293ce3dba0764775195e58,4,50,10533,,,,,,,,,"<img src= ""rock_img/I_Gabbro_10.jpg"" style=""width:8cm; height:5.680000000000001cm;""><p>What type of rock is this?</p>",5,class_response,0,test,12,Pegmatite,Gabbro,10,FALSE,6,4,,,,,,,,,,,,,,,,
,,,,,,,,,,,html-keyboard-response,30,2.0.0,370859,66293ce3dba0764775195e58,4,50,null,,,,,,,,,<p style='font-size: 30px;'><strong>Okay</strong></p>,null,neutral_feedback,0,test,12,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,html-button-response,31,2.0.0,380198,66293ce3dba0764775195e58,4,50,9338,,,,,,,,,"<img src= ""rock_img/I_Peridotite_15.jpg"" style=""width:8cm; height:6cm;""><p>What type of rock is this?</p>",5,class_response,0,test,13,Pegmatite,Peridotite,15,FALSE,6,7,,,,,,,,,,,,,,,,
,,,,,,,,,,,html-keyboard-response,32,2.0.0,380710,66293ce3dba0764775195e58,4,50,null,,,,,,,,,<p style='font-size: 30px;'><strong>Okay</strong></p>,null,neutral_feedback,0,test,13,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,html-button-response,33,2.0.0,386642,66293ce3dba0764775195e58,4,50,5930,,,,,,,,,"<img src= ""rock_img/I_Gabbro_05.jpg"" style=""width:8cm; height:6cm;""><p>What type of rock is this?</p>",0,class_response,0,test,14,Andesite,Gabbro,5,FALSE,1,4,,,,,,,,,,,,,,,,
,,,,,,,,,,,html-keyboard-response,34,2.0.0,387153,66293ce3dba0764775195e58,4,50,null,,,,,,,,,<p style='font-size: 30px;'><strong>Okay</strong></p>,null,neutral_feedback,0,test,14,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,html-button-response,35,2.0.0,390515,66293ce3dba0764775195e58,4,50,3360,,,,,,,,,"<img src= ""rock_img/I_Obsidian_11.jpg"" style=""width:8cm; height:6.05cm;""><p>What type of rock is this?</p>",1,class_response,0,test,15,Basalt,Obsidian,11,FALSE,2,5,,,,,,,,,,,,,,,,
,,,,,,,,,,,html-keyboard-response,36,2.0.0,391021,66293ce3dba0764775195e58,4,50,null,,,,,,,,,<p style='font-size: 30px;'><strong>Okay</strong></p>,null,neutral_feedback,0,test,15,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,html-button-response,37,2.0.0,398123,66293ce3dba0764775195e58,4,50,7100,,,,,,,,,"<img src= ""rock_img/I_Pegmatite_12.jpg"" style=""width:8cm; height:5.7cm;""><p>What type of rock is this?</p>",5,class_response,0,test,16,Pegmatite,Pegmatite,12,TRUE,6,6,,,,,,,,,,,,,,,,
,,,,,,,,,,,html-keyboard-response,38,2.0.0,398626,66293ce3dba0764775195e58,4,50,null,,,,,,,,,<p style='font-size: 30px;'><strong>Okay</strong></p>,null,neutral_feedback,0,test,16,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,html-button-response,39,2.0.0,406191,66293ce3dba0764775195e58,4,50,7563,,,,,,,,,"<img src= ""rock_img/I_Gabbro_08.jpg"" style=""width:8cm; height:5.15cm;""><p>What type of rock is this?</p>",3,class_response,0,test,17,Gabbro,Gabbro,8,TRUE,4,4,,,,,,,,,,,,,,,,
,,,,,,,,,,,html-keyboard-response,40,2.0.0,406708,66293ce3dba0764775195e58,4,50,null,,,,,,,,,<p style='font-size: 30px;'><strong>Okay</strong></p>,null,neutral_feedback,0,test,17,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,html-button-response,41,2.0.0,409040,66293ce3dba0764775195e58,4,50,2331,,,,,,,,,"<img src= ""rock_img/I_Gabbro_15.jpg"" style=""width:8cm; height:6.29cm;""><p>What type of rock is this?</p>",3,class_response,0,test,18,Gabbro,Gabbro,15,TRUE,4,4,,,,,,,,,,,,,,,,
,,,,,,,,,,,html-keyboard-response,42,2.0.0,409547,66293ce3dba0764775195e58,4,50,null,,,,,,,,,<p style='font-size: 30px;'><strong>Okay</strong></p>,null,neutral_feedback,0,test,18,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,html-button-response,43,2.0.0,414628,66293ce3dba0764775195e58,4,50,5079,,,,,,,,,"<img src= ""rock_img/I_Diorite_09.jpg"" style=""width:8cm; height:5.27cm;""><p>What type of rock is this?</p>",2,class_response,0,test,19,Diorite,Diorite,9,TRUE,3,3,,,,,,,,,,,,,,,,
,,,,,,,,,,,html-keyboard-response,44,2.0.0,415137,66293ce3dba0764775195e58,4,50,null,,,,,,,,,<p style='font-size: 30px;'><strong>Okay</strong></p>,null,neutral_feedback,0,test,19,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,html-button-response,45,2.0.0,430937,66293ce3dba0764775195e58,4,50,15798,,,,,,,,,"<img src= ""rock_img/I_Pegmatite_03.jpg"" style=""width:8cm; height:5.239999999999999cm;""><p>What type of rock is this?</p>",5,class_response,0,test,20,Pegmatite,Pegmatite,3,TRUE,6,6,,,,,,,,,,,,,,,,
,,,,,,,,,,,html-keyboard-response,46,2.0.0,431447,66293ce3dba0764775195e58,4,50,null,,,,,,,,,<p style='font-size: 30px;'><strong>Okay</strong></p>,null,neutral_feedback,0,test,20,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,html-button-response,47,2.0.0,436393,66293ce3dba0764775195e58,4,50,4944,,,,,,,,,"<img src= ""rock_img/I_Andesite_10.jpg"" style=""width:8cm; height:4.16cm;""><p>What type of rock is this?</p>",6,class_response,0,test,21,Peridotite,Andesite,10,FALSE,7,1,,,,,,,,,,,,,,,,
,,,,,,,,,,,html-keyboard-response,48,2.0.0,436894,66293ce3dba0764775195e58,4,50,null,,,,,,,,,<p style='font-size: 30px;'><strong>Okay</strong></p>,null,neutral_feedback,0,test,21,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,html-button-response,49,2.0.0,438660,66293ce3dba0764775195e58,4,50,1765,,,,,,,,,"<img src= ""rock_img/I_Pumice_04.jpg"" style=""width:8cm; height:6.819999999999999cm;""><p>What type of rock is this?</p>",7,class_response,0,test,22,Pumice,Pumice,4,TRUE,8,8,,,,,,,,,,,,,,,,
,,,,,,,,,,,html-keyboard-response,50,2.0.0,439173,66293ce3dba0764775195e58,4,50,null,,,,,,,,,<p style='font-size: 30px;'><strong>Okay</strong></p>,null,neutral_feedback,0,test,22,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,html-button-response,51,2.0.0,443828,66293ce3dba0764775195e58,4,50,4652,,,,,,,,,"<img src= ""rock_img/I_Obsidian_06.jpg"" style=""width:8cm; height:6.8cm;""><p>What type of rock is this?</p>",4,class_response,0,test,23,Obsidian,Obsidian,6,TRUE,5,5,,,,,,,,,,,,,,,,
,,,,,,,,,,,html-keyboard-response,52,2.0.0,444337,66293ce3dba0764775195e58,4,50,null,,,,,,,,,<p style='font-size: 30px;'><strong>Okay</strong></p>,null,neutral_feedback,0,test,23,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,html-button-response,53,2.0.0,455768,66293ce3dba0764775195e58,4,50,11429,,,,,,,,,"<img src= ""rock_img/I_Pegmatite_16.jpg"" style=""width:8cm; height:5.8cm;""><p>What type of rock is this?</p>",2,class_response,0,test,24,Diorite,Pegmatite,16,FALSE,3,6,,,,,,,,,,,,,,,,
,,,,,,,,,,,html-keyboard-response,54,2.0.0,456269,66293ce3dba0764775195e58,4,50,null,,,,,,,,,<p style='font-size: 30px;'><strong>Okay</strong></p>,null,neutral_feedback,0,test,24,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,html-button-response,55,2.0.0,461310,66293ce3dba0764775195e58,4,50,5038,,,,,,,,,"<img src= ""rock_img/I_Gabbro_11.jpg"" style=""width:8cm; height:6.2cm;""><p>What type of rock is this?</p>",3,class_response,0,test,25,Gabbro,Gabbro,11,TRUE,4,4,,,,,,,,,,,,,,,,
,,,,,,,,,,,html-keyboard-response,56,2.0.0,461814,66293ce3dba0764775195e58,4,50,null,,,,,,,,,<p style='font-size: 30px;'><strong>Okay</strong></p>,null,neutral_feedback,0,test,25,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,html-button-response,57,2.0.0,466440,66293ce3dba0764775195e58,4,50,4624,,,,,,,,,"<img src= ""rock_img/I_Obsidian_14.jpg"" style=""width:8cm; height:7.64cm;""><p>What type of rock is this?</p>",1,class_response,0,test,26,Basalt,Obsidian,14,FALSE,2,5,,,,,,,,,,,,,,,,
,,,,,,,,,,,html-keyboard-response,58,2.0.0,466946,66293ce3dba0764775195e58,4,50,null,,,,,,,,,<p style='font-size: 30px;'><strong>Okay</strong></p>,null,neutral_feedback,0,test,26,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,html-button-response,59,2.0.0,478872,66293ce3dba0764775195e58,4,50,11924,,,,,,,,,"<img src= ""rock_img/I_Peridotite_14.jpg"" style=""width:8cm; height:5.3cm;""><p>What type of rock is this?</p>",5,class_response,0,test,27,Pegmatite,Peridotite,14,FALSE,6,7,,,,,,,,,,,,,,,,
,,,,,,,,,,,html-keyboard-response,60,2.0.0,479382,66293ce3dba0764775195e58,4,50,null,,,,,,,,,<p style='font-size: 30px;'><strong>Okay</strong></p>,null,neutral_feedback,0,test,27,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,html-button-response,61,2.0.0,482421,66293ce3dba0764775195e58,4,50,3037,,,,,,,,,"<img src= ""rock_img/I_Diorite_10.jpg"" style=""width:8cm; height:5.949999999999999cm;""><p>What type of rock is this?</p>",6,class_response,0,test,28,Peridotite,Diorite,10,FALSE,7,3,,,,,,,,,,,,,,,,
,,,,,,,,,,,html-keyboard-response,62,2.0.0,482936,66293ce3dba0764775195e58,4,50,null,,,,,,,,,<p style='font-size: 30px;'><strong>Okay</strong></p>,null,neutral_feedback,0,test,28,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,html-button-response,63,2.0.0,483917,66293ce3dba0764775195e58,4,50,980,,,,,,,,,"<img src= ""rock_img/I_Diorite_11.jpg"" style=""width:8cm; height:7.11cm;""><p>What type of rock is this?</p>",6,class_response,0,test,29,Peridotite,Diorite,11,FALSE,7,3,,,,,,,,,,,,,,,,
,,,,,,,,,,,html-keyboard-response,64,2.0.0,484425,66293ce3dba0764775195e58,4,50,null,,,,,,,,,<p style='font-size: 30px;'><strong>Okay</strong></p>,null,neutral_feedback,0,test,29,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,html-button-response,65,2.0.0,486074,66293ce3dba0764775195e58,4,50,1646,,,,,,,,,"<img src= ""rock_img/I_Pumice_10.jpg"" style=""width:8cm; height:7.609999999999999cm;""><p>What type of rock is this?</p>",7,class_response,0,test,30,Pumice,Pumice,10,TRUE,8,8,,,,,,,,,,,,,,,,
,,,,,,,,,,,html-keyboard-response,66,2.0.0,486587,66293ce3dba0764775195e58,4,50,null,,,,,,,,,<p style='font-size: 30px;'><strong>Okay</strong></p>,null,neutral_feedback,0,test,30,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,html-button-response,67,2.0.0,492073,66293ce3dba0764775195e58,4,50,5484,,,,,,,,,"<img src= ""rock_img/I_Andesite_11.jpg"" style=""width:8cm; height:4.92cm;""><p>What type of rock is this?</p>",0,class_response,0,test,31,Andesite,Andesite,11,TRUE,1,1,,,,,,,,,,,,,,,,
,,,,,,,,,,,html-keyboard-response,68,2.0.0,492574,66293ce3dba0764775195e58,4,50,null,,,,,,,,,<p style='font-size: 30px;'><strong>Okay</strong></p>,null,neutral_feedback,0,test,31,,,,,,,,,,,,,,,,,,,,,,
