width,height,webaudio,browser,browser_version,mobile,os,fullscreen,vsync_rate,webcam,microphone,trial_type,trial_index,plugin_version,time_elapsed,subjID,condition,stimID,rt,url,success,value,timeout,failed_images,failed_audio,failed_video,view_history,stimulus,response,trialType,cycle,phase,trial,resp,cat,token,corr,resp_num,cat_num,rt_ref,rt_paired,ref_cat_num,paired_cat_num,ref_cat,paired_cat,text_Basalt,text_Peridotite,time_obs,time_resp,text_Diorite,text_Obsidian,text_Andesite,time_fb1,time_fb2,text_Gabbro,text_Pegmatite,text_Pumice
1366,633,TRUE,chrome,131.0.0,FALSE,Windows 10,TRUE,61.01,TRUE,TRUE,browser-check,0,2.0.0,1011,670efc8f27af6732888de1d8,4,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,external-html,1,2.0.0,10448,670efc8f27af6732888de1d8,4,42,9338,consent_form.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,fullscreen,2,2.0.0,12849,670efc8f27af6732888de1d8,4,42,1393,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,call-function,3,2.0.0,12854,670efc8f27af6732888de1d8,4,42,,,,{},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,preload,4,2.0.0,16061,670efc8f27af6732888de1d8,4,42,,,TRUE,,FALSE,[],[],[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,instructions,5,2.0.0,49966,670efc8f27af6732888de1d8,4,42,33902,,,,,,,,"[{""page_index"":0,""viewing_time"":5510},{""page_index"":1,""viewing_time"":14712},{""page_index"":2,""viewing_time"":13680}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,html-button-response,6,2.0.0,52583,670efc8f27af6732888de1d8,4,42,2612,,,,,,,,,,0,start_test,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,html-button-response,7,2.0.0,96415,670efc8f27af6732888de1d8,4,42,43827,,,,,,,,,"<img src= ""rock_img/I_Pegmatite_11.jpg"" style=""width:8cm; height:8.14cm;""><p>What type of rock is this?</p>",4,class_response,0,test,1,Obsidian,Pegmatite,11,FALSE,5,6,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,html-keyboard-response,8,2.0.0,96921,670efc8f27af6732888de1d8,4,42,null,,,,,,,,,<p style='font-size: 30px;'><strong>Okay</strong></p>,null,neutral_feedback,0,test,1,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,html-button-response,9,2.0.0,102111,670efc8f27af6732888de1d8,4,42,5185,,,,,,,,,"<img src= ""rock_img/I_Basalt_10.jpg"" style=""width:8cm; height:5.85cm;""><p>What type of rock is this?</p>",7,class_response,0,test,2,Pumice,Basalt,10,FALSE,8,2,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,html-keyboard-response,10,2.0.0,102618,670efc8f27af6732888de1d8,4,42,null,,,,,,,,,<p style='font-size: 30px;'><strong>Okay</strong></p>,null,neutral_feedback,0,test,2,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,html-button-response,11,2.0.0,105359,670efc8f27af6732888de1d8,4,42,2735,,,,,,,,,"<img src= ""rock_img/I_Andesite_07.jpg"" style=""width:8cm; height:5.93cm;""><p>What type of rock is this?</p>",1,class_response,0,test,3,Basalt,Andesite,7,FALSE,2,1,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,html-keyboard-response,12,2.0.0,105865,670efc8f27af6732888de1d8,4,42,null,,,,,,,,,<p style='font-size: 30px;'><strong>Okay</strong></p>,null,neutral_feedback,0,test,3,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,html-button-response,13,2.0.0,109079,670efc8f27af6732888de1d8,4,42,3209,,,,,,,,,"<img src= ""rock_img/I_Pegmatite_16.jpg"" style=""width:8cm; height:5.8cm;""><p>What type of rock is this?</p>",6,class_response,0,test,4,Peridotite,Pegmatite,16,FALSE,7,6,,,,,,,,,,,,,,,,,,
