width,height,webaudio,browser,browser_version,mobile,os,fullscreen,vsync_rate,webcam,microphone,trial_type,trial_index,plugin_version,time_elapsed,subjID,condition,stimID,rt,url,success,value,timeout,failed_images,failed_audio,failed_video,view_history,stimulus,response,trialType,cycle,phase,trial,resp,cat,token,corr,resp_num,cat_num,rt_ref,rt_paired,ref_cat_num,paired_cat_num,ref_cat,paired_cat,text_Andesite,text_Basalt,time_obs,time_resp,text_Gabbro,text_Diorite,text_Peridotite,text_Pegmatite,time_fb1,time_fb2,text_Obsidian
,,,,,,,,,,,html-keyboard-response,12,2.0.0,195389,66ca332e94754270be72c08f,4,14,null,,,,,,,,,<p style='font-size: 30px;'><strong>Okay</strong></p>,null,neutral_feedback,0,test,3,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,html-button-response,13,2.0.0,226339,66ca332e94754270be72c08f,4,14,30946,,,,,,,,,"<img src= ""rock_img/I_Peridotite_05.jpg"" style=""width:8cm; height:7.1499999999999995cm;""><p>What type of rock is this?</p>",1,class_response,0,test,4,Basalt,Peridotite,5,FALSE,2,7,,,,,,,,,,,,,,,,,
,,,,,,,,,,,html-keyboard-response,14,2.0.0,226849,66ca332e94754270be72c08f,4,14,null,,,,,,,,,<p style='font-size: 30px;'><strong>Okay</strong></p>,null,neutral_feedback,0,test,4,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,html-button-response,15,2.0.0,252249,66ca332e94754270be72c08f,4,14,25395,,,,,,,,,"<img src= ""rock_img/I_Basalt_02.jpg"" style=""width:8cm; height:6.45cm;""><p>What type of rock is this?</p>",0,class_response,0,test,5,Andesite,Basalt,2,FALSE,1,2,,,,,,,,,,,,,,,,,
,,,,,,,,,,,html-keyboard-response,16,2.0.0,252764,66ca332e94754270be72c08f,4,14,null,,,,,,,,,<p style='font-size: 30px;'><strong>Okay</strong></p>,null,neutral_feedback,0,test,5,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,html-button-response,17,2.0.0,275444,66ca332e94754270be72c08f,4,14,22675,,,,,,,,,"<img src= ""rock_img/I_Pumice_04.jpg"" style=""width:8cm; height:6.819999999999999cm;""><p>What type of rock is this?</p>",7,class_response,0,test,6,Pumice,Pumice,4,TRUE,8,8,,,,,,,,,,,,,,,,,
,,,,,,,,,,,html-keyboard-response,18,2.0.0,275958,66ca332e94754270be72c08f,4,14,null,,,,,,,,,<p style='font-size: 30px;'><strong>Okay</strong></p>,null,neutral_feedback,0,test,6,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,html-button-response,19,2.0.0,297459,66ca332e94754270be72c08f,4,14,21496,,,,,,,,,"<img src= ""rock_img/I_Andesite_02.jpg"" style=""width:8cm; height:8.5cm;""><p>What type of rock is this?</p>",3,class_response,0,test,7,Gabbro,Andesite,2,FALSE,4,1,,,,,,,,,,,,,,,,,
,,,,,,,,,,,html-keyboard-response,20,2.0.0,297972,66ca332e94754270be72c08f,4,14,null,,,,,,,,,<p style='font-size: 30px;'><strong>Okay</strong></p>,null,neutral_feedback,0,test,7,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,html-button-response,21,2.0.0,317648,66ca332e94754270be72c08f,4,14,19671,,,,,,,,,"<img src= ""rock_img/I_Gabbro_14.jpg"" style=""width:8cm; height:8.48cm;""><p>What type of rock is this?</p>",6,class_response,0,test,8,Peridotite,Gabbro,14,FALSE,7,4,,,,,,,,,,,,,,,,,
,,,,,,,,,,,html-keyboard-response,22,2.0.0,318153,66ca332e94754270be72c08f,4,14,null,,,,,,,,,<p style='font-size: 30px;'><strong>Okay</strong></p>,null,neutral_feedback,0,test,8,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,html-button-response,23,2.0.0,345875,66ca332e94754270be72c08f,4,14,27717,,,,,,,,,"<img src= ""rock_img/I_Peridotite_10.jpg"" style=""width:8cm; height:5.390000000000001cm;""><p>What type of rock is this?</p>",2,class_response,0,test,9,Diorite,Peridotite,10,FALSE,3,7,,,,,,,,,,,,,,,,,
,,,,,,,,,,,html-keyboard-response,24,2.0.0,346388,66ca332e94754270be72c08f,4,14,null,,,,,,,,,<p style='font-size: 30px;'><strong>Okay</strong></p>,null,neutral_feedback,0,test,9,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,html-button-response,25,2.0.0,370501,66ca332e94754270be72c08f,4,14,24109,,,,,,,,,"<img src= ""rock_img/I_Pegmatite_03.jpg"" style=""width:8cm; height:5.239999999999999cm;""><p>What type of rock is this?</p>",5,class_response,0,test,10,Pegmatite,Pegmatite,3,TRUE,6,6,,,,,,,,,,,,,,,,,
,,,,,,,,,,,html-keyboard-response,26,2.0.0,371017,66ca332e94754270be72c08f,4,14,null,,,,,,,,,<p style='font-size: 30px;'><strong>Okay</strong></p>,null,neutral_feedback,0,test,10,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,html-button-response,27,2.0.0,405211,66ca332e94754270be72c08f,4,14,34205,,,,,,,,,"<img src= ""rock_img/I_Pegmatite_09.jpg"" style=""width:8cm; height:4.03cm;""><p>What type of rock is this?</p>",2,class_response,0,test,11,Diorite,Pegmatite,9,FALSE,3,6,,,,,,,,,,,,,,,,,
