"width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone","trial_type","trial_index","plugin_version","time_elapsed","subjID","condition","stimID","rt","url","success","value","timeout","failed_images","failed_audio","failed_video","view_history","stimulus","response","trialType","cycle","phase","trial","resp","cat","token","corr","resp_num","cat_num","ref_cat_num","paired_cat_num","time_obs","ref_cat","paired_cat","ref_prob_dist","paired_prob_dist","text_Pegmatite","text_Peridotite","time_resp","text_Andesite","text_Gabbro","text_Diorite","time_fb1","time_fb2","text_Basalt","text_Obsidian"
"1402","691","true","chrome","116.0.0","false","Mac OS","true","61.68","true","true","browser-check","0","2.0.0","1042","6716dbd9972460c6b51bffc5","3","11","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","external-html","1","2.0.0","15633","6716dbd9972460c6b51bffc5","3","11","14495","consent_form.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","fullscreen","2","2.0.0","20345","6716dbd9972460c6b51bffc5","3","11","3698","","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","call-function","3","2.0.0","20349","6716dbd9972460c6b51bffc5","3","11","","","","{}","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","preload","4","2.0.0","22527","6716dbd9972460c6b51bffc5","3","11","","","true","","false","[]","[]","[]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","instructions","5","2.0.0","70577","6716dbd9972460c6b51bffc5","3","11","48047","","","","","","","","[{""page_index"":0,""viewing_time"":6812},{""page_index"":1,""viewing_time"":16550},{""page_index"":2,""viewing_time"":24684}]","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","6","2.0.0","73125","6716dbd9972460c6b51bffc5","3","11","2543","","","","","","","","","","0","start_test","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","7","2.0.0","84316","6716dbd9972460c6b51bffc5","3","11","11186","","","","","","","","","<img src= ""rock_img/I_Pumice_10.jpg"" style=""width:8cm; height:7.609999999999999cm;""><p>What type of rock is this?</p>","7","class_response","0","test","1","Pumice","Pumice","10","true","8","8","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-keyboard-response","8","2.0.0","84827","6716dbd9972460c6b51bffc5","3","11","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","1","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","9","2.0.0","92561","6716dbd9972460c6b51bffc5","3","11","7731","","","","","","","","","<img src= ""rock_img/I_Diorite_08.jpg"" style=""width:8cm; height:6.37cm;""><p>What type of rock is this?</p>","0","class_response","0","test","2","Andesite","Diorite","08","false","1","3","","","","","","","","","","","","","","","","",""
