"width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone","trial_type","trial_index","plugin_version","time_elapsed","subjID","condition","stimID","rt","url","success","value","timeout","failed_images","failed_audio","failed_video","view_history","stimulus","response","trialType","cycle","phase","trial","resp","cat","token","corr","resp_num","cat_num","ref_cat_num","paired_cat_num","time_obs","ref_cat","paired_cat","ref_prob_dist","paired_prob_dist","text_Diorite","text_Gabbro","time_resp","text_Andesite","text_Pumice","text_Obsidian","text_Pegmatite","time_fb1","time_fb2","text_Basalt","text_Peridotite"
"1920","945","true","chrome","131.0.0","false","Windows 10","true","60.11","false","false","browser-check","0","2.0.0","1015","63d156100e702f67d226f892","3","18","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","external-html","1","2.0.0","15572","63d156100e702f67d226f892","3","18","14497","consent_form.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","fullscreen","2","2.0.0","19083","63d156100e702f67d226f892","3","18","2506","","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","call-function","3","2.0.0","19086","63d156100e702f67d226f892","3","18","","","","{}","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","preload","4","2.0.0","20137","63d156100e702f67d226f892","3","18","","","true","","false","[]","[]","[]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","instructions","5","2.0.0","53437","63d156100e702f67d226f892","3","18","33299","","","","","","","","[{""page_index"":0,""viewing_time"":4743},{""page_index"":1,""viewing_time"":20536},{""page_index"":2,""viewing_time"":8020}]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","6","2.0.0","55129","63d156100e702f67d226f892","3","18","1691","","","","","","","","","","0","start_test","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","7","2.0.0","62985","63d156100e702f67d226f892","3","18","7855","","","","","","","","","<img src= ""rock_img/I_Basalt_04.jpg"" style=""width:8cm; height:7.53cm;""><p>What type of rock is this?</p>","1","class_response","0","test","1","Basalt","Basalt","04","true","2","2","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-keyboard-response","8","2.0.0","63491","63d156100e702f67d226f892","3","18","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","1","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","9","2.0.0","71595","63d156100e702f67d226f892","3","18","8102","","","","","","","","","<img src= ""rock_img/I_Gabbro_09.jpg"" style=""width:8cm; height:7.279999999999999cm;""><p>What type of rock is this?</p>","5","class_response","0","test","2","Pegmatite","Gabbro","09","false","6","4","","","","","","","","","","","","","","","","","",""
