"width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone","trial_type","trial_index","plugin_version","time_elapsed","subjID","condition","stimID","rt","url","success","value","timeout","failed_images","failed_audio","failed_video","view_history","stimulus","response","trialType","cycle","phase","trial","resp","cat","token","corr","resp_num","cat_num","ref_cat_num","paired_cat_num","time_obs","ref_cat","paired_cat","ref_prob_dist","paired_prob_dist","text_Diorite","text_Peridotite","time_resp","text_Basalt","text_Gabbro","text_Pegmatite","time_fb1","time_fb2","text_Andesite","text_Pumice"
"1440","778","true","chrome","130.0.0","false","Mac OS","true","60.96","true","true","browser-check","0","2.0.0","1001","66ba7dea255d9599c5c0da4e","3","21","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","external-html","1","2.0.0","33824","66ba7dea255d9599c5c0da4e","3","21","32709","consent_form.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","fullscreen","2","2.0.0","36125","66ba7dea255d9599c5c0da4e","3","21","1296","","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","call-function","3","2.0.0","36129","66ba7dea255d9599c5c0da4e","3","21","","","","{}","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","preload","4","2.0.0","47661","66ba7dea255d9599c5c0da4e","3","21","","","true","","false","[]","[]","[]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","instructions","5","2.0.0","86063","66ba7dea255d9599c5c0da4e","3","21","38400","","","","","","","","[{""page_index"":0,""viewing_time"":6406},{""page_index"":1,""viewing_time"":21649},{""page_index"":2,""viewing_time"":10345}]","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","6","2.0.0","87970","66ba7dea255d9599c5c0da4e","3","21","1905","","","","","","","","","","0","start_test","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","7","2.0.0","90675","66ba7dea255d9599c5c0da4e","3","21","2703","","","","","","","","","<img src= ""rock_img/I_Andesite_02.jpg"" style=""width:8cm; height:8.5cm;""><p>What type of rock is this?</p>","0","class_response","0","test","1","Andesite","Andesite","02","true","1","1","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-keyboard-response","8","2.0.0","91178","66ba7dea255d9599c5c0da4e","3","21","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","1","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","9","2.0.0","93690","66ba7dea255d9599c5c0da4e","3","21","2511","","","","","","","","","<img src= ""rock_img/I_Pumice_04.jpg"" style=""width:8cm; height:6.819999999999999cm;""><p>What type of rock is this?</p>","2","class_response","0","test","2","Diorite","Pumice","04","false","3","8","","","","","","","","","","","","","","","","",""
