"width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone","trial_type","trial_index","plugin_version","time_elapsed","subjID","condition","stimID","rt","url","success","value","timeout","failed_images","failed_audio","failed_video","view_history","stimulus","response","trialType","cycle","phase","trial","resp","cat","token","corr","resp_num","cat_num","ref_cat_num","paired_cat_num","time_obs","ref_cat","paired_cat","ref_prob_dist","paired_prob_dist","text_Diorite","text_Pegmatite","time_resp","text_Basalt","text_Peridotite","time_fb1","time_fb2","text_Andesite","text_Gabbro","text_Obsidian"
"1548","1235","true","chrome","130.0.0","false","Windows 10","true","125.31","true","false","browser-check","0","2.0.0","489","671f6b77962ddec1fbb955e5","3","16","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","external-html","1","2.0.0","4039","671f6b77962ddec1fbb955e5","3","16","3471","consent_form.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","fullscreen","2","2.0.0","12547","671f6b77962ddec1fbb955e5","3","16","7502","","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","call-function","3","2.0.0","12548","671f6b77962ddec1fbb955e5","3","16","","","","{}","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","preload","4","2.0.0","15420","671f6b77962ddec1fbb955e5","3","16","","","true","","false","[]","[]","[]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","instructions","5","2.0.0","59698","671f6b77962ddec1fbb955e5","3","16","44276","","","","","","","","[{""page_index"":0,""viewing_time"":10542},{""page_index"":1,""viewing_time"":23703},{""page_index"":2,""viewing_time"":10031}]","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","6","2.0.0","61670","671f6b77962ddec1fbb955e5","3","16","1971","","","","","","","","","","0","start_test","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","7","2.0.0","113924","671f6b77962ddec1fbb955e5","3","16","52252","","","","","","","","","<img src= ""rock_img/I_Pumice_09.jpg"" style=""width:8cm; height:6.44cm;""><p>What type of rock is this?</p>","7","class_response","0","test","1","Pumice","Pumice","09","true","8","8","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-keyboard-response","8","2.0.0","114425","671f6b77962ddec1fbb955e5","3","16","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","1","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","9","2.0.0","144502","671f6b77962ddec1fbb955e5","3","16","30076","","","","","","","","","<img src= ""rock_img/I_Diorite_15.jpg"" style=""width:8cm; height:5.54cm;""><p>What type of rock is this?</p>","2","class_response","0","test","2","Diorite","Diorite","15","true","3","3","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-keyboard-response","10","2.0.0","145007","671f6b77962ddec1fbb955e5","3","16","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","2","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","11","2.0.0","164129","671f6b77962ddec1fbb955e5","3","16","19121","","","","","","","","","<img src= ""rock_img/I_Andesite_04.jpg"" style=""width:8cm; height:5.96cm;""><p>What type of rock is this?</p>","7","class_response","0","test","3","Pumice","Andesite","04","false","8","1","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-keyboard-response","12","2.0.0","164643","671f6b77962ddec1fbb955e5","3","16","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","3","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","13","2.0.0","175224","671f6b77962ddec1fbb955e5","3","16","10580","","","","","","","","","<img src= ""rock_img/I_Diorite_11.jpg"" style=""width:8cm; height:7.11cm;""><p>What type of rock is this?</p>","2","class_response","0","test","4","Diorite","Diorite","11","true","3","3","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-keyboard-response","14","2.0.0","175727","671f6b77962ddec1fbb955e5","3","16","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","4","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","15","2.0.0","184236","671f6b77962ddec1fbb955e5","3","16","8507","","","","","","","","","<img src= ""rock_img/I_Pumice_14.jpg"" style=""width:8cm; height:6.39cm;""><p>What type of rock is this?</p>","7","class_response","0","test","5","Pumice","Pumice","14","true","8","8","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-keyboard-response","16","2.0.0","184752","671f6b77962ddec1fbb955e5","3","16","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","5","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","17","2.0.0","194686","671f6b77962ddec1fbb955e5","3","16","9933","","","","","","","","","<img src= ""rock_img/I_Pegmatite_03.jpg"" style=""width:8cm; height:5.239999999999999cm;""><p>What type of rock is this?</p>","2","class_response","0","test","6","Diorite","Pegmatite","03","false","3","6","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-keyboard-response","18","2.0.0","195188","671f6b77962ddec1fbb955e5","3","16","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","6","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","19","2.0.0","203191","671f6b77962ddec1fbb955e5","3","16","8001","","","","","","","","","<img src= ""rock_img/I_Andesite_14.jpg"" style=""width:8cm; height:5.449999999999999cm;""><p>What type of rock is this?</p>","0","class_response","0","test","7","Andesite","Andesite","14","true","1","1","","","","","","","","","","","","","","","","",""
