"width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone","trial_type","trial_index","plugin_version","time_elapsed","subjID","condition","stimID","rt","url","success","value","timeout","failed_images","failed_audio","failed_video","view_history","stimulus","response","trialType","cycle","phase","trial","resp","cat","token","corr","resp_num","cat_num","ref_cat_num","paired_cat_num","time_obs","ref_cat","paired_cat","ref_prob_dist","paired_prob_dist","text_Basalt","text_Gabbro","time_resp","text_Andesite","text_Peridotite","text_Pumice","time_fb1","time_fb2"
"1280","631","true","chrome","130.0.0","false","Windows 10","true","60.62","true","true","browser-check","0","2.0.0","1001","667f52753697ee3c2bdb9976","3","14","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","external-html","1","2.0.0","6476","667f52753697ee3c2bdb9976","3","14","5380","consent_form.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","fullscreen","2","2.0.0","11364","667f52753697ee3c2bdb9976","3","14","3881","","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","call-function","3","2.0.0","11366","667f52753697ee3c2bdb9976","3","14","","","","{}","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","preload","4","2.0.0","14997","667f52753697ee3c2bdb9976","3","14","","","true","","false","[]","[]","[]","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","instructions","5","2.0.0","82902","667f52753697ee3c2bdb9976","3","14","67903","","","","","","","","[{""page_index"":0,""viewing_time"":25470},{""page_index"":1,""viewing_time"":29512},{""page_index"":2,""viewing_time"":12921}]","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","6","2.0.0","85357","667f52753697ee3c2bdb9976","3","14","2453","","","","","","","","","","0","start_test","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","7","2.0.0","117030","667f52753697ee3c2bdb9976","3","14","31673","","","","","","","","","<img src= ""rock_img/I_Basalt_02.jpg"" style=""width:8cm; height:6.45cm;""><p>What type of rock is this?</p>","1","class_response","0","test","1","Basalt","Basalt","02","true","2","2","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-keyboard-response","8","2.0.0","117534","667f52753697ee3c2bdb9976","3","14","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","1","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","9","2.0.0","148307","667f52753697ee3c2bdb9976","3","14","30772","","","","","","","","","<img src= ""rock_img/I_Obsidian_10.jpg"" style=""width:8cm; height:6.260000000000001cm;""><p>What type of rock is this?</p>","4","class_response","0","test","2","Obsidian","Obsidian","10","true","5","5","","","","","","","","","","","","","","",""
