"width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone","trial_type","trial_index","plugin_version","time_elapsed","subjID","condition","stimID","rt","url","success","value","timeout","failed_images","failed_audio","failed_video","view_history","stimulus","response","trialType","cycle","phase","trial","resp","cat","token","corr","resp_num","cat_num","ref_cat_num","paired_cat_num","time_obs","ref_cat","paired_cat","ref_prob_dist","paired_prob_dist","text_Gabbro","text_Peridotite","time_resp","text_Andesite","text_Basalt","text_Pumice","time_fb1","time_fb2","text_Diorite","text_Pegmatite"
"","","","","","","","","","","","html-button-response","247","2.0.0","3282254","66c9f7fd98cb4c8f77f98b27","3","28","1007","","","","","","","","","<img src= rock_img/I_Obsidian_02.jpg style=""width:8cm; height:7.51cm;""><p style='font-size: 30px; color: green;'><strong>Correct!</strong></p><p style='font-size: 30px;'><strong>This rock is obsidian</strong></p>","0","corr_feedback","2","train","4","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","248","2.0.0","3285248","66c9f7fd98cb4c8f77f98b27","3","28","2992","","","","","","","","","<img src= ""rock_img/I_Peridotite_10.jpg"" style=""width:8cm; height:5.390000000000001cm;""><p>What type of rock is this?</p>","6","class_response","2","train","5","Peridotite","Peridotite","10","true","7","7","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","249","2.0.0","3286113","66c9f7fd98cb4c8f77f98b27","3","28","862","","","","","","","","","<img src= rock_img/I_Peridotite_10.jpg style=""width:8cm; height:5.390000000000001cm;""><p style='font-size: 30px; color: green;'><strong>Correct!</strong></p><p style='font-size: 30px;'><strong>This rock is peridotite</strong></p>","0","corr_feedback","2","train","5","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","250","2.0.0","3288128","66c9f7fd98cb4c8f77f98b27","3","28","2013","","","","","","","","","<img src= ""rock_img/I_Basalt_06.jpg"" style=""width:8cm; height:7.06cm;""><p>What type of rock is this?</p>","1","class_response","2","train","6","Basalt","Basalt","06","true","2","2","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","251","2.0.0","3289217","66c9f7fd98cb4c8f77f98b27","3","28","1086","","","","","","","","","<img src= rock_img/I_Basalt_06.jpg style=""width:8cm; height:7.06cm;""><p style='font-size: 30px; color: green;'><strong>Correct!</strong></p><p style='font-size: 30px;'><strong>This rock is basalt</strong></p>","0","corr_feedback","2","train","6","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","252","2.0.0","3292554","66c9f7fd98cb4c8f77f98b27","3","28","3335","","","","","","","","","<img src= ""rock_img/I_Gabbro_14.jpg"" style=""width:8cm; height:8.48cm;""><p>What type of rock is this?</p>","3","class_response","2","train","7","Gabbro","Gabbro","14","true","4","4","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","253","2.0.0","3293518","66c9f7fd98cb4c8f77f98b27","3","28","962","","","","","","","","","<img src= rock_img/I_Gabbro_14.jpg style=""width:8cm; height:8.48cm;""><p style='font-size: 30px; color: green;'><strong>Correct!</strong></p><p style='font-size: 30px;'><strong>This rock is gabbro</strong></p>","0","corr_feedback","2","train","7","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","254","2.0.0","3295047","66c9f7fd98cb4c8f77f98b27","3","28","1526","","","","","","","","","<img src= ""rock_img/I_Pumice_08.jpg"" style=""width:8cm; height:6.67cm;""><p>What type of rock is this?</p>","7","class_response","2","train","8","Pumice","Pumice","08","true","8","8","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","255","2.0.0","3295898","66c9f7fd98cb4c8f77f98b27","3","28","849","","","","","","","","","<img src= rock_img/I_Pumice_08.jpg style=""width:8cm; height:6.67cm;""><p style='font-size: 30px; color: green;'><strong>Correct!</strong></p><p style='font-size: 30px;'><strong>This rock is pumice</strong></p>","0","corr_feedback","2","train","8","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","256","2.0.0","3301609","66c9f7fd98cb4c8f77f98b27","3","28","5708","","","","","","","","","<img src= ""rock_img/I_Andesite_04.jpg"" style=""width:8cm; height:5.96cm;""><p>What type of rock is this?</p>","0","class_response","2","train","9","Andesite","Andesite","04","true","1","1","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","257","2.0.0","3303740","66c9f7fd98cb4c8f77f98b27","3","28","2129","","","","","","","","","<img src= rock_img/I_Andesite_04.jpg style=""width:8cm; height:5.96cm;""><p style='font-size: 30px; color: green;'><strong>Correct!</strong></p><p style='font-size: 30px;'><strong>This rock is andesite</strong></p>","0","corr_feedback","2","train","9","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","258","2.0.0","3305398","66c9f7fd98cb4c8f77f98b27","3","28","1655","","","","","","","","","<img src= ""rock_img/I_Pumice_06.jpg"" style=""width:8cm; height:6.9399999999999995cm;""><p>What type of rock is this?</p>","7","class_response","2","train","10","Pumice","Pumice","06","true","8","8","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","259","2.0.0","3306434","66c9f7fd98cb4c8f77f98b27","3","28","1033","","","","","","","","","<img src= rock_img/I_Pumice_06.jpg style=""width:8cm; height:6.9399999999999995cm;""><p style='font-size: 30px; color: green;'><strong>Correct!</strong></p><p style='font-size: 30px;'><strong>This rock is pumice</strong></p>","0","corr_feedback","2","train","10","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","260","2.0.0","3314625","66c9f7fd98cb4c8f77f98b27","3","28","8188","","","","","","","","","<img src= ""rock_img/I_Basalt_10.jpg"" style=""width:8cm; height:5.85cm;""><p>What type of rock is this?</p>","5","class_response","2","train","11","Pegmatite","Basalt","10","false","6","2","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","261","2.0.0","3316522","66c9f7fd98cb4c8f77f98b27","3","28","1895","","","","","","","","","<img src= rock_img/I_Basalt_10.jpg style=""width:8cm; height:5.85cm;""><p style='font-size: 30px; color: red;'><strong>Incorrect!</strong></p><p style='font-size: 30px;'><strong>This rock is basalt</strong></p>","0","corr_feedback","2","train","11","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","262","2.0.0","3323953","66c9f7fd98cb4c8f77f98b27","3","28","7428","","","","","","","","","<img src= ""rock_img/I_Diorite_08.jpg"" style=""width:8cm; height:6.37cm;""><p>What type of rock is this?</p>","7","class_response","2","train","12","Pumice","Diorite","08","false","8","3","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","263","2.0.0","3325018","66c9f7fd98cb4c8f77f98b27","3","28","1063","","","","","","","","","<img src= rock_img/I_Diorite_08.jpg style=""width:8cm; height:6.37cm;""><p style='font-size: 30px; color: red;'><strong>Incorrect!</strong></p><p style='font-size: 30px;'><strong>This rock is diorite</strong></p>","0","corr_feedback","2","train","12","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","265","2.0.0","3327798","66c9f7fd98cb4c8f77f98b27","3","28","2777","","","","","","","","","","0","start_train","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","266","2.0.0","3332468","66c9f7fd98cb4c8f77f98b27","3","28","","","","","","","","","","","","cat_selection","2","train","1","","","","","","","1","4","4672","Andesite","Gabbro","[0.1919070783147521,0.12111931439137281,0.16347640004589994,0.12111931439137281,0.053524220565661154,0.17421013733390725,0.1103855771033655,0.06425795785366852]","[null,0.29834941480322147,0.07299494650641722,0.28012790465586346,0.02939034919931525,0.12449804947200618,0.07974098400105906,0.11489835136211751]","","","","","","","","","",""
"","","","","","","","","","","","paired-cat-display","267","1.0.0","3562558","66c9f7fd98cb4c8f77f98b27","3","28","","","","","","","","","","","","paired_cat_display","2","train","1","","","","","","","","","6196.899999976158","","","","","slightly even texture.
darker shade of colors","","223882.69999998808","lighter shade of colors.
white patches can be seen.
","","","","","",""
"","","","","","","","","","","","html-button-response","268","2.0.0","3565187","66c9f7fd98cb4c8f77f98b27","3","28","","","","","","","","","","","","cat_selection","2","train","2","","","","","","","1","3","2626.7000000476837","Andesite","Diorite","[0.1919070783147521,0.12111931439137281,0.16347640004589994,0.12111931439137281,0.053524220565661154,0.17421013733390725,0.1103855771033655,0.06425795785366852]","[null,0.29834941480322147,0.07299494650641722,0.28012790465586346,0.02939034919931525,0.12449804947200618,0.07974098400105906,0.11489835136211751]","","","","","","","","","",""
"","","","","","","","","","","","paired-cat-display","269","1.0.0","3779197","66c9f7fd98cb4c8f77f98b27","3","28","","","","","","","","","","","","paired_cat_display","2","train","2","","","","","","","","","7025.099999964237","","","","","","","206984","neutral shade of colors.
white patches can be seen.","","","","","The color patches are bright and prominent.
",""
"","","","","","","","","","","","html-button-response","270","2.0.0","3781255","66c9f7fd98cb4c8f77f98b27","3","28","","","","","","","","","","","","cat_selection","2","train","3","","","","","","","1","2","2056.199999988079","Andesite","Basalt","[0.1919070783147521,0.12111931439137281,0.16347640004589994,0.12111931439137281,0.053524220565661154,0.17421013733390725,0.1103855771033655,0.06425795785366852]","[null,0.29834941480322147,0.07299494650641722,0.28012790465586346,0.02939034919931525,0.12449804947200618,0.07974098400105906,0.11489835136211751]","","","","","","","","","",""
"","","","","","","","","","","","paired-cat-display","271","1.0.0","3878886","66c9f7fd98cb4c8f77f98b27","3","28","","","","","","","","","","","","paired_cat_display","2","train","3","","","","","","","","","7019.799999952316","","","","","","","90600.40000003576","neutral shade of colors.
white patches present.","matte look
primary color with little to no alternate colors.","","","","",""
"","","","","","","","","","","","html-button-response","273","2.0.0","3880948","66c9f7fd98cb4c8f77f98b27","3","28","2060","","","","","","","","","","0","start_test","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","274","2.0.0","3905770","66c9f7fd98cb4c8f77f98b27","3","28","24819","","","","","","","","","<img src= ""rock_img/I_Peridotite_07.jpg"" style=""width:8cm; height:4.83cm;""><p>What type of rock is this?</p>","6","class_response","2","test","1","Peridotite","Peridotite","07","true","7","7","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-keyboard-response","275","2.0.0","3906279","66c9f7fd98cb4c8f77f98b27","3","28","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","2","test","1","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","276","2.0.0","3911723","66c9f7fd98cb4c8f77f98b27","3","28","5441","","","","","","","","","<img src= ""rock_img/I_Peridotite_13.jpg"" style=""width:8cm; height:7.58cm;""><p>What type of rock is this?</p>","6","class_response","2","test","2","Peridotite","Peridotite","13","true","7","7","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-keyboard-response","277","2.0.0","3912237","66c9f7fd98cb4c8f77f98b27","3","28","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","2","test","2","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","278","2.0.0","3916280","66c9f7fd98cb4c8f77f98b27","3","28","4039","","","","","","","","","<img src= ""rock_img/I_Basalt_04.jpg"" style=""width:8cm; height:7.53cm;""><p>What type of rock is this?</p>","1","class_response","2","test","3","Basalt","Basalt","04","true","2","2","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-keyboard-response","279","2.0.0","3916794","66c9f7fd98cb4c8f77f98b27","3","28","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","2","test","3","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","280","2.0.0","3940658","66c9f7fd98cb4c8f77f98b27","3","28","23860","","","","","","","","","<img src= ""rock_img/I_Andesite_07.jpg"" style=""width:8cm; height:5.93cm;""><p>What type of rock is this?</p>","2","class_response","2","test","4","Diorite","Andesite","07","false","3","1","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-keyboard-response","281","2.0.0","3941165","66c9f7fd98cb4c8f77f98b27","3","28","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","2","test","4","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","282","2.0.0","3942692","66c9f7fd98cb4c8f77f98b27","3","28","1523","","","","","","","","","<img src= ""rock_img/I_Pumice_16.jpg"" style=""width:8cm; height:6.79cm;""><p>What type of rock is this?</p>","7","class_response","2","test","5","Pumice","Pumice","16","true","8","8","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-keyboard-response","283","2.0.0","3943207","66c9f7fd98cb4c8f77f98b27","3","28","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","2","test","5","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","284","2.0.0","3951770","66c9f7fd98cb4c8f77f98b27","3","28","8560","","","","","","","","","<img src= ""rock_img/I_Gabbro_12.jpg"" style=""width:8cm; height:7.800000000000001cm;""><p>What type of rock is this?</p>","3","class_response","2","test","6","Gabbro","Gabbro","12","true","4","4","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-keyboard-response","285","2.0.0","3952276","66c9f7fd98cb4c8f77f98b27","3","28","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","2","test","6","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","286","2.0.0","3968530","66c9f7fd98cb4c8f77f98b27","3","28","16251","","","","","","","","","<img src= ""rock_img/I_Andesite_11.jpg"" style=""width:8cm; height:4.92cm;""><p>What type of rock is this?</p>","1","class_response","2","test","7","Basalt","Andesite","11","false","2","1","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-keyboard-response","287","2.0.0","3969046","66c9f7fd98cb4c8f77f98b27","3","28","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","2","test","7","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","288","2.0.0","3976329","66c9f7fd98cb4c8f77f98b27","3","28","7281","","","","","","","","","<img src= ""rock_img/I_Pegmatite_11.jpg"" style=""width:8cm; height:8.14cm;""><p>What type of rock is this?</p>","2","class_response","2","test","8","Diorite","Pegmatite","11","false","3","6","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-keyboard-response","289","2.0.0","3976842","66c9f7fd98cb4c8f77f98b27","3","28","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","2","test","8","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","290","2.0.0","3991155","66c9f7fd98cb4c8f77f98b27","3","28","14311","","","","","","","","","<img src= ""rock_img/I_Diorite_11.jpg"" style=""width:8cm; height:7.11cm;""><p>What type of rock is this?</p>","2","class_response","2","test","9","Diorite","Diorite","11","true","3","3","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-keyboard-response","291","2.0.0","3991672","66c9f7fd98cb4c8f77f98b27","3","28","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","2","test","9","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","292","2.0.0","4006617","66c9f7fd98cb4c8f77f98b27","3","28","14942","","","","","","","","","<img src= ""rock_img/I_Andesite_03.jpg"" style=""width:8cm; height:5.73cm;""><p>What type of rock is this?</p>","1","class_response","2","test","10","Basalt","Andesite","03","false","2","1","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-keyboard-response","293","2.0.0","4007131","66c9f7fd98cb4c8f77f98b27","3","28","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","2","test","10","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","294","2.0.0","4008725","66c9f7fd98cb4c8f77f98b27","3","28","1591","","","","","","","","","<img src= ""rock_img/I_Pumice_14.jpg"" style=""width:8cm; height:6.39cm;""><p>What type of rock is this?</p>","7","class_response","2","test","11","Pumice","Pumice","14","true","8","8","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-keyboard-response","295","2.0.0","4009234","66c9f7fd98cb4c8f77f98b27","3","28","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","2","test","11","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","296","2.0.0","4013318","66c9f7fd98cb4c8f77f98b27","3","28","4081","","","","","","","","","<img src= ""rock_img/I_Pegmatite_09.jpg"" style=""width:8cm; height:4.03cm;""><p>What type of rock is this?</p>","2","class_response","2","test","12","Diorite","Pegmatite","09","false","3","6","","","","","","","","","","","","","","","","",""
