"width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone","trial_type","trial_index","plugin_version","time_elapsed","subjID","condition","stimID","rt","url","success","value","timeout","failed_images","failed_audio","failed_video","view_history","stimulus","response","trialType","cycle","phase","trial","resp","cat","token","corr","resp_num","cat_num","ref_cat_num","paired_cat_num","time_obs","ref_cat","paired_cat","ref_prob_dist","paired_prob_dist","text_Andesite","text_Pegmatite","time_resp","text_Basalt","text_Peridotite","text_Gabbro","time_fb1","time_fb2"
"","","","","","","","","","","","html-button-response","381","2.0.0","1600662","6478e5fc76f5ecbc4f0ed353","3","34","639","","","","","","","","","<img src= rock_img/I_Peridotite_06.jpg style=""width:8cm; height:7.53cm;""><p style='font-size: 30px; color: green;'><strong>Correct!</strong></p><p style='font-size: 30px;'><strong>This rock is peridotite</strong></p>","0","corr_feedback","3","train","4","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","382","2.0.0","1601626","6478e5fc76f5ecbc4f0ed353","3","34","963","","","","","","","","","<img src= ""rock_img/I_Obsidian_02.jpg"" style=""width:8cm; height:7.51cm;""><p>What type of rock is this?</p>","4","class_response","3","train","5","Obsidian","Obsidian","02","true","5","5","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","383","2.0.0","1602243","6478e5fc76f5ecbc4f0ed353","3","34","616","","","","","","","","","<img src= rock_img/I_Obsidian_02.jpg style=""width:8cm; height:7.51cm;""><p style='font-size: 30px; color: green;'><strong>Correct!</strong></p><p style='font-size: 30px;'><strong>This rock is obsidian</strong></p>","0","corr_feedback","3","train","5","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","384","2.0.0","1603353","6478e5fc76f5ecbc4f0ed353","3","34","1109","","","","","","","","","<img src= ""rock_img/I_Diorite_06.jpg"" style=""width:8cm; height:6.03cm;""><p>What type of rock is this?</p>","2","class_response","3","train","6","Diorite","Diorite","06","true","3","3","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","385","2.0.0","1603897","6478e5fc76f5ecbc4f0ed353","3","34","544","","","","","","","","","<img src= rock_img/I_Diorite_06.jpg style=""width:8cm; height:6.03cm;""><p style='font-size: 30px; color: green;'><strong>Correct!</strong></p><p style='font-size: 30px;'><strong>This rock is diorite</strong></p>","0","corr_feedback","3","train","6","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","386","2.0.0","1604792","6478e5fc76f5ecbc4f0ed353","3","34","894","","","","","","","","","<img src= ""rock_img/I_Pumice_02.jpg"" style=""width:8cm; height:7.3999999999999995cm;""><p>What type of rock is this?</p>","7","class_response","3","train","7","Pumice","Pumice","02","true","8","8","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","387","2.0.0","1605250","6478e5fc76f5ecbc4f0ed353","3","34","458","","","","","","","","","<img src= rock_img/I_Pumice_02.jpg style=""width:8cm; height:7.3999999999999995cm;""><p style='font-size: 30px; color: green;'><strong>Correct!</strong></p><p style='font-size: 30px;'><strong>This rock is pumice</strong></p>","0","corr_feedback","3","train","7","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","388","2.0.0","1609214","6478e5fc76f5ecbc4f0ed353","3","34","3964","","","","","","","","","<img src= ""rock_img/I_Gabbro_03.jpg"" style=""width:8cm; height:8.52cm;""><p>What type of rock is this?</p>","0","class_response","3","train","8","Andesite","Gabbro","03","false","1","4","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","389","2.0.0","1610238","6478e5fc76f5ecbc4f0ed353","3","34","1023","","","","","","","","","<img src= rock_img/I_Gabbro_03.jpg style=""width:8cm; height:8.52cm;""><p style='font-size: 30px; color: red;'><strong>Incorrect!</strong></p><p style='font-size: 30px;'><strong>This rock is gabbro</strong></p>","0","corr_feedback","3","train","8","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","390","2.0.0","1611250","6478e5fc76f5ecbc4f0ed353","3","34","1011","","","","","","","","","<img src= ""rock_img/I_Obsidian_08.jpg"" style=""width:8cm; height:7.39cm;""><p>What type of rock is this?</p>","4","class_response","3","train","9","Obsidian","Obsidian","08","true","5","5","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","391","2.0.0","1611832","6478e5fc76f5ecbc4f0ed353","3","34","581","","","","","","","","","<img src= rock_img/I_Obsidian_08.jpg style=""width:8cm; height:7.39cm;""><p style='font-size: 30px; color: green;'><strong>Correct!</strong></p><p style='font-size: 30px;'><strong>This rock is obsidian</strong></p>","0","corr_feedback","3","train","9","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","392","2.0.0","1613603","6478e5fc76f5ecbc4f0ed353","3","34","1770","","","","","","","","","<img src= ""rock_img/I_Andesite_02.jpg"" style=""width:8cm; height:8.5cm;""><p>What type of rock is this?</p>","0","class_response","3","train","10","Andesite","Andesite","02","true","1","1","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","393","2.0.0","1614230","6478e5fc76f5ecbc4f0ed353","3","34","627","","","","","","","","","<img src= rock_img/I_Andesite_02.jpg style=""width:8cm; height:8.5cm;""><p style='font-size: 30px; color: green;'><strong>Correct!</strong></p><p style='font-size: 30px;'><strong>This rock is andesite</strong></p>","0","corr_feedback","3","train","10","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","394","2.0.0","1617279","6478e5fc76f5ecbc4f0ed353","3","34","3048","","","","","","","","","<img src= ""rock_img/I_Peridotite_10.jpg"" style=""width:8cm; height:5.390000000000001cm;""><p>What type of rock is this?</p>","5","class_response","3","train","11","Pegmatite","Peridotite","10","false","6","7","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","395","2.0.0","1617775","6478e5fc76f5ecbc4f0ed353","3","34","496","","","","","","","","","<img src= rock_img/I_Peridotite_10.jpg style=""width:8cm; height:5.390000000000001cm;""><p style='font-size: 30px; color: red;'><strong>Incorrect!</strong></p><p style='font-size: 30px;'><strong>This rock is peridotite</strong></p>","0","corr_feedback","3","train","11","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","396","2.0.0","1619903","6478e5fc76f5ecbc4f0ed353","3","34","2127","","","","","","","","","<img src= ""rock_img/I_Diorite_15.jpg"" style=""width:8cm; height:5.54cm;""><p>What type of rock is this?</p>","0","class_response","3","train","12","Andesite","Diorite","15","false","1","3","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","397","2.0.0","1620437","6478e5fc76f5ecbc4f0ed353","3","34","534","","","","","","","","","<img src= rock_img/I_Diorite_15.jpg style=""width:8cm; height:5.54cm;""><p style='font-size: 30px; color: red;'><strong>Incorrect!</strong></p><p style='font-size: 30px;'><strong>This rock is diorite</strong></p>","0","corr_feedback","3","train","12","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","399","2.0.0","1621627","6478e5fc76f5ecbc4f0ed353","3","34","1189","","","","","","","","","","0","start_train","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","400","2.0.0","1623567","6478e5fc76f5ecbc4f0ed353","3","34","","","","","","","","","","","","cat_selection","3","train","1","","","","","","","2","4","1939.699999988079","Basalt","Gabbro","[0.22317507124011096,0.12639688484390127,0.08583886923560796,0.16344843537380713,0.029734855604949602,0.13118903990840391,0.20309490951373996,0.03712193427947916]","[0.01535699021308862,null,0.012230989538602136,0.5742505997876588,0.07180027023036098,0.03992434908390807,0.01555901995100303,0.27087778119537836]","","","","","","","",""
"","","","","","","","","","","","paired-cat-display","401","1.0.0","1663035","6478e5fc76f5ecbc4f0ed353","3","34","","","","","","","","","","","","paired_cat_display","3","train","1","","","","","","","","","9425.800000011921","","","","","","","30040.899999976158","Little variation, very basic colors.","","Slight variation with different colors within, otherwise very basic.","",""
"","","","","","","","","","","","html-button-response","402","2.0.0","1664753","6478e5fc76f5ecbc4f0ed353","3","34","","","","","","","","","","","","cat_selection","3","train","2","","","","","","","1","4","1717.5","Andesite","Gabbro","[0.22317507124011096,0.12639688484390127,0.08583886923560796,0.16344843537380713,0.029734855604949602,0.13118903990840391,0.20309490951373996,0.03712193427947916]","[null,0.3127952083947253,0.18659083292115583,0.28768488360286903,0.016016146359679306,0.039943835398156234,0.14035644733721375,0.016612645986200585]","","","","","","","",""
"","","","","","","","","","","","paired-cat-display","403","1.0.0","1722072","6478e5fc76f5ecbc4f0ed353","3","34","","","","","","","","","","","","paired_cat_display","3","train","2","","","","","","","","","9813.300000011921","","","","","Spots within of medium size, basic colors.","","47504.09999996424","","","Almost steak like with veins. Basic color, more browns than andesite.","",""
"","","","","","","","","","","","html-button-response","404","2.0.0","1723870","6478e5fc76f5ecbc4f0ed353","3","34","","","","","","","","","","","","cat_selection","3","train","3","","","","","","","4","7","1796.7999999523163","Gabbro","Peridotite","[0.22317507124011096,0.12639688484390127,0.08583886923560796,0.16344843537380713,0.029734855604949602,0.13118903990840391,0.20309490951373996,0.03712193427947916]","[0.23289857188092633,0.6268203791666588,0.014959777095802563,null,0.050163484021604136,0.04777370244214482,0.015026230915124422,0.012357854477738833]","","","","","","","",""
"","","","","","","","","","","","paired-cat-display","405","1.0.0","1759310","6478e5fc76f5ecbc4f0ed353","3","34","","","","","","","","","","","","paired_cat_display","3","train","3","","","","","","","","","14292.199999988079","","","","","","","21147.30000001192","","Crystal like with greens.","Basic, little variation, some vein like within.","",""
"","","","","","","","","","","","html-button-response","407","2.0.0","1761751","6478e5fc76f5ecbc4f0ed353","3","34","2440","","","","","","","","","","0","start_test","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","408","2.0.0","1777671","6478e5fc76f5ecbc4f0ed353","3","34","15920","","","","","","","","","<img src= ""rock_img/I_Basalt_08.jpg"" style=""width:8cm; height:10.44cm;""><p>What type of rock is this?</p>","1","class_response","3","test","1","Basalt","Basalt","08","true","2","2","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-keyboard-response","409","2.0.0","1778172","6478e5fc76f5ecbc4f0ed353","3","34","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","3","test","1","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","410","2.0.0","1787118","6478e5fc76f5ecbc4f0ed353","3","34","8945","","","","","","","","","<img src= ""rock_img/I_Gabbro_12.jpg"" style=""width:8cm; height:7.800000000000001cm;""><p>What type of rock is this?</p>","3","class_response","3","test","2","Gabbro","Gabbro","12","true","4","4","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-keyboard-response","411","2.0.0","1787622","6478e5fc76f5ecbc4f0ed353","3","34","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","3","test","2","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","412","2.0.0","1793812","6478e5fc76f5ecbc4f0ed353","3","34","6189","","","","","","","","","<img src= ""rock_img/I_Peridotite_08.jpg"" style=""width:8cm; height:6.7cm;""><p>What type of rock is this?</p>","6","class_response","3","test","3","Peridotite","Peridotite","08","true","7","7","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-keyboard-response","413","2.0.0","1794313","6478e5fc76f5ecbc4f0ed353","3","34","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","3","test","3","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","414","2.0.0","1806497","6478e5fc76f5ecbc4f0ed353","3","34","12184","","","","","","","","","<img src= ""rock_img/I_Basalt_14.jpg"" style=""width:8cm; height:5.82cm;""><p>What type of rock is this?</p>","1","class_response","3","test","4","Basalt","Basalt","14","true","2","2","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-keyboard-response","415","2.0.0","1807005","6478e5fc76f5ecbc4f0ed353","3","34","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","3","test","4","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","416","2.0.0","1808538","6478e5fc76f5ecbc4f0ed353","3","34","1533","","","","","","","","","<img src= ""rock_img/I_Diorite_11.jpg"" style=""width:8cm; height:7.11cm;""><p>What type of rock is this?</p>","2","class_response","3","test","5","Diorite","Diorite","11","true","3","3","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-keyboard-response","417","2.0.0","1809052","6478e5fc76f5ecbc4f0ed353","3","34","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","3","test","5","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","418","2.0.0","1809968","6478e5fc76f5ecbc4f0ed353","3","34","915","","","","","","","","","<img src= ""rock_img/I_Diorite_09.jpg"" style=""width:8cm; height:5.27cm;""><p>What type of rock is this?</p>","2","class_response","3","test","6","Diorite","Diorite","09","true","3","3","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-keyboard-response","419","2.0.0","1810474","6478e5fc76f5ecbc4f0ed353","3","34","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","3","test","6","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","420","2.0.0","1823511","6478e5fc76f5ecbc4f0ed353","3","34","13036","","","","","","","","","<img src= ""rock_img/I_Gabbro_16.jpg"" style=""width:8cm; height:6.44cm;""><p>What type of rock is this?</p>","3","class_response","3","test","7","Gabbro","Gabbro","16","true","4","4","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-keyboard-response","421","2.0.0","1824016","6478e5fc76f5ecbc4f0ed353","3","34","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","3","test","7","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","422","2.0.0","1829111","6478e5fc76f5ecbc4f0ed353","3","34","5095","","","","","","","","","<img src= ""rock_img/I_Pegmatite_11.jpg"" style=""width:8cm; height:8.14cm;""><p>What type of rock is this?</p>","5","class_response","3","test","8","Pegmatite","Pegmatite","11","true","6","6","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-keyboard-response","423","2.0.0","1829612","6478e5fc76f5ecbc4f0ed353","3","34","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","3","test","8","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","424","2.0.0","1830638","6478e5fc76f5ecbc4f0ed353","3","34","1025","","","","","","","","","<img src= ""rock_img/I_Pumice_06.jpg"" style=""width:8cm; height:6.9399999999999995cm;""><p>What type of rock is this?</p>","7","class_response","3","test","9","Pumice","Pumice","06","true","8","8","","","","","","","","","","","","","","",""
